"gene","power","GFPsort","Negsort","RFPsort","sort2","sort4"
"PBANKA_040170","nopower",NA,NA,-0.820015214827251,NA,NA
"PBANKA_040170","notreduced",-0.150345875438433,0.194277601744607,NA,0.296751196864464,-0.103211054199377
"PBANKA_092160","notreduced",0.175576892976106,0.0475861286096084,0.313415454687558,0.312075415666236,0.545751418931984
"PBANKA_143860","notreduced",0.348718564513993,0.181138577105185,0.260804186792293,0.490099689826406,0.561341262663561
"PBANKA_101410","notreduced",-0.0271696078177282,-0.00410697667966575,0.119341999692748,0.530082941919224,0.481318511248725
"PBANKA_071870","notreduced",-0.0670116827558011,-0.0231525680846599,0.10622932956579,0.185154258317795,0.826700392215958
"PBANKA_010470","notreduced",0.0203713101375851,0.184144554643847,-0.0730326215162848,0.396290589201112,0.634703096004595
"PBANKA_020510","notreduced",0.254794903831911,0.228507657161249,0.260503381214011,0.140115321788885,0.598065370685922
"PBANKA_102210","notreduced",0.134148342922002,0.392360772613422,0.369854800604826,0.879689123303312,1.52330309228069
"PBANKA_140270","notreduced",0.0784343498029657,0.172427627934288,0.0724424693925102,0.281688035279586,0.425949858641094
"PBANKA_083460","notreduced",-0.0742062555615735,0.134192678677982,0.0262573607575218,0.407179199696281,0.264403983755471
"PBANKA_082640","notreduced",0.125691386284391,0.423880987229123,0.415244007058709,0.331853009415591,1.05214450069577
"PBANKA_144110","notreduced",-0.272113971603198,-0.0942689587561384,0.256445192703157,0.0960360533510703,0.717471600619193
"PBANKA_130190","nopower",NA,NA,NA,NA,0.359049982883653
"PBANKA_130190","notreduced",0.198434479497943,0.114324625605676,0.25452278506812,0.404941724497802,NA
"PBANKA_121970","notreduced",0.149642108550677,0.268344979376454,0.179462421081422,0.517568914538714,0.628317809796046
"PBANKA_010110","nopower",NA,NA,NA,NA,0.680615937091167
"PBANKA_010110","notreduced",0.240102408547481,0.408644439135821,0.214069449390588,0.374744331414813,NA
"PBANKA_051760","nopower",NA,NA,NA,NA,0.131572968614898
"PBANKA_051760","notreduced",-0.0631998766158282,0.0710195992818191,0.00693008462377034,0.269826260195833,NA
"PBANKA_142700","notreduced",0.154174371735361,0.0686829743509444,0.245863375251381,0.655305469847322,0.702831242926875
"PBANKA_080010","notreduced",0.565035654525532,0.258473714160456,0.450815836706274,0.412376377856235,1.13281721936201
"PBANKA_083170","notreduced",0.241300101724465,0.489640841010395,0.377107178081287,0.482407679616398,0.661289831808401
"PBANKA_030850","notreduced",0.25594879970412,0.231180159306831,0.175702620004193,0.390177669722433,0.873540841247004
"PBANKA_112230","nopower",NA,NA,NA,NA,-0.28459710951282
"PBANKA_112230","notreduced",-0.454155380417976,0.182703931944528,-0.394393813024348,0.498582051931991,NA
"PBANKA_090240","notreduced",0.397763361897608,0.490810975141575,NA,0.543839534793896,0.839211894164327
"PBANKA_090240","reduced",NA,NA,-2.63961457813147,NA,NA
"PBANKA_122230","notreduced",0.294156653965434,0.210247604325314,0.0575556070563241,0.507876961019834,0.808564178315671
"PBANKA_113190","notreduced",0.970468726050336,0.198737986173473,0.0190588908204029,0.430531960172372,0.68565851507966
"PBANKA_134940","notreduced",-0.139213446550765,0.275374772654217,0.320214363874773,0.67827903401651,0.779288728620162
"PBANKA_060150","nopower",NA,NA,NA,-0.00119019203182968,NA
"PBANKA_060150","notreduced",0.288852891567368,0.548347982327305,-0.0043489111255938,NA,0.587499618175296
"PBANKA_121770","notreduced",NA,0.106531847640324,NA,0.385899648055712,1.27491648646937
"PBANKA_121770","reduced",-1.09610944876731,NA,-1.31205042663435,NA,NA
