	sample	file	rapamycin	time	experiment	colorw	shape	amplified	Strain	timew	N
WT_NO_scizont_8	Sample_4	10636_10.htseq_count	NO	schizont	8	black	15	1	WT	scizont	86
WT_NO_scizont_9	Sample_5	10636_4.htseq_count	NO	schizont	9	black	15	1	WT	scizont	87
WT_NO_gams_8	Sample_1	11779_10.htseq_count	NO	gams	8	black	17	1	WT	gams	89
WT_NO_scizont_10	Sample_6	11779_5.htseq_count	NO	schizont	10	black	15	1	WT	scizont	88
WT_NO_gams_9	Sample_2	12149_1.htseq_count	NO	gams	9	black	17	1	WT	gams	90
WT_NO_gams_10	Sample_3	12149_5.htseq_count	NO	gams	10	black	17	1	WT	gams	91
AP2Goe_YES_0_1	Sample_7	13674_1.htseq_count	YES	0h	1	red	0	7	AP2Goe	0	1
AP2Goe_NO_12_1	Sample_60	13674_10.htseq_count	NO	12h	1	blue	5	7	AP2Goe	12	10
AP2Goe_NO_24_1	Sample_64	13674_11.htseq_count	NO	24h	1	blue	6	7	AP2Goe	24	11
AP2Goe_NO_30_1	Sample_68	13674_12.htseq_count	NO	30h	1	blue	7	7	AP2Goe	30	12
AP2Goe_YES_1_1	Sample_11	13674_2.htseq_count	YES	1h	1	red	1	7	AP2Goe	1	2
AP2Goe_YES_4_1	Sample_19	13674_3.htseq_count	YES	4h	1	red	4	7	AP2Goe	4	3
AP2Goe_YES_12_1	Sample_28	13674_4.htseq_count	YES	12h	1	red	5	7	AP2Goe	12	4
AP2Goe_YES_24_1	Sample_32	13674_5.htseq_count	YES	24h	1	red	6	7	AP2Goe	24	5
AP2Goe_YES_30_1	Sample_35	13674_6.htseq_count	YES	30h	1	red	7	7	AP2Goe	30	6
AP2Goe_NO_0_1	Sample_40	13674_7.htseq_count	NO	0h	1	blue	0	7	AP2Goe	0	7
AP2Goe_NO_1_1	Sample_43	13674_8.htseq_count	NO	1h	1	blue	1	7	AP2Goe	1	8
AP2Goe_NO_4_1	Sample_51	13674_9.htseq_count	NO	4h	1	blue	4	7	AP2Goe	4	9
AP2Goe_NO_24_2	Sample_65	15786_1.htseq_count	NO	24h	2	blue	6	10	AP2Goe	24	13
AP2Goe_NO_1_2	Sample_44	15786_10.htseq_count	NO	1h	2	blue	1	10	AP2Goe	1	16
AP2Goe_NO_2_2	Sample_46	15786_11.htseq_count	NO	2h	2	blue	2	10	AP2Goe	2	17
AP2Goe_YES_2_2	Sample_14	15786_12.htseq_count	YES	2h	2	red	2	10	AP2Goe	2	18
AP2Goe_NO_3_2	Sample_50	15786_13.htseq_count	NO	3h	2	blue	3	10	AP2Goe	3	19
AP2Goe_YES_3_2	Sample_18	15786_14.htseq_count	YES	3h	2	red	3	10	AP2Goe	3	20
AP2Goe_NO_4_2	Sample_52	15786_15.htseq_count	NO	4h	2	blue	4	10	AP2Goe	4	21
AP2Goe_YES_4_2	Sample_20	15786_16.htseq_count	YES	4h	2	red	4	10	AP2Goe	4	22
AP2Goe_YES_0_2	Sample_8	15786_8.htseq_count	YES	0h	2	red	0	10	AP2Goe	0	14
AP2Goe_YES_1_2	Sample_12	15786_9.htseq_count	YES	1h	2	red	1	10	AP2Goe	1	15
AP2Goe_YES_8_3	Sample_25	17446_1.htseq_count	YES	8h	3	red	8	7	AP2Goe	8	23
AP2Goe_NO_12_3	Sample_61	17446_10.htseq_count	NO	12h	3	blue	5	7	AP2Goe	12	32
AP2Goe_NO_24_3	Sample_66	17446_11.htseq_count	NO	24h	3	blue	6	0	AP2Goe	24	33
AP2Goe_NO_30_3	Sample_69	17446_12.htseq_count	NO	30h	3	blue	7	0	AP2Goe	30	34
AP2Goe_YES_0_3	Sample_9	17446_13.htseq_count	YES	0h	3	red	0	0	AP2Goe	0	35
AP2Goe_YES_2_3	Sample_15	17446_14.htseq_count	YES	2h	3	red	2	7	AP2Goe	2	36
AP2Goe_YES_4_3	Sample_21	17446_15.htseq_count	YES	4h	3	red	4	7	AP2Goe	4	37
AP2Goe_YES_6_3	Sample_22	17446_16.htseq_count	YES	6h	3	red	9	0	AP2Goe	6	38
AP2Goe_YES_12_3	Sample_29	17446_2.htseq_count	YES	12h	3	red	5	0	AP2Goe	12	24
AP2Goe_YES_24_3	Sample_33	17446_3.htseq_count	YES	24h	3	red	6	7	AP2Goe	24	25
AP2Goe_YES_30_3	Sample_36	17446_4.htseq_count	YES	30h	3	red	7	0	AP2Goe	30	26
AP2Goe_NO_0_3	Sample_41	17446_5.htseq_count	NO	0h	3	blue	0	0	AP2Goe	0	27
AP2Goe_NO_2_3	Sample_47	17446_6.htseq_count	NO	2h	3	blue	2	14	AP2Goe	2	28
AP2Goe_NO_4_3	Sample_53	17446_7.htseq_count	NO	4h	3	blue	4	14	AP2Goe	4	29
AP2Goe_NO_6_3	Sample_54	17446_8.htseq_count	NO	6h	3	blue	9	14	AP2Goe	6	30
AP2Goe_NO_8_3	Sample_57	17446_9.htseq_count	NO	8h	3	blue	8	7	AP2Goe	8	31
AP2Goe_NO_18_4	Sample_63	19453_1.htseq_count	NO	18h	4	blue	10	8	AP2Goe	18	39
X820RG_NO_6_4	Sample_85	19453_10.htseq_count	NO	6h	4	pink	9	8	820RG	6	48
X820RG_YES_8_4	Sample_76	19453_11.htseq_count	YES	8h	4	purple	8	8	820RG	8	49
X820RG_NO_8_4	Sample_86	19453_12.htseq_count	NO	8h	4	pink	8	8	820RG	8	50
X820RG_YES_12_4	Sample_77	19453_13.htseq_count	YES	12h	4	purple	5	8	820RG	12	51
X820RG_NO_12_4	Sample_87	19453_14.htseq_count	NO	12h	4	pink	5	8	820RG	12	52
AP2Goe_YES_18_4	Sample_31	19453_15.htseq_count	YES	18h	4	red	10	8	AP2Goe	18	53
X820RG_YES_24_4	Sample_79	19453_2.htseq_count	YES	24h	4	purple	6	8	820RG	24	40
X820RG_NO_24_4	Sample_89	19453_3.htseq_count	NO	24h	4	pink	6	8	820RG	24	41
X820RG_YES_30_4	Sample_80	19453_4.htseq_count	YES	30h	4	purple	7	8	820RG	30	42
X820RG_NO_30_4	Sample_90	19453_5.htseq_count	NO	30h	4	pink	7	8	820RG	30	43
