"","interpro","Domain"
"1",NA,NA
"2","IPR000001","PF00051"
"3","IPR000001","PS50070"
"4","IPR000001","SM00130"
"5","IPR000003","PR00545"
"6","IPR000006","PTHR23299"
"7","IPR000006","PR00860"
"8","IPR000007","PF01167"
"9","IPR000007","PR01573"
"10","IPR000007","G3DSA:3.20.90.10"
"11","IPR000008","PF00168"
"12","IPR000008","PR00360"
"13","IPR000008","PS50004"
"14","IPR000008","SM00239"
"15","IPR000008","G3DSA:2.60.40.150"
"16","IPR000008","SSF49562"
"17","IPR000009","PTHR11871"
"18","IPR000009","PIRSF037309"
"19","IPR000009","PR00600"
"20","IPR000010","PF00031"
"21","IPR000010","PF16845"
"22","IPR000010","SM00043"
"23","IPR000010","cd00042"
"24","IPR000011","PR01849"
"25","IPR000012","PF00522"
"26","IPR000012","PR00444"
"27","IPR000013","PF02031"
"28","IPR000013","PIRSF016573"
"29","IPR000013","PR00787"
"30","IPR000013","PD016028"
"31","IPR000014","PF13188"
"32","IPR000014","PF13426"
"33","IPR000014","PS50112"
"34","IPR000014","SM00091"
"35","IPR000014","TIGR00229"
"36","IPR000014","SSF55785"
"37","IPR000014","cd00130"
"38","IPR000015","PTHR30451"
"39","IPR000015","PF00577"
"40","IPR000018","PTHR24231:SF61"
"41","IPR000018","PR01066"
"42","IPR000020","PF01821"
"43","IPR000020","PS01177"
"44","IPR000020","PS01178"
"45","IPR000020","SM00104"
"46","IPR000021","PF01848"
"47","IPR000021","PR00281"
"48","IPR000021","PD005979"
"49","IPR000023","PF00365"
"50","IPR000023","SSF53784"
"51","IPR000025","PR00857"
"52","IPR000026","PF00545"
"53","IPR000026","PIRSF037430"
"54","IPR000028","PF01328"
"55","IPR000028","PS51405"
"56","IPR000028","G3DSA:1.10.489.10"
"57","IPR000028","SSF47571"
"58","IPR000030","PF00823"
"59","IPR000031","PF00731"
"60","IPR000031","SM01001"
"61","IPR000031","TIGR01162"
"62","IPR000031","G3DSA:3.40.50.7700"
"63","IPR000031","SSF52255"
"64","IPR000032","PF00381"
"65","IPR000032","PR00107"
"66","IPR000032","PS51350"
"67","IPR000032","TIGR01003"
"68","IPR000032","G3DSA:3.30.1340.10"
"69","IPR000032","SSF55594"
"70","IPR000032","cd00367"
"71","IPR000033","PF00058"
"72","IPR000033","PS51120"
"73","IPR000033","SM00135"
"74","IPR000034","PF00052"
"75","IPR000034","PS51115"
"76","IPR000034","SM00281"
"77","IPR000035","PS00516"
"78","IPR000036","PF01278"
"79","IPR000036","PIRSF001522"
"80","IPR000036","PR00482"
"81","IPR000037","PTHR30308:SF3"
"82","IPR000037","PF01668"
"83","IPR000037","PD004488"
"84","IPR000037","TIGR00086"
"85","IPR000037","MF_00023"
"86","IPR000037","cd09294"
"87","IPR000039","PTHR10934"
"88","IPR000040","PTHR11950"
"89","IPR000040","PR00967"
"90","IPR000043","PTHR23420"
"91","IPR000043","PF05221"
"92","IPR000043","PIRSF001109"
"93","IPR000043","SM00996"
"94","IPR000043","TIGR00936"
"95","IPR000043","cd00401"
"96","IPR000044","PR00905"
"97","IPR000045","PF01478"
"98","IPR000046","PR01024"
"99","IPR000047","PR00031"
"100","IPR000048","PF00612"
"101","IPR000048","PS50096"
"102","IPR000048","SM00015"
"103","IPR000049","PS01065"
"104","IPR000052","PF00286"
"105","IPR000052","PR00232"
"106","IPR000052","PS00418"
"107","IPR000053","PTHR10515"
"108","IPR000053","PIRSF000478"
"109","IPR000054","PTHR10956"
