ClusterID,Old Gene ID||New GeneID||Product Description,3D7cam 0h,3D7cam 12h,3D7cam 24h,3D7cam 36h,3D7pfs16 0h,3D7pfs16 12h,3D7pfs16 24h,3D7pfs16 36h,F12cam 0h,F12cam 12h,F12cam 24h,F12cam 36h,F12pfs16 0h,F12pfs16 12h,F12pfs16 24h,F12pfs16 36h,3D7 0h FC,3D7 12h FC,3D7 24h FC,3D7 36h FC,F12 0h FC,F12 12h FC,F12 24h FC,F12 36h FC
1,PF14_0183||PF3D7_1418800|| signal recognition particle RNA ,-0.03653,-0.160882,0.285392,-1.454117,1.820249,0.03653,-0.192685,2.311462,-1.87905,-0.100639,-0.244222,0.820741,0.100639,1.245712,0.358895,-0.819458,1.856779,0.197412,-0.478077,3.765579,1.979689,1.346351,0.603117,-1.640199
1,PF10_0303||PF3D7_1031000|| 25 kDa ookinete surface antigen precursor (Pfs25) ,-0.474393,-0.728769,-1.349238,-1.048641,2.925947,1.362427,0.474393,2.033448,0.266849,-0.93566,-0.08584,0.241865,-0.644004,0.195716,-1.133656,0.085835,3.40034,2.091196,1.823631,3.082089,-0.910853,1.131376,-1.047816,-0.15603
1,"PF10_0038||PF3D7_1003500|| 40S ribosomal protein S20e, putative ",0.577363,2.265246,1.455659,-0.550181,-0.717527,0.023084,-0.11243,-0.023084,-2.339938,0.183583,0.479761,-0.651418,-1.887634,0.103367,0.300568,-0.103367,-1.29489,-2.242162,-1.568089,0.527097,0.452304,-0.080216,-0.179193,0.548051
1,"PF11_0454||PF3D7_1144000|| 40S ribosomal protein S21e, putative ",0.221806,1.889231,1.982645,-0.059409,-1.048625,-0.153351,0.059409,-0.303653,-1.890683,0.449788,0.858964,-0.645758,-1.21627,0.67087,0.825719,-0.449788,-1.270431,-2.042582,-1.923236,-0.244244,0.674413,0.221082,-0.033245,0.19597
1,"PF14_0205||PF3D7_1421200|| 40S ribosomal protein S25, putative ",0.333025,1.674644,1.325568,-0.464483,-0.850007,-0.333025,0.769167,-0.358454,-1.559027,0.707396,0.637889,-0.825609,-1.837551,0.294657,0.542349,-0.294657,-1.183032,-2.007669,-0.556401,0.106029,-0.278524,-0.412739,-0.09554,0.530952
1,"PF14_0027||PF3D7_1402500|| 40S ribosomal protein S31/UBI, putative ",0.248388,1.837957,1.463659,-0.305051,-0.968199,-0.248388,0.282945,-0.551417,-2.166332,0.551874,0.757795,-0.533102,-1.979136,0.680647,0.533102,-0.58796,-1.216587,-2.086345,-1.180714,-0.246366,0.187196,0.128773,-0.224693,-0.054858
1,"PF13_0014||PF3D7_1302800|| 40S ribosomal protein S7, putative ",0.404697,1.553117,1.058777,-1.028714,-0.816927,-0.335242,0.335242,-0.988709,-1.631087,0.231245,0.410989,-0.850093,-1.978821,0.220386,0.351537,-0.220386,-1.221624,-1.888359,-0.723535,0.040005,-0.347734,-0.010859,-0.059452,0.629707
1,"PF14_0579||PF3D7_1460700|| 60S ribosomal protein L27, putative ",0.409525,1.466341,0.957601,-1.443682,-0.875936,-0.156192,0.156192,-0.594542,-1.243383,0.997132,0.680257,-0.546326,-1.422835,0.742566,0.496759,-0.496759,-1.285461,-1.622533,-0.801409,0.84914,-0.179452,-0.254566,-0.183498,0.049567
1,"PFI0190w||PF3D7_0903900|| 60S ribosomal protein L32, putative ",0.535837,1.599059,0.886638,-0.636375,-1.089559,-0.175534,0.175534,-0.785804,-1.342315,0.673552,0.502838,-0.758345,-1.451601,0.467193,0.631321,-0.467193,-1.625396,-1.774593,-0.711104,-0.149429,-0.109286,-0.206359,0.128483,0.291152
1,PF13_0248||PF3D7_1346800|| 6-cysteine protein (P47) ,0.453896,-0.292115,-1.204731,-0.760307,0.292115,0.509744,-0.349995,0.486876,1.049071,0.459574,-0.996883,-0.046629,0.754956,0.046629,-1.187005,-0.517212,-0.161781,0.801859,0.854736,1.247183,-0.294115,-0.412945,-0.190122,-0.470583
1,PFB0400w||PF3D7_0208900|| 6-cysteine protein (P230p) ,0.228498,-0.18293,-0.713294,-0.750561,0.612006,0.256555,-0.698256,0.18293,1.573778,0.555093,-1.039048,-0.255051,1.328372,0.255051,-1.231038,-0.721524,0.383508,0.439485,0.015038,0.933491,-0.245406,-0.300042,-0.19199,-0.466473
1,PFD0215c||PF3D7_0404500|| 6-cysteine protein (P52) ,0.012201,-0.012201,-0.560736,-0.579669,0.129828,0.709735,0.071168,-0.18098,0.354414,0.247682,-0.887408,-0.097016,0.404446,0.097016,-1.011803,-0.574308,0.117627,0.721936,0.631904,0.398689,0.050032,-0.150666,-0.124395,-0.477292
1,PF13_0247||PF3D7_1346700|| 6-cysteine protein (P48/45) ,-0.336718,-0.569433,-0.455076,-1.490292,0.588459,1.350617,0.336718,1.059101,-1.025292,0.401482,-0.307214,0.041925,-0.495894,0.60445,-0.041925,0.054319,0.925177,1.92005,0.791794,2.549393,0.529398,0.202968,0.265289,0.012394
1,PFC0050c||PF3D7_0301000|| acyl-CoA synthetase (ACS2) ,0.93786,0.031254,-0.949136,-1.035622,0.631635,-0.031254,-1.035778,0.260636,1.767788,0.577977,-1.216237,-0.216315,1.345741,0.216315,-1.558168,-1.124635,-0.306225,-0.062508,-0.086642,1.296258,-0.422047,-0.361662,-0.341931,-0.90832
1,PF08_0062||PF3D7_0816900|| adenylate kinase 2 (AK2) ,0.668747,-0.134938,-0.567164,-0.520676,0.470464,0.478105,-0.348692,0.134938,2.756259,0.602618,-0.854944,-0.158789,0.900189,0.158789,-1.13467,-1.212125,-0.198283,0.613043,0.218472,0.655614,-1.85607,-0.443829,-0.279726,-1.053336
1,"MAL8P1.38||PF3D7_0823400|| alpha/beta-hydrolase, putative ",0.437683,-0.040384,-0.700968,-0.949689,0.724063,0.183927,-0.560187,0.040384,0.883433,0.529887,-1.092823,-0.260106,0.901791,0.260106,-1.008686,-0.993939,0.28638,0.224311,0.140781,0.990073,0.018358,-0.269781,0.084137,-0.733833
1,"PF11_0334||PF3D7_1132500|| amino acid transporter, putative ",0.289895,0.029122,-0.927997,-0.653823,0.349187,0.16975,-0.43188,-0.029122,1.350649,0.37464,-1.081517,-0.180297,1.186438,0.180297,-1.120628,-0.589536,0.059292,0.140628,0.496117,0.624701,-0.164211,-0.194343,-0.039111,-0.409239
1,"PFE0775c||PF3D7_0515500|| amino acid transporter, putative ",0.156878,-0.156878,-0.60465,-0.467866,1.089935,0.549504,-0.278104,0.822781,1.723043,-0.083329,-0.735299,0.07102,0.939859,0.405476,-0.07102,-0.127799,0.933057,0.706382,0.326546,1.290647,-0.783184,0.488805,0.664279,-0.198819
1,"PFE0085c||PF3D7_0501700|| anaphase promoting complex subunit, putative ",0.121753,-0.115471,-0.819501,-0.518003,0.115471,0.131952,-0.385525,0.264919,1.412506,0.241871,-1.081916,-0.241871,1.392659,0.324126,-1.152839,-0.616989,-0.006282,0.247423,0.433976,0.782922,-0.019847,0.082255,-0.070923,-0.375118
1,"PF10_0102||PF3D7_1010500|| ankyrin-repeat protein, putative ",0.469521,-0.03176,-0.667194,-0.608129,0.932417,0.121091,-0.55117,0.03176,0.642943,0.388699,-0.865799,-0.096286,0.096286,0.459821,-1.323441,-0.850129,0.462896,0.152851,0.116024,0.639889,-0.546657,0.071122,-0.457642,-0.753843
1,PFC10_API0002:rRNA||PFC10_API0002:rRNA|| apicoplast rRNA ,-0.764079,-0.559847,-0.95835,-0.326539,2.297692,0.684841,0.326539,1.158172,-1.506931,0.203294,-0.203294,1.103039,-1.767881,0.944838,-0.245613,0.408016,3.061771,1.244688,1.284889,1.484711,-0.26095,0.741544,-0.042319,-0.695023
1,PFC10_API0001:tRNA||PFC10_API0001:tRNA||apicoplast tRNA,0.456325,-0.966632,-0.456325,-0.962477,0.487643,-0.514413,1.177168,0.969126,-1.051679,-0.375087,-0.160459,0.270355,-0.015038,0.159113,0.015038,0.122416,0.031318,0.452219,1.633493,1.931603,1.036641,0.5342,0.175497,-0.147939
1,PFC10_API0058:tRNA||PFC10_API0058:tRNA|| apicoplast tRNA ,0.921822,-0.264807,0.671707,-0.008545,-0.133068,-0.005563,0.005563,1.32144,-0.146156,0.076023,0.545459,0.197809,-0.076023,-0.101546,0.61736,-0.264292,-1.05489,0.259244,-0.666144,1.329985,0.070133,-0.177569,0.071901,-0.462101
1,PFC10_API0048:tRNA||PFC10_API0048:tRNA|| apicoplast tRNA ,0.52683,-0.749688,-0.394931,-0.921256,0.310084,-0.043443,0.043443,1.235392,-0.644647,0.371546,-0.364439,0.113026,0.547175,0.173413,-0.437577,-0.113026,-0.216746,0.706245,0.438374,2.156648,1.191822,-0.198133,-0.073138,-0.226052
1,PFC10_API0047:tRNA||PFC10_API0047:tRNA|| apicoplast tRNA ,0.418696,-0.367821,-0.073564,-0.481501,0.11777,0.073564,-0.431484,0.709527,0.379959,0.983153,-0.406886,0.0601,-0.111169,0.084959,-0.184256,-0.0601,-0.300926,0.441385,-0.35792,1.191028,-0.491128,-0.898194,0.22263,-0.1202
1,PFC10_API0045:tRNA||PFC10_API0045:tRNA|| apicoplast tRNA ,0.660334,-0.280865,-0.270264,-0.157562,0.157562,0.223206,-0.194058,0.500454,0.124811,0.052225,-0.184455,0.041063,0.528087,-0.177091,-0.041063,-0.388123,-0.502772,0.504071,0.076206,0.658016,0.403276,-0.229316,0.143392,-0.429186
1,PFC10_API0049:tRNA||PFC10_API0049:tRNA|| apicoplast tRNA ,0.453852,-0.307508,-0.101385,-0.250352,0.384461,0.101385,-0.153396,0.727218,0.997493,0.259261,-0.192751,-0.002219,-0.019288,0.241551,-0.011599,0.002219,-0.069391,0.408893,-0.052011,0.97757,-1.016781,-0.01771,0.181152,0.004438
1,PFC10_API0054:tRNA||PFC10_API0054:tRNA|| apicoplast tRNA ,0.195631,-0.362795,0.238127,-0.545771,0.207875,-0.131125,-0.160147,0.131125,0.436343,0.035195,-0.324942,0.015672,0.048855,-0.015672,-0.181722,-0.294869,0.012244,0.23167,-0.398274,0.676896,-0.387488,-0.050867,0.14322,-0.310541
1,PFC10_API0046:tRNA||PFC10_API0046:tRNA|| apicoplast tRNA ,0.073128,-0.571137,-0.003131,-0.232843,0.237413,0.003131,-0.031879,0.560258,0.084412,0.527578,-0.179574,-0.090298,0.045134,0.020395,-0.020395,-0.057834,0.164285,0.574268,-0.028748,0.793101,-0.039278,-0.507183,0.159179,0.032464
1,PFC10_API0053:tRNA||PFC10_API0053:tRNA|| apicoplast tRNA ,-0.068977,-0.088433,0.670355,0.065592,-0.065592,-0.1718,0.287252,0.526584,-0.6752,0.009273,-0.009273,0.080938,-0.430324,-0.19043,0.214229,0.159982,0.003385,-0.083367,-0.383103,0.460992,0.244876,-0.199703,0.223502,0.079044
1,PFC10_API0050:tRNA||PFC10_API0050:tRNA|| apicoplast tRNA ,-0.493412,-0.389169,0.672695,-0.113803,0.200288,-0.21334,0.113803,0.443247,-0.222328,-0.113015,0.218415,-0.000105,-0.391152,0.000105,0.252956,0.139228,0.6937,0.175829,-0.558892,0.55705,-0.168824,0.11312,0.034541,0.139333
1,"PFI1520w||PF3D7_0931300|| asparagine-rich antigen, putative ",0.107295,0.141593,-1.272533,-1.489752,1.631353,0.727454,-0.809614,-0.107295,0.174624,0.552928,-1.294316,-0.174624,0.598294,0.876123,-1.440779,-0.693163,1.524058,0.585861,0.462919,1.382457,0.42367,0.323195,-0.146463,-0.518539
1,PFC0420w||PF3D7_0310100|| calcium-dependent protein kinase 3 (CDPK3) ,0.413485,-0.02245,-0.865381,-0.503305,0.476556,0.046418,-0.636309,0.02245,1.786645,0.482256,-0.849409,-0.370342,1.626072,0.370342,-0.970661,-0.537964,0.063071,0.068868,0.229072,0.525755,-0.160573,-0.111914,-0.121252,-0.167622
1,"PF11_0411||PF3D7_1140000|| carbonic anhydrase, putative ",0.499067,-0.114285,-0.733237,-0.143069,0.438377,0.114285,-0.248383,0.430328,2.13456,0.677168,-1.075212,-0.043045,0.845231,0.043045,-1.160546,-0.341577,-0.06069,0.22857,0.484854,0.573397,-1.289329,-0.634123,-0.085334,-0.298532
1,PFL0800c||PF3D7_1216600|| cell traversal protein for ookinetes and sporozoites (CelTOS) ,-0.144753,-0.111972,-0.452755,-0.484887,1.334062,0.132402,0.111972,0.928345,0.036619,0.342994,-0.103429,0.409782,0.995789,-0.036619,-1.247587,-0.100477,1.478815,0.244374,0.564727,1.413232,0.95917,-0.379613,-1.144158,-0.510259
1,"PFA0470c||PF3D7_0109600|| cold-shock protein, putative ",-0.329943,0.166175,-0.051503,-0.787529,0.051503,0.36123,-0.226914,0.312382,0.379082,0.017061,-0.485836,-0.569459,0.500618,0.094692,-0.017061,-0.568513,0.381446,0.195055,-0.175411,1.099911,0.121536,0.077631,0.468775,0.000946
