ClusterID,Old Gene ID||New GeneID||Product Description,3D7cam 0h,3D7cam 12h,3D7cam 24h,3D7cam 36h,3D7pfs16 0h,3D7pfs16 12h,3D7pfs16 24h,3D7pfs16 36h,F12cam 0h,F12cam 12h,F12cam 24h,F12cam 36h,F12pfs16 0h,F12pfs16 12h,F12pfs16 24h,F12pfs16 36h,3D7 0h FC,3D7 12h FC,3D7 24h FC,3D7 36h FC,F12 0h FC,F12 12h FC,F12 24h FC,F12 36h FC
1,"PFL2235w||PF3D7_1246600||conserved Plasmodium protein, unknown function",0.728908,0.067097,-0.067097,-0.455415,-0.189739,0.133687,0.138076,-0.17037,0.277339,0.165205,-0.434867,-1.282166,0.424464,0.032515,-0.032515,-1.369157,-0.918647,0.06659,0.205173,0.285045,0.147125,-0.13269,0.402352,-0.086991
1,"PFD1045c||PF3D7_0422200||erythrocyte membrane-associated antigen, putative",0.241446,0.023998,-0.478335,-0.023998,-0.056359,0.828052,0.276488,-0.110893,-0.157408,0.498702,0.010074,-0.010074,0.054172,0.264528,-0.088477,-0.074999,-0.297805,0.804054,0.754823,-0.086895,0.21158,-0.234174,-0.098551,-0.064925
1,"PF13_0310||PF3D7_1358100||small subunit rRNA processing factor, putative",0.813131,0.175762,-0.209803,-0.494964,-0.312597,0.482093,0.360006,-0.175762,0.183367,0.637501,-0.183367,-0.975369,0.413283,0.456488,-0.2213,-1.18176,-1.125728,0.306331,0.569809,0.319202,0.229916,-0.181013,-0.037933,-0.206391
1,"PF10_0021||PF3D7_1001700||Plasmodium exported protein (PHISTc), unknown function",-0.966212,0.681856,0.359024,0.759806,0.01297,-0.01297,-0.374979,-0.684769,1.443478,-0.020221,-0.045082,0.315094,1.300613,0.020221,-0.1251,-0.314196,0.979182,-0.694826,-0.734003,-1.444575,-0.142865,0.040442,-0.080018,-0.62929
1,"MAL13P1.34||PF3D7_1306800||RED-like protein, putative",0.074314,0.290646,0.452391,0.351278,-0.074314,-0.347743,-0.40636,-0.293785,0.027504,0.011336,-0.106153,-0.06782,0.000404,0.040143,-0.000404,-0.528122,-0.148628,-0.638389,-0.858751,-0.645063,-0.0271,0.028807,0.105749,-0.460302
1,"PFC0765c||PF3D7_0317400||conserved Plasmodium protein, unknown function",-0.032362,0.032362,1.070004,0.451303,0.247471,-0.139428,-0.174327,-0.38376,-0.872529,-0.009951,0.937672,-0.01692,-1.038483,0.009951,0.828002,0.103752,0.279833,-0.17179,-1.244331,-0.835063,-0.165954,0.019902,-0.10967,0.120672
1,"MAL13P1.194||PF3D7_1338700||conserved Plasmodium protein, unknown function",-0.437051,0.214796,1.481915,1.192846,0.142602,-0.489752,-0.142602,-0.474162,-1.012831,-0.280486,1.501134,0.526029,-1.171876,-0.18838,1.079558,0.18838,0.579653,-0.704548,-1.624517,-1.667008,-0.159045,0.092106,-0.421576,-0.337649
1,"PFI0825w||PF3D7_0916900||conserved Plasmodium protein, unknown function",-0.407538,1.38573,-0.710654,1.280033,0.407538,0.623069,-0.583798,-0.501288,2.058357,-0.432002,-0.726889,0.92016,1.945824,0.263835,-0.507761,-0.263835,0.815076,-0.762661,0.126856,-1.781321,-0.112533,0.695837,0.219128,-1.183995
1,PF13_0159||PF3D7_1327600||nicotinic acid mononucleotide adenyltransferase,-0.193934,0.360647,-0.630839,0.574071,0.193934,-0.390324,-0.22579,0.222139,0.069559,-0.140808,-0.588969,1.29594,0.019909,-0.019909,-0.537902,0.802738,0.387868,-0.750971,0.405049,-0.351932,-0.04965,0.120899,0.051067,-0.493202
