Run,Index,Description,Pool,Condition,Mouse,Replicate,,
replicateA,1,SP3a_grad_m1.1,SP3,control,1,1,,
replicateA,2,SP3a+b_grad_m2.1,SP3,control,2,1,,
replicateA,3,SP3a+b_grad_m3.1,SP3,control,3,1,,
replicateA,4,SP3a+b_Sort1_m1.1,SP3,GFPsort,1,1,,
replicateA,5,SP3a+b_Sort2_m1.1,SP3,sort2,1,1,,
replicateA,6,SP3a+b_Sort3_m1.1,SP3,RFPsort,1,1,,
replicateA,7,SP3a+b_Sort4_m1.1,SP3,sort4,1,1,,
replicateA,8,SP3a+b_Sort1_m2.1,SP3,GFPsort,2,1,,
replicateA,9,SP3a+b_Sort2_m2.1,SP3,sort2,2,1,,
replicateA,10,SP3a+b_Sort3_m2.1,SP3,RFPsort,2,1,,
replicateA,11,SP3a+b_Sort4_m2.1,SP3,sort4,2,1,,
replicateA,12,SP3a+b_Sort1_m3.1,SP3,GFPsort,3,1,,
replicateA,13,SP3a+b_Sort2_m3.1,SP3,sort2,3,1,,
replicateA,14,SP3a+b_Sort3_m3.1,SP3,RFPsort,3,1,,
replicateA,15,SP3a+b_Sort4_m3.1,SP3,sort4,3,1,,
replicateB,1,SP3a_grad_m1.1,SP3,control,1,2,,
replicateB,2,SP3a+b_grad_m2.1,SP3,control,2,2,,
replicateB,3,SP3a+b_grad_m3.1,SP3,control,3,2,,
replicateB,4,SP3a+b_Sort1_m1.1,SP3,GFPsort,1,2,,
replicateB,5,SP3a+b_Sort2_m1.1,SP3,sort2,1,2,,
replicateB,6,SP3a+b_Sort3_m1.1,SP3,RFPsort,1,2,,
replicateB,7,SP3a+b_Sort4_m1.1,SP3,sort4,1,2,,
replicateB,8,SP3a+b_Sort1_m2.1,SP3,GFPsort,2,2,,
replicateB,9,SP3a+b_Sort2_m2.1,SP3,sort2,2,2,,
replicateB,10,SP3a+b_Sort3_m2.1,SP3,RFPsort,2,2,,
replicateB,11,SP3a+b_Sort4_m2.1,SP3,sort4,2,2,,
replicateB,12,SP3a+b_Sort1_m3.1,SP3,GFPsort,3,2,,
replicateB,13,SP3a+b_Sort2_m3.1,SP3,sort2,3,2,,
replicateB,14,SP3a+b_Sort3_m3.1,SP3,RFPsort,3,2,,
replicateB,15,SP3a+b_Sort4_m3.1,SP3,sort4,3,2,,
PbSTM101,1,pb820_Mix_A_blood_1.1,PbSTM101,control,1,1,,
PbSTM101,2,pb820_Mix_B_blood_1.1,PbSTM101,control,2,1,,
PbSTM101,3,pb820_Mix_C_blood_1.1,PbSTM101,control,3,1,,
PbSTM101,13,pb820_Mix_A_blood_2.1,PbSTM101,control,1,2,,
PbSTM101,14,pb820_Mix_B_blood_2.1,PbSTM101,control,3,2,,
PbSTM101,15,pb820_Mix_C_blood_2.1,PbSTM101,control,2,2,,
PbSTM101,25,pb820_Mix_A_GFPsort_1.1,PbSTM101,GFPsort,1,1,,
PbSTM101,26,pb820_Mix_A_RFPsort_1.1,PbSTM101,RFPsort,1,1,,
PbSTM101,27,pb820_Mix_A_Negsort_1.1,PbSTM101,Negsort,1,1,,
PbSTM101,28,pb820_Mix_B_GFPsort_1.1,PbSTM101,GFPsort,2,1,,
PbSTM101,29,pb820_Mix_B_RFPsort_1.1,PbSTM101,RFPsort,2,1,,
PbSTM101,30,pb820_Mix_B_Negsort_1.1,PbSTM101,Negsort,2,1,,
PbSTM101,31,pb820_Mix_C_GFPsort_1.1,PbSTM101,GFPsort,3,1,,
PbSTM101,32,pb820_Mix_C_RFPsort_1.1,PbSTM101,RFPsort,3,1,,
PbSTM101,33,pb820_Mix_C_Negsort_1.1,PbSTM101,Negsort,3,1,,
PbSTM101,34,pb820_Mix_A_GFPsort_2.1,PbSTM101,GFPsort,1,2,,
PbSTM101,35,pb820_Mix_A_RFPsort_2.1,PbSTM101,RFPsort,1,2,,
PbSTM101,36,pb820_Mix_A_Negsort_2.1,PbSTM101,Negsort,1,2,,
PbSTM101,37,pb820_Mix_B_GFPsort_2.1,PbSTM101,GFPsort,2,2,,
PbSTM101,38,pb820_Mix_B_RFPsort_2.1,PbSTM101,RFPsort,2,2,,
PbSTM101,39,pb820_Mix_B_Negsort_2.1,PbSTM101,Negsort,2,2,,
PbSTM101,40,pb820_Mix_C_GFPsort_2.1,PbSTM101,GFPsort,3,2,,
PbSTM101,41,pb820_Mix_C_RFPsort_2.1,PbSTM101,RFPsort,3,2,,
PbSTM101,42,pb820_Mix_C_Negsort_2.1,PbSTM101,Negsort,3,2,,
counts_24160,1,,Targeted,DoNotAnalyse,,,,
counts_24160,2,,Targeted,DoNotAnalyse,,,,
counts_24160,3,,Targeted,GFPsort,A,1,,
counts_24160,4,,Targeted,GFPsort,B,1,,
counts_24160,5,,Targeted,DoNotAnalyse,,,,
counts_24160,6,,Targeted,RFPsort,B,1,,
counts_24160,7,,Targeted,DoNotAnalyse,,,,
counts_24160,8,,Targeted,DoNotAnalyse,,,,
counts_24160,9,,Targeted,DoNotAnalyse,,,,
counts_24160,10,,Targeted,Negsort,C,1,,
counts_24160,11,,Targeted,Negsort,A,1,,
counts_24160,12,,Targeted,Negsort,B,1,,
counts_24160,13,,Targeted,GFPsort,C,1,,
counts_24160,14,,Targeted,RFPsort,C,1,,
counts_24160,15,,Targeted,RFPsort,A,1,,
counts_24160,16,,Targeted,DoNotAnalyse,,,,
counts_24160,17,,Targeted,Negsort,C,2,,
counts_24160,18,,Targeted,Negsort,A,2,,
counts_24160,19,,Targeted,Negsort,B,2,,
counts_24160,20,,Targeted,GFPsort,C,2,,
counts_24160,21,,Targeted,RFPsort,C,2,,
counts_24160,22,,Targeted,RFPsort,A,2,,
counts_24160,23,,Targeted,DoNotAnalyse,,,,
counts_24160,24,,Targeted,DoNotAnalyse,,,,
counts_24160,25,,Targeted,GFPsort,A,2,,
counts_24160,26,,Targeted,GFPsort,B,2,,
counts_24160,27,,Targeted,DoNotAnalyse,,,,
counts_24160,28,,Targeted,RFPsort,B,2,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,AAAA
