GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_0406200,PFD0310w,sexual stage-specific protein precursor (Pfs16),-0.57697,2.8686325,,√,stabilized,,√,,√,,√,√,√,√,,√,√,,,8,YES,YES,,,
PF3D7_0422000,PFD1035w,"steroid dehydrogenase, putative",-0.1443765,0.911536,,,,,,,,,√,√,√,√,√,√,√,√,,8,NO,YES,,,
PF3D7_0103800,PFA0190c,actin-related protein (ARP1),-1.131228,0.6293705,,,,,√,,,,√,√,√,√,,√,√,√,,8,NO,YES,,,
PF3D7_0508200,PFE0405c,"longevity-assurance (LAG1) domain protein, putative",-0.094162,0.4664855,,,,,√,,,,√,√,√,√,,√,√,√,,8,NO,YES,,,
PF3D7_1031000,PF10_0303,25 kDa ookinete surface antigen precursor (Pfs25),0.6657025,2.5866425,,√,stabilized,,√,,,√,√,,√,√,,,√,√,√,8,YES,YES,,,
PF3D7_1216500,PFL0795c,male development gene 1 (MDV1),0.322552,1.894614,,√,stabilized,√,√,,√,,√,,√,√,,√,√,,,8,YES,YES,,,
PF3D7_1431100,PF14_0290,"conserved Plasmodium protein, unknown function",-1.4321075,1.6474575,,√,stabilized,,√,,√,,√,,√,√,,√,√,√,,8,YES,YES,,,
PF3D7_0927200,PFI1335w,"zinc finger protein, putative",-1.298304,1.378095,,√,stabilized,,√,,,,√,√,√,√,,√,√,√,,8,YES,YES,,,
PF3D7_0109100,PFA0445w,LCCL domain-containing protein (CCp5),-0.949348,1.1836705,,√,stabilized,,√,,,,√,√,√,√,,,√,√,√,8,YES,YES,,,
PF3D7_0513700,PFE0680w,"secreted ookinete protein, putative (PSOP12)",-0.0758815,1.0171525,,√,stabilized,,√,,,,√,√,√,√,,,√,√,√,8,YES,YES,,,
PF3D7_1346800,PF13_0248,6-cysteine protein (P47),1.2548015,0.8282975,√,,transcribed,,√,,√,,√,,√,√,,√,√,√,,8,YES,YES,,,
PF3D7_0525900,PFE1290w,NIMA related kinase 2 (NEK2),0.2775975,0.7081385,,,,,√,,,,√,√,√,√,,,√,√,√,8,NO,YES,,,
PF3D7_0719200,MAL7P1.100,NIMA related kinase 4 (NEK4),1.6864085,0.644523,√,,transcribed,,√,,,,√,√,√,√,,,√,√,√,8,YES,YES,,,
PF3D7_0209000,PFB0405w,6-cysteine protein (P230),1.324169,0.6288255,√,,transcribed,,√,,,,√,√,√,√,,√,√,√,,8,YES,YES,,,
PF3D7_0825900,PF08_0023,"conserved Plasmodium protein, unknown function",1.391605,0.5469725,√,,transcribed,,√,,,,√,√,√,√,,√,√,√,,8,YES,YES,,,
PF3D7_0809700,PF08_0100,"RuvB DNA helicase, putative",0.3236845,0.418479,,,,,√,,,,√,√,√,√,,√,√,√,,8,NO,YES,,,
PF3D7_0822500,MAL8P1.46,dynein light chain 1 (DLC1),1.291351,0.199004,√,,transcribed,,√,,,,√,√,√,√,,√,√,√,,8,YES,YES,,,
PF3D7_1327300,PF13_0161,"conserved Plasmodium protein, unknown function",-0.577901,1.71355,,√,stabilized,√,,,,√,√,,√,√,,√,√,,,7,YES,YES,,,
PF3D7_0721700,PF07_0089,"secreted ookinete protein, putative (PSOP1)",0.17889,0.9257525,,,,,√,,,,√,√,√,√,,√,√,,,7,NO,YES,,,
PF3D7_0518700,PFE0935c,mRNA-binding protein PUF1 (PUF1),-0.75509,0.6839005,,,,,,,,,√,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0615100,PFF0730c,enoyl-acyl carrier reductase (ENR),0.7959245,0.598897,√,,transcribed,,√,,,,√,√,√,√,,√,√,,,7,YES,YES,,,
PF3D7_0915700,PFI0770c,"conserved Plasmodium protein, unknown function",-1.7863265,0.527941,,,,,,,,,√,√,√,√,,√,√,√,,7,NO,YES,,,
PF3D7_1020300,PF10_0196,"cytoplasmic dynein intermediate chain, putative",0.142024,0.508461,,,,,√,,,,√,,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0618500,PFF0895w,malate dehydrogenase (MDH),-0.974345,0.485393,,,,,√,,,,√,√,√,√,,√,√,,,7,NO,YES,,,
PF3D7_0927100,PFI1330c,"conserved Plasmodium protein, unknown function",-0.8485565,0.4654145,,,,,,,,,√,√,√,√,,√,√,√,,7,NO,YES,,,
PF3D7_0620100,PFF0980w,"conserved Plasmodium protein, unknown function",-0.2865555,0.3213835,,,,,,,,,√,√,√,√,,√,√,√,,7,NO,YES,,,
PF3D7_0922900,PFI1125c,beta-ketoacyl-acyl carrier protein reductase (FabG),1.6641975,0.2088255,√,,transcribed,,√,,,,√,√,√,√,,√,√,,,7,YES,YES,,,
PF3D7_0103000,PFA0150c,"conserved Plasmodium protein, unknown function",0.201411,0.189984,,,,,,,,,√,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0825400,MAL8P1.25a,"conserved Plasmodium protein, unknown function",-0.793661,0.1193145,,,,,,,,,√,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0816400,MAL8P1.79,"conserved Plasmodium protein, unknown function",0.3003695,-0.005599,,,,,,,,,√,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0920500,PFI1005w,"ADP-ribosylation factor, putative",1.3752355,-0.0637295,√,,transcribed,√,,,,,√,√,√,√,,√,√,,,7,YES,YES,,,
PF3D7_0623500,PFF1130c,superoxide dismutase (SOD2),-1.4199935,-0.1004105,,,,,,,,,√,√,√,√,,√,√,√,,7,NO,YES,,,
PF3D7_0913400,PFI0655c,"conserved Plasmodium protein, unknown function",-0.4057905,-0.107011,,,,,,,,,√,√,√,√,,√,√,√,,7,NO,YES,,,
PF3D7_1477700,PF14_0748,"Plasmodium exported protein (PHISTa), unknown function (Pfg14-748)",-0.9943115,1.9528655,,√,stabilized,,,√,√,,√,,√,√,,√,√,,,7,YES,YES,,,
PF3D7_1430800,PF14_0287,"conserved Plasmodium protein, unknown function",-0.77008,1.568216,,√,stabilized,,√,,,,√,,√,√,,√,√,√,,7,YES,YES,,,
PF3D7_0831300,MAL8P1.205,"Plasmodium exported protein, unknown function (GEXP13)",-0.910686,1.0626055,,√,stabilized,,,,,,√,√,√,√,√,√,√,,,7,YES,YES,,,
PF3D7_0303900,PFC0176c,"conserved Plasmodium protein, unknown function",0.046083,0.8478145,,,,,√,,,,√,√,√,√,,√,√,,,7,NO,YES,,,
PF3D7_1413200,PF14_0131,"conserved Plasmodium protein, unknown function",0.7797455,0.75815,,,,,√,,,,√,,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_1006100,PF10_0062,"CCR4-NOT transcription complex subunit 5, putative (NOT5)",0.309186,0.7310155,,,,,√,,,,√,√,√,√,,√,√,,,7,NO,YES,,,
PF3D7_0931900,PFI1550c,"conserved Plasmodium protein, unknown function",-0.3964635,0.7297,,,,,√,,,,√,√,,√,,,√,√,√,7,NO,YES,,,
PF3D7_1218800,PFL0915c,"conserved Plasmodium protein, unknown function (PSOP17)",1.908605,0.660185,√,,transcribed,,√,,,,√,,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_0107000,PFA0345w-a,centrin-1 (CEN1),-0.707229,0.535669,,,,,,,,,√,√,√,√,,√,√,√,,7,NO,YES,,,
PF3D7_1423400,PF14_0225,"conserved Plasmodium membrane protein, unknown function",0.1676455,0.5006145,,,,,√,,,,√,,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_1113900,PF11_0147,mitogen-activated protein kinase 2 (MAP2),0.747883,0.498473,√,,transcribed,,√,,,,√,,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_0307300,PFC0305w,"EB1 homolog, putative",0.1378,0.4960005,√,,transcribed,,√,,,,,√,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_0417000,PFD0820w,"conserved Plasmodium protein, unknown function",1.845554,0.4544735,√,,transcribed,,,,,,√,√,√,√,,√,√,√,,7,YES,YES,,,
PF3D7_1349000,MAL13P1.247,"conserved Plasmodium protein, unknown function",1.24078,0.4422135,√,,transcribed,,√,,,,√,,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_1114000,PF11_0148,"dynein light chain type 2, putative",1.109505,0.3773225,√,,transcribed,,√,,,,√,,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_0309100,PFC0381c,"conserved Plasmodium protein, unknown function",0.149443,0.283118,,,,,√,,,,√,√,√,√,,√,√,,,7,NO,YES,,,
PF3D7_0513000,PFE0645w,"conserved Plasmodium protein, unknown function",0.9959615,0.270532,,,,,,,,,√,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_1128300,PF11_0294,6-phosphofructokinase (PFK11),1.0533845,0.234161,√,,transcribed,,√,,,,√,,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_0928100,PFI1380c,"conserved Plasmodium protein, unknown function",0.6573855,0.19584,,,,,√,,,,,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_1251000,PFL2450c,"conserved Plasmodium protein, unknown function",1.229505,0.193989,√,,transcribed,,√,,,,√,,√,√,,,√,√,√,7,YES,YES,,,
PF3D7_0922000,PFI1080w,"dynein intermediate chain 2, ciliary",0.9749515,0.140757,,,,,√,,,,√,√,,√,,,√,√,√,7,NO,YES,,,
PF3D7_0605300,PFF0260w,serine/threonine protein kinase (ARK1),0.782515,0.139376,,,,,,,,,√,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0313600,PFC0570c,"conserved Plasmodium protein, unknown function",0.011846,0.0990185,,,,,√,,,,,√,√,√,,,√,√,√,7,NO,YES,,,
PF3D7_0608600,PFF0425w,"conserved Plasmodium protein, unknown function",-0.1727675,0.0849485,,,,,√,,,,√,√,√,√,,√,√,,,7,NO,YES,,,
PF3D7_0907500,PFI0360c,"conserved Plasmodium protein, unknown function",n.d.,n.d.,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0109000,PFA0440w,"photosensitized INA-labeled protein 1, PhIL1, putative",-3.3392875,1.997772,,√,stabilized,,,,,,√,√,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1016900,PF10_0164,early transcribed membrane protein 10.3 (ETRAMP10.3),-0.17826,1.5345935,,√,stabilized,√,,,,,√,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1351600,PF13_0269,glycerol kinase (GK),-0.618174,1.4224205,,√,stabilized,√,√,,,,,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_1246400,PFL2225w,"myosin light chain 1,myosin A tail domain interacting protein (MTIP)",-1.3558685,1.283953,,√,stabilized,√,,,,√,√,,√,√,,,√,,,6,YES,YES,,,
PF3D7_1222700,PFL1090w,glideosome-associated protein 45 (GAP45),-3.5477295,1.220367,,√,stabilized,√,,,,√,,,√,√,,√,√,,,6,YES,YES,,,
PF3D7_0628100,PFF1365c,"HECT-domain (ubiquitin-transferase), putative",-1.793759,0.9757885,,,,√,,,,√,,,√,√,,,,√,√,6,NO,YES,,,
PF3D7_1128600,PF11_0297,"CCR4-NOT transcription complex subunit 2, putative (NOT2)",0.3140025,0.8477225,,,,,√,,,,√,,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0914400,PFI0705w,"conserved Plasmodium protein, unknown function",-2.3929865,0.8427265,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_0416500,PFD0800c,"conserved Plasmodium protein, unknown function",-0.7370955,0.8234675,,,,,,,,,√,√,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1472900,PF14_0697,"dihydroorotase, putative",-2.009963,0.7801975,,,,,,,,,√,,,√,√,√,√,√,,6,NO,YES,,,
PF3D7_1127600,PF11_0287,"CRAL/TRIO domain-containing protein, putative",-2.7778445,0.7466705,,,,√,,,,,√,,√,√,,√,√,,,6,NO,YES,,,
PF3D7_1472600,PF14_0694,protein disulfide isomerase (PDI-14),-2.761898,0.7062995,,,,√,,,,,,,√,√,,,√,√,√,6,NO,YES,,,
PF3D7_0920000,PFI0980w,"long chain fatty acid elongation enzyme, putative",-0.412829,0.541554,,,,,√,,,,√,√,,√,√,√,,,,6,NO,YES,,,
PF3D7_1358400,MAL13P1.287,"conserved Plasmodium protein, unknown function",-1.318421,0.509905,,,,,,,,,√,,√,√,,,√,√,√,6,NO,YES,,,
