pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0071 plate 1",A,1,Rec00011-tar,B,9,21822,PbGEM-121250,PBANKA_122560,ko
"barseq_0071 plate 1",A,2,Rec00012-tar,B,4,21836,PbGEM-121274,PBANKA_041350,ko
"barseq_0071 plate 1",A,3,Rec00015-tar,A,4,21891,PbGEM-005773,PBANKA_010510,ko
"barseq_0071 plate 1",A,4,Rec00015-tar,E,1,21905,PbGEM-050692,PBANKA_122990,ko
"barseq_0071 plate 1",A,5,Rec00017-tar,C,9,22038,PbGEM-111778,PBANKA_093370,ko
"barseq_0071 plate 1",A,6,Rec00020-tar,F,2,22327,PbGEM-106052,PBANKA_132380,ko
"barseq_0071 plate 1",A,7,Rec00021-tar,A,8,22361,PbGEM-044263,PBANKA_112980,ko
"barseq_0071 plate 1",A,8,Rec00022-tar,D,5,22479,PbGEM-052197,PBANKA_124120,ko
"barseq_0071 plate 1",A,9,Rec00022-tar,F,12,22510,PbGEM-095750,PBANKA_100640,ko
"barseq_0071 plate 1",A,10,Rec00022-tar,G,1,22511,PbGEM-097822,PBANKA_103780,ko
"barseq_0071 plate 1",A,11,Rec00024-tar,E,2,22658,PbGEM-065557,PBANKA_142370,ko
"barseq_0071 plate 1",A,12,Rec00025-tar,B,8,22717,PbGEM-036651,PBANKA_101610,ko
"barseq_0071 plate 1",B,1,Rec00026-tar,A,10,22795,PbGEM-009087,PBANKA_030260,ko
"barseq_0071 plate 1",B,2,Rec00027-tar,B,6,22892,PbGEM-010877,PBANKA_031590,ko
"barseq_0071 plate 1",B,3,Rec00031-tar,A,3,23226,PbGEM-064151,PBANKA_141360,ko
"barseq_0071 plate 1",B,4,Rec00031-tar,A,10,23233,PbGEM-059126,PBANKA_134380,ko
"barseq_0071 plate 1",B,5,Rec00032-tar,B,9,23327,PbGEM-067386,PBANKA_143630,ko
"barseq_0071 plate 1",B,6,Rec00032-tar,C,5,23335,PbGEM-066674,PBANKA_143150,ko
