pool,pool_row,pool_col,plate,plate_row,plate_col,stored_materials_id,PbGEM-ID,gene_id,design_type
"barseq_0074 plate 1",A,1,Rec00020-tar,E,6,22319,PbGEM-065839,PBANKA_142590,ko
"barseq_0074 plate 1",A,2,Rec00023-tar,C,1,22548,PbGEM-091576,PBANKA_082450,ko
"barseq_0074 plate 1",A,3,Rec00025-tar,C,10,22730,PbGEM-009046,PBANKA_030230,ko
"barseq_0074 plate 1",A,4,Rec00025-tar,E,4,22747,PbGEM-058996,PBANKA_134280,ko
"barseq_0074 plate 1",A,5,Rec00026-tar,G,5,22861,PbGEM-043245,PBANKA_112280,ko
"barseq_0074 plate 1",A,6,Rec00027-tar,D,1,22911,PbGEM-012274,PBANKA_041030,ko
"barseq_0074 plate 1",A,7,Rec00028-tar,D,8,23008,PbGEM-096343,PBANKA_101400,ko
"barseq_0074 plate 1",A,8,Rec00028-tar,E,10,23022,PbGEM-091380,PBANKA_082170,ko
"barseq_0074 plate 1",A,9,Rec00028-tar,H,2,23050,PbGEM-108540,PBANKA_135860,ko
"barseq_0074 plate 1",A,10,Rec00029-tar,C,3,23081,PbGEM-083434,PBANKA_030860,ko
"barseq_0074 plate 1",A,11,Rec00029-tar,D,4,23094,PbGEM-106603,PBANKA_133060,ko
"barseq_0074 plate 1",A,12,Rec00029-tar,E,8,23110,PbGEM-105499,PBANKA_131750,ko
"barseq_0074 plate 1",B,1,Rec00029-tar,G,2,23128,PbGEM-101822,PBANKA_120640,ko
"barseq_0074 plate 1",B,2,Rec00029-tar,G,5,23131,PbGEM-089700,PBANKA_071760,ko
"barseq_0074 plate 1",B,3,Rec00032-tar,G,8,23386,PbGEM-036911,PBANKA_101800,ko
"barseq_0074 plate 1",B,4,Rec00033-tar,E,5,23448,PbGEM-082330,PBANKA_020760,ko
"barseq_0074 plate 1",B,5,rec111_gw_trans1,C,12,290517,PbGEM-536243,PBANKA_122320,ko
"barseq_0074 plate 1",B,6,rec111_gw_trans2,B,6,290592,PbGEM-534179,PBANKA_061800,ko
"barseq_0074 plate 1",B,7,rec112_gw_trans2,A,9,291699,PbGEM-535243,PBANKA_100130,ko
"barseq_0074 plate 1",B,8,rec36_gw_trans1,D,12,144628,PbGEM-252597,PBANKA_122770,ko
"barseq_0074 plate 1",B,9,rec39_gw_trans2,E,5,143982,PbGEM-236973,PBANKA_072060,ko
"barseq_0074 plate 1",B,10,rec40_gw_trans1,B,8,178410,PbGEM-254102,PBANKA_142640,ko
"barseq_0074 plate 1",B,11,rec40_gw_trans1,G,11,178473,PbGEM-227680,PBANKA_030170,ko
"barseq_0074 plate 1",B,12,rec41_gw_trans1,E,5,178815,PbGEM-246443,PBANKA_110840,ko
"barseq_0074 plate 1",C,1,rec41_gw_trans3,G,4,179024,PbGEM-230237,PBANKA_031520,ko
"barseq_0074 plate 1",C,2,rec45_gw_trans1,D,5,142761,PbGEM-264748,PBANKA_094330,ko
"barseq_0074 plate 1",C,3,rec45_gw_trans2,G,9,142894,PbGEM-265332,PBANKA_030460,ko
"barseq_0074 plate 1",C,4,rec45_gw_trans4,C,1,143024,PbGEM-264356,PBANKA_070220,ko
"barseq_0074 plate 1",C,5,rec46_gw_trans1,G,3,141610,PbGEM-307194,PBANKA_122650,ko
"barseq_0074 plate 1",C,6,rec48_gw_trans2,E,2,143607,PbGEM-293400,PBANKA_100610,ko
"barseq_0074 plate 1",C,7,rec49_gw_trans1,H,9,144301,PbGEM-311255,PBANKA_130970,ko
"barseq_0074 plate 1",C,8,rec52_gw_trans3,D,3,152617,PbGEM-312805,PBANKA_132170,ko
"barseq_0074 plate 1",C,9,rec53_gw_trans1,A,6,182284,PbGEM-332923,PBANKA_092890,ko
"barseq_0074 plate 1",C,10,rec53_gw_trans1,D,9,182323,PbGEM-333323,PBANKA_100010,ko
"barseq_0074 plate 1",C,11,rec53_gw_trans3,F,1,182525,PbGEM-335867,PBANKA_113880,ko
"barseq_0074 plate 1",C,12,rec53_gw_trans3,G,9,182545,PbGEM-328427,PBANKA_030450,ko
"barseq_0074 plate 1",D,1,rec54_gw_trans1,H,2,154338,PbGEM-317307,PBANKA_135740,ko
"barseq_0074 plate 1",D,2,rec55_gw_trans1,C,4,134636,PbGEM-246982,PBANKA_121230,ko
"barseq_0074 plate 1",D,3,rec58_gw_trans1,G,5,187995,PbGEM-269987,PBANKA_030580,ko
"barseq_0074 plate 1",D,4,rec58_gw_trans4,F,12,188269,PbGEM-336171,PBANKA_120440,ko
"barseq_0074 plate 1",D,5,rec59_gw_trans2,F,2,189233,PbGEM-332315,PBANKA_090440,ko
"barseq_0074 plate 1",D,6,rec60_gw_trans1,E,11,208910,PbGEM-288226,PBANKA_091010,ko
"barseq_0074 plate 1",D,7,rec60_gw_trans1,G,6,208929,PbGEM-333763,PBANKA_101240,ko
"barseq_0074 plate 1",D,8,rec60_gw_trans2,B,12,208968,PbGEM-327659,PBANKA_010490,ko
"barseq_0074 plate 1",D,9,rec61_gw_trans2,A,5,210056,PbGEM-284562,PBANKA_081620,ko
"barseq_0074 plate 1",D,10,rec61_gw_trans3,G,2,210217,PbGEM-292200,PBANKA_094130,ko
"barseq_0074 plate 1",D,11,rec61_gw_trans3,H,1,210228,PbGEM-325811,PBANKA_145800,ko
"barseq_0074 plate 1",D,12,rec64_gw_trans3,A,2,207939,PbGEM-342844,PBANKA_121650,ko
"barseq_0074 plate 1",E,1,rec66_gw_trans2,B,5,215960,PbGEM-337395,PBANKA_130150,ko
"barseq_0074 plate 1",E,2,rec67_gw_trans2,D,7,218718,PbGEM-300531,PBANKA_112220,ko
"barseq_0074 plate 1",E,3,rec73_gw_trans1,B,10,228221,PbGEM-330515,PBANKA_070120,ko
"barseq_0074 plate 1",E,4,rec73_gw_trans1,F,10,228269,PbGEM-339395,PBANKA_140310,ko
"barseq_0074 plate 1",E,5,rec74_gw_trans1,C,7,229346,PbGEM-327907,PBANKA_020260,ko
"barseq_0074 plate 1",E,6,rec74_gw_trans4,F,1,229655,PbGEM-310447,PBANKA_130400,ko
"barseq_0074 plate 1",E,7,rec75_gw_trans1,E,6,231601,PbGEM-268283,PBANKA_020710,ko
"barseq_0074 plate 1",E,8,rec76_gw_trans1,H,2,234981,PbGEM-293896,PBANKA_100970,ko
"barseq_0074 plate 1",E,9,rec76_gw_trans3,D,4,235121,PbGEM-327795,PBANKA_010870,ko
"barseq_0074 plate 1",E,10,rec79_gw_trans1,G,3,239638,PbGEM-294664,PBANKA_101650,ko
"barseq_0074 plate 1",E,11,rec80_gw_trans1,C,2,240705,PbGEM-337811,PBANKA_131630,ko
"barseq_0074 plate 1",E,12,rec84_gw_trans3,E,5,243150,PbGEM-323179,PBANKA_143780,ko
"barseq_0074 plate 1",F,1,rec85_gw_trans3,H,3,253592,PbGEM-340627,PBANKA_144710,ko
"barseq_0074 plate 1",F,2,rec88_gw_trans1,A,8,260101,PbGEM-336339,PBANKA_121080,ko
"barseq_0074 plate 1",F,3,rec88_gw_trans3,H,1,260364,PbGEM-302914,PBANKA_114150,ko
"barseq_0074 plate 1",F,4,rec95_gw_trans1,A,9,275548,PbGEM-273786,PBANKA_050250,ko
"barseq_0074 plate 1",F,5,rec95_gw_trans1,C,8,275571,PbGEM-293632,PBANKA_100770,ko
"barseq_0074 plate 1",F,6,rec95_gw_trans1,C,10,275573,PbGEM-272042,PBANKA_040720,ko
