"gene","current_version_ID","gene_name","gene_product","Relative.Growth.Rate","phenotype","lower","upper","cloneid","experiment","Confidence","normd6toinputA","normd6toinputB","normd6toinputC"
"PBANKA_010290","PBANKA_0102900","SIP2","transcription factor with AP2 domain(s), putative;SPE2-interacting protein, putative",0.0965747583453855,"Essential",-0.0502773247641103,0.243426841454881,"PbGEM-005512","inv1",5.22295323342077,0.0020767327095532,0.0040006744091449,0.00326205315954211
"PBANKA_010290","PBANKA_0102900","SIP2","transcription factor with AP2 domain(s), putative;SPE2-interacting protein, putative",0.256173391951914,"Essential",-0.0718469728446732,0.5841937567485,"PbGEM-005512","met15",3.61565353058167,0.00150134682556187,0.00283758485582141,0.00128371902781134
"PBANKA_020460","PBANKA_0204600","PHIL1","photosensitized INA-labeled protein PHIL1, putative",0.30416058601486,"Essential",-0.173567067311509,0.78188823934123,"PbGEM-082095","inv1",2.86372330468548,NA,NA,NA
"PBANKA_020460","PBANKA_0204600","PHIL1","photosensitized INA-labeled protein PHIL1, putative",0.1,"Essential",NA,NA,"PbGEM-082095","PbSTM21",1,NA,NA,NA
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.265676138044178,"Slow",0.12888039802074,0.402471878067616,"PbGEM-009687","inv1",5.36482719003609,0.00144278712174876,0.00277942437621929,0.00226627541782196
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.0534851816046246,"Essential",-0.129617447097786,0.236587810307036,"PbGEM-009687","met11",4.78171130263157,NA,NA,NA
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.139553683493343,"Essential",-0.296158086112107,0.575265453098793,"PbGEM-009687","PbSTM21",3.04784302737726,NA,NA,NA
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.0740304263577013,"Essential",-0.369055276535827,0.51711612925123,"PbGEM-228612","PbSTM62",3.01427849590339,0.000346902322323626,0.000992650500275219,0.000345368994226231
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.182098303931536,"Essential",-0.0193925476405993,0.383589155503672,"PbGEM-111762","inv1",4.5903169616263,0.00307160978362568,0.00591723267982532,0.00482476842275591
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.229768534389951,"Essential",-0.183979152035052,0.643516220814954,"PbGEM-111762","met15",3.15129224917698,NA,NA,NA
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.0465872476050972,"Essential",-0.127156505184189,0.220331000394383,"PbGEM-111762","PbSTM43",4.88664186182632,NA,NA,NA
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.142107464480443,"Essential",-0.556729487943595,0.840944416904481,"PbGEM-111762","stm26",2.10297000570388,NA,NA,NA
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.1,"Essential",-0.278118569252854,1.46036117391923,"PbGEM-111762","stm27",1,NA,NA,NA
"PBANKA_031480","PBANKA_0314800","","conserved Plasmodium membrane protein, unknown function",1.02776054046876,"Dispensable",0.9100978380735,1.14542324286402,"PbGEM-010745","inv1",5.66616076507259,1.37141141350582,2.64192426939835,2.15416115606965
"PBANKA_031480","PBANKA_0314800","","conserved Plasmodium membrane protein, unknown function",1.00914227362806,"Dispensable",0.867537254478242,1.15074729277787,"PbGEM-010745","PbSTM21",5.29572166587478,1.69586300064954,2.39825219382969,1.48381541644299
"PBANKA_041600","PBANKA_0416000","RhopH3","high molecular weight rhoptry protein 3, putative",0.0751573422141258,"Essential",-0.0837523364380656,0.234067020866317,"PbGEM-085062","inv1",5.06513295503925,NA,NA,NA
