"gene","current_version_ID","gene_name","gene_product","Relative.Growth.Rate","phenotype","lower","upper","experiment","Confidence"
"PBANKA_010290","PBANKA_0102900","SIP2","transcription factor with AP2 domain(s), putative;SPE2-interacting protein, putative",0.0965747583453855,"Essential",-0.0502773247641103,0.243426841454881,"inv1",5.22295323342077
"PBANKA_010290","PBANKA_0102900","SIP2","transcription factor with AP2 domain(s), putative;SPE2-interacting protein, putative",0.256173391951914,"Essential",-0.0718469728446732,0.5841937567485,"met15",3.61565353058167
"PBANKA_020460","PBANKA_0204600","PHIL1","photosensitized INA-labeled protein PHIL1, putative",0.30416058601486,"Essential",-0.173567067311509,0.78188823934123,"inv1",2.86372330468548
"PBANKA_020460","PBANKA_0204600","PHIL1","photosensitized INA-labeled protein PHIL1, putative",0.1,"Essential",NA,NA,"PbSTM21",1
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.265676138044178,"Slow",0.12888039802074,0.402471878067616,"inv1",5.36482719003609
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.0534851816046246,"Essential",-0.129617447097786,0.236587810307036,"met11",4.78171130263157
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.139553683493343,"Essential",-0.296158086112107,0.575265453098793,"PbSTM21",3.04784302737726
"PBANKA_030670","PBANKA_0306700","","transporter, putative",0.0740304263577013,"Essential",-0.369055276535827,0.51711612925123,"PbSTM62",3.01427849590339
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.182098303931536,"Essential",-0.0193925476405993,0.383589155503672,"inv1",4.5903169616263
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.229768534389951,"Essential",-0.183979152035052,0.643516220814954,"met15",3.15129224917698
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.0465872476050972,"Essential",-0.127156505184189,0.220331000394383,"PbSTM43",4.88664186182632
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.142107464480443,"Essential",-0.556729487943595,0.840944416904481,"stm26",2.10297000570388
"PBANKA_031140","PBANKA_0311400","","serine/threonine protein kinase, putative",0.1,"Essential",-0.278118569252854,1.46036117391923,"stm27",1
"PBANKA_031480","PBANKA_0314800","","conserved Plasmodium membrane protein, unknown function",1.02776054046876,"Dispensable",0.9100978380735,1.14542324286402,"inv1",5.66616076507259
"PBANKA_031480","PBANKA_0314800","","conserved Plasmodium membrane protein, unknown function",1.00914227362806,"Dispensable",0.867537254478242,1.15074729277787,"PbSTM21",5.29572166587478
"PBANKA_041600","PBANKA_0416000","RhopH3","high molecular weight rhoptry protein 3, putative",0.0751573422141258,"Essential",-0.0837523364380656,0.234067020866317,"inv1",5.06513295503925
"PBANKA_041600","PBANKA_0416000","RhopH3","high molecular weight rhoptry protein 3, putative",0.1,"Essential",-15.8358647012336,18.0631815069163,"PbSTM18",1
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.0781826149899,"Dispensable",0.911399907703651,1.24496532227615,"inv1",4.96842129667145
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.941012147105599,"Dispensable",0.723443648633298,1.1585806455779,"inv2",4.43677744618058
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.01089812080149,"Dispensable",0.858585686151914,1.16321055545107,"met1",5.14993711442327
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.980452885677683,"Dispensable",0.873002222749001,1.08790354860637,"met11",5.8477413336491
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.935452361623473,"Dispensable",0.801512973418119,1.06939174982883,"met12",5.40703017749506
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.963373472875212,"Dispensable",0.853467831304119,1.0732791144463,"met13",5.80256053154625
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.912945308789526,"Dispensable",0.757101292537336,1.06878932504172,"met14",5.10409369668229
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.999668874878651,"Dispensable",0.917872596733451,1.08146515302385,"met15",6.39334143283189
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.959475994102366,"Dispensable",0.752517403537985,1.16643458466675,"met2",4.5367674637424
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.02009516758074,"Dispensable",0.866851845258366,1.17333848990312,"met3",5.13775091885595
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.963704804365526,"Dispensable",0.734285396525729,1.19312421220532,"met4",4.33070131162156
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.864124894044249,"Dispensable",0.63380561878696,1.09444416930154,"met5",4.32287191984078
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.980967712857333,"Dispensable",0.899587174850815,1.06234825086385,"met7",6.40353261189875
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.01037468168072,"Dispensable",0.850460752307175,1.17028861105426,"met8",5.05253346093203
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.00256272414718,"Dispensable",0.864550422361665,1.1405750259327,"PbSTM18",5.34711926996918
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.970781150142762,"Dispensable",0.840820261230438,1.10074203905509,"PbSTM21",5.46733781774577
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.03046466198519,"Dispensable",0.761784414902298,1.29914490906808,"PbSTM22",4.01476091905223
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.998041859807636,"Dispensable",0.879495705236828,1.11658801437844,"PbSTM23",5.65120016949889
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.954922318202656,"Dispensable",0.755240978239565,1.15460365816575,"PbSTM24",4.60835932766239
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.99922942489412,"Dispensable",0.912565576570175,1.08589327321807,"PbSTM25",6.27773127412505
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.951610884171456,"Dispensable",0.734028796132268,1.16919297221064,"PbSTM26",4.43665252788964
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.01949716985665,"Dispensable",0.886035667178443,1.15295867253485,"PbSTM27",5.41417878547978
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.996610581851482,"Dispensable",0.853077071907424,1.14014409179554,"PbSTM28",5.2686678656595
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.982658972545242,"Dispensable",0.865827286449785,1.0994906586407,"PbSTM29",5.6803362817505
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.923883360263,"Dispensable",0.660282014606816,1.18748470591918,"PbSTM30",4.05292910401905
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.927691517829798,"Dispensable",0.774894692520491,1.0804883431391,"PbSTM31",5.14358671959411
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.00565242756741,"Dispensable",0.851523384148019,1.1597814709868,"PbSTM32",5.12622452745204
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.998047435323304,"Dispensable",0.796394013621356,1.19970085702525,"PbSTM37a",4.58870393969443
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.970393234491168,"Dispensable",0.764931671781414,1.17585479720092,"PbSTM38",4.55128697175079
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",1.00007751312288,"Dispensable",0.855399070674259,1.1447559555715,"PbSTM43",5.25277763601619
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.914445650492495,"Dispensable",0.711795403193841,1.11709589779115,"PbSTM44",4.57884177228907
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.999016996035572,"Dispensable",0.891605215411728,1.10642877665942,"PbSTM45",5.8484651884954
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.984976491770983,"Dispensable",0.824015342606633,1.14593764093533,"PbSTM46",5.0394788664313
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.975545507939057,"Dispensable",0.790572061997399,1.16051895388072,"PbSTM50",4.7613803604329
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.90707948244757,"Dispensable",0.683290183633075,1.13086878126207,"PbSTM51",4.38039496129952
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.973682174574586,"Dispensable",0.891732186456069,1.0556321626931,"PbSTM52",6.38958659867359
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.986834281924059,"Dispensable",0.864628087992849,1.10904047585527,"PbSTM53",5.59038545450868
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.954320392875542,"Dispensable",0.862031282613397,1.04660950313769,"PbSTM54",6.15195261397126
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.953837689182477,"Dispensable",0.804963128521015,1.10271224984394,"PbSTM58",5.19559676585497
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.959888184895701,"Dispensable",0.784292233368081,1.13548413642332,"PbSTM59",4.86543366737745
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.935025243650369,"Dispensable",0.76462048043611,1.10543000686463,"PbSTM60",4.92545178480445
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.974256035155421,"Dispensable",0.81620822998243,1.13230384032841,"PbSTM61",5.07600981578495
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.90021075423792,"Dispensable",0.684283210204133,1.11613829827171,"PbSTM62",4.45191910483991
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.975794313585011,"Dispensable",0.83470132994741,1.11688729722261,"PbSTM85",5.30296665617674
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.936435012664949,"Dispensable",0.768974748246617,1.10389527708328,"PbSTM86",4.96031272754613
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.943043886155279,"Dispensable",0.677460039670795,1.20862773263976,"PbSTM87",4.03794372549675
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.826692702406389,"Dispensable",0.481678771207931,1.17170663360485,"PbSTM88",3.5146353260812
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.984307995210605,"Dispensable",0.831785365084598,1.13683062533661,"PbSTM89",5.14717896047011
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.975572575095178,"Dispensable",0.854970626402778,1.09617452378758,"PbSTM90",5.61681403413553
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.908304629092431,"Dispensable",0.638045848464804,1.17856340972006,"PbSTM91",4.0030450255831
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.985981341276712,"Dispensable",0.916298756326406,1.05566392622702,"stm26",6.71390406047213
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.973284929801786,"Dispensable",0.911812939349288,1.03475692025428,"stm27",6.96464165654118
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.946198019051638,"Dispensable",0.883996747300331,1.00839929080295,"stm28_2r",6.94105402768695
"PBANKA_051490","PBANKA_0514900","P28","28 kDa ookinete surface protein",0.95615031814799,"Dispensable",0.843449763728408,1.06885087256757,"stm37_4r",5.75233623816007
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00760417204516,"Dispensable",0.859844095411446,1.15536424867888,"inv1",5.21062521002966
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.07774213095216,"Dispensable",0.953326758990921,1.20215750291339,"inv2",5.55455343610156
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.01516655588551,"Dispensable",0.947551210025442,1.08278190174557,"met1",6.77413498498343
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.02128261791745,"Dispensable",0.960533232340574,1.08203200349432,"met11",6.98829098266702
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.03872162178369,"Dispensable",0.963793390177884,1.1136498533895,"met12",6.5687434321217
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.985466499038729,"Dispensable",0.926644785244113,1.04428821283334,"met13",7.05278278116809
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00941258949581,"Dispensable",0.927820706090471,1.09100447290115,"met14",6.39834534118229
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.98776650694042,"Dispensable",0.935850823598667,1.03968219028217,"met15",7.30256306233955
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.965729767569819,"Dispensable",0.865222595680356,1.06623693945928,"met2",5.98134674500978
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00986972344048,"Dispensable",0.911748897555673,1.10799054932529,"met3",6.02940564619569
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.01019885305806,"Dispensable",0.918359315138684,1.10203839097743,"met4",6.16171911669843
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.987230492616448,"Dispensable",0.89951732500466,1.07494366022824,"met5",6.25366085525675
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.01645720328274,"Dispensable",0.958426239585285,1.07448816698019,"met7",7.07985146918784
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.998405245808899,"Dispensable",0.933802018387897,1.0630084732299,"met8",6.86527617984811
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.982749250608971,"Dispensable",0.894869835411428,1.07062866580651,"PbSTM18",6.24987373320936
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00326426366063,"Dispensable",0.915155335180361,1.0913731921409,"PbSTM21",6.244657173793
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.99650899927211,"Dispensable",0.874738025344489,1.11827997319973,"PbSTM22",5.597520883927
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00430975068217,"Dispensable",0.911275291052962,1.09734421031138,"PbSTM23",6.13586500274409
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00131327368125,"Dispensable",0.918168220679667,1.08445832668283,"PbSTM24",6.36063150108559
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.997957108830862,"Dispensable",0.924672037703873,1.07124217995785,"PbSTM25",6.61309107902022
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.991376790553501,"Dispensable",0.855967759540978,1.12678582156602,"PbSTM26",5.38520480505016
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.02869598996908,"Dispensable",0.94751126856399,1.10988071137417,"PbSTM27",6.40835078022923
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.02577568773773,"Dispensable",0.957907741731152,1.09364363374432,"PbSTM28",6.76667722585378
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.01869567065896,"Dispensable",0.94766396828529,1.08972737303263,"PbSTM29",6.67555233970504
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.09144842845529,"Dispensable",0.982263644259518,1.20063321265105,"PbSTM30",5.81572148961287
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.02578572905494,"Dispensable",0.904937749917374,1.14663370819252,"PbSTM31",5.61273814920927
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.03884108490728,"Dispensable",0.914083053711974,1.16359911610259,"PbSTM32",5.54905269732711
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00051965738347,"Dispensable",0.868198424061021,1.13284089070591,"PbSTM37a",5.43133981510809
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.06828762821998,"Dispensable",0.957669818291399,1.17890543814856,"PbSTM38",5.78964270664428
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.997708135923047,"Dispensable",0.947658739557785,1.04775753228831,"PbSTM43",7.37578402897541
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.998363134387426,"Dispensable",0.938704238593144,1.05802203018171,"PbSTM44",7.02451837787162
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.995990778356627,"Dispensable",0.945090390552915,1.04689116616034,"PbSTM45",7.34206383416241
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00060435643178,"Dispensable",0.954050208192649,1.04715850467092,"PbSTM46",7.52057269233351
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.981263580300054,"Dispensable",0.924405357840345,1.03812180275976,"PbSTM50",7.1206832310168
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.997462123623904,"Dispensable",0.941267391173134,1.05365685607467,"PbSTM51",7.14415887133845
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.989698198588501,"Dispensable",0.921087089297759,1.05830930787924,"PbSTM52",6.74489598981571
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.979831408958915,"Dispensable",0.930931810207444,1.02873100771039,"PbSTM53",7.42226653717262
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.991648739063158,"Dispensable",0.925388829240737,1.05790864888558,"PbSTM54",6.81463484727367
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.966742095907843,"Dispensable",0.860973495772438,1.07251069604325,"PbSTM58",5.87929753855377
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.977579795110463,"Dispensable",0.883766131704536,1.07139345851639,"PbSTM59",6.11918389765935
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.932877242459839,"Dispensable",0.829973628835889,1.03578085608379,"PbSTM60",5.93421939899211
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.0085365173318,"Dispensable",0.911441084096296,1.1056319505673,"PbSTM61",6.05041623382211
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.02335882534823,"Dispensable",0.939574763628675,1.10714288706778,"PbSTM62",6.34531932884132
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.0102752873608,"Dispensable",0.968359033024904,1.0521915416967,"PbSTM85",7.73045755239136
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",1.00260748343165,"Dispensable",0.909269099357954,1.09594586750535,"PbSTM86",6.12934206285956
"PBANKA_051500","PBANKA_0515000","P25","25 kDa ookinete surface antigen precursor",0.949316416128561,"Dispensable",0.814769614244903,1.08386321801222,"PbSTM87",5.39798070326455
