"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ProductDescription"
"PBANKA_0000201.1",0,NA,NA,NA,NA,NA,"fam-c protein, pseudogene"
"PBANKA_0000301.1",6.07978630878512,0.0486354584608475,0.13605816400264,0.357460787578347,0.720746876591433,0.999890038901219,"fam-b protein"
"PBANKA_0000401.1",0.53523180182238,0.0195898282128926,0.0483336390238767,0.405304227211514,0.685253899627815,0.999890038901219,"tryptophan-rich antigen, putative, pseudogene"
"PBANKA_0000600.1",15.5936343306384,0.14797261436934,0.180108177022567,0.821576326047648,0.411318067593169,0.999890038901219,"PIR protein"
"PBANKA_0000701.1",0,NA,NA,NA,NA,NA,"PIR protein"
"PBANKA_0000801.1",0.102802829133132,-0.0110181958148308,0.0424226481299538,-0.259724376023832,0.795076388379438,0.999890038901219,"PIR protein"
"PBANKA_0000901.1",1.33701346025933,-0.0339122043992003,0.0934013529427538,-0.363080440815298,0.71654479506119,0.999890038901219,"fam-a protein"
"PBANKA_0001001.1",61.7886607945478,0.026419017683794,0.200233687798204,0.131940923499443,0.89503101929147,0.999890038901219,"PIR protein"
"PBANKA_0001101.1",11.5480980366043,0.0326607970323333,0.142114307302719,0.229820611676785,0.818231167573833,0.999890038901219,"PIR protein"
"PBANKA_0001200.1",0,NA,NA,NA,NA,NA,"fam-a protein, pseudogene"
"PBANKA_0001201.1",81.2487680937804,0.0842047894145653,0.168427918458762,0.499945556443971,0.617113413350425,0.999890038901219,"PIR protein"
"PBANKA_0001301.1",0.781166343098881,-0.0221778938325728,0.0541893725457122,-0.409266481427965,0.682344110739195,0.999890038901219,"PIR protein"
"PBANKA_0001401.1",3.67026240780094,-0.0349357626777798,0.105916118497632,-0.32984368359912,0.741518078048667,0.999890038901219,"PIR protein"
"PBANKA_0001501.1",0,NA,NA,NA,NA,NA,"PIR protein"
"PBANKA_0001601.1",0.357585433116083,-0.0110181958148308,0.0424226481299538,-0.259724376023832,0.795076388379438,0.999890038901219,"fam-a protein"
"PBANKA_0006300.1",5.67969206482861,-0.0197251615448775,0.122901302700193,-0.160495951723109,0.872490410348192,0.999890038901219,"PIR protein"
"PBANKA_0006401.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006501.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006600.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006701.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006800.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006900.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0007000.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0007100.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0007200.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0007300.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0007401.1",1.22569529453882,0.0273499060787659,0.0890949803040409,0.306974713787837,0.758862619068417,0.999890038901219,"PIR protein"
"PBANKA_0007501.1",0.620085730936059,0.0108570729577637,0.0504789472777235,0.215081207974299,0.829704004914756,0.999890038901219,"fam-a protein"
"PBANKA_0007601.1",0,NA,NA,NA,NA,NA,"PIR protein"
"PBANKA_0007701.1",3.2133661147247,-0.00993776975361737,0.118385548317159,-0.0839441122238477,0.933100866824468,0.999890038901219,"PIR protein, pseudogene"
"PBANKA_0007801.1",0.205605658266263,-0.0193475422788355,0.0425220746805274,-0.454999960001847,0.649109267611536,0.999890038901219,"fam-b protein"
"PBANKA_0007901.1",3.87101226788995,-0.027612464535613,0.108568855011444,-0.254331359879427,0.799239574448161,0.999890038901219,"PIR protein"
"PBANKA_0008001.1",0.246267267395577,0.0178822867134842,0.0425719074972784,0.420048989221997,0.674449666196374,0.999890038901219,"PIR protein"
"PBANKA_0008101.1",18.2598883082653,0.219805221806557,0.150420580504618,1.46127093160506,0.143941103847732,0.999890038901219,"fam-a protein"
"PBANKA_0008201.1",1.21215433872308,-0.0183985936806683,0.0717624872269504,-0.25638177258938,0.79765606098287,0.999890038901219,"PIR protein"
"PBANKA_0008301.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0008401.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0008501.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0008601.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0008701.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0008801.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0008901.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0009101.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0100021.1",897.123468376894,-0.0751803687226361,0.19123427346188,-0.393132294549817,0.69422177284056,0.999890038901219,"fam-b protein"
"PBANKA_0100041.1",13.0084989267791,-0.123687626898376,0.176578579443682,-0.700467900965445,0.483635144471323,0.999890038901219,"conserved rodent malaria protein, unknown function"
"PBANKA_0100061.1",446.711975999582,0.0277903666360752,0.208560288850526,0.13324860062882,0.893996775760564,0.999890038901219,"fam-c protein"
"PBANKA_0100081.1",10.7229647302036,0.085928209333098,0.173173600286763,0.496196932966729,0.619755474694297,0.999890038901219,"PIR protein, pseudogene"
"PBANKA_0100100.1",7.99995723288784,0.0920505595566951,0.166295027507845,0.553537654950945,0.579895303615752,0.999890038901219,"fam-a protein"
"PBANKA_0100200.1",794.637066931356,0.225486115550124,0.20550590211367,1.09722452363145,0.272543255346396,0.999890038901219,"Plasmodium exported protein, unknown function"
"PBANKA_0100300.1",139.10489089834,0.0947901160978556,0.198947482640442,0.47645798197492,0.633748135249049,0.999890038901219,"lysophospholipase, putative, pseudogene"
"PBANKA_0100400.1",1572.58598375637,0.0226331236407106,0.112932582313507,0.200412699125925,0.841157828495106,0.999890038901219,"reticulocyte binding protein, putative"
"PBANKA_0100500.1",1302.22796309753,0.072507665075166,0.208389368025077,0.347943207287048,0.727882835510856,0.999890038901219,"PIR protein"
"PBANKA_0100600.1",1058.25989479668,0.0312843328279593,0.208194291401609,0.150265084682901,0.880555478563223,0.999890038901219,"schizont membrane associated cytoadherence protein"
"PBANKA_0100700.1",16186.5836108906,0.0107374108753239,0.207101662334032,0.0518460873481819,0.958651332514785,0.999890038901219,"Plasmodium exported protein, unknown function"
"PBANKA_0100800.1",1338.01461478505,-0.0353287646029709,0.205255298336393,-0.172121084762794,0.863342336889227,0.999890038901219,"conserved Plasmodium protein, unknown function"
"PBANKA_0100900.1",8646.81498185901,-0.0883918405693824,0.201412614345929,-0.43885950667205,0.660763339267819,0.999890038901219,"ATP-dependent RNA helicase, putative"
"PBANKA_0101000.1",826.308270213548,0.120840650383574,0.199157050481268,0.606760594674204,0.544009802569225,0.999890038901219,"MYND finger protein, putative"
"PBANKA_0101100.1",147.180367736704,0.0880528358842693,0.208849439129094,0.421609156584051,0.673310321683341,0.999890038901219,"liver merozoite formation protein"
"PBANKA_0101200.1",720.673099174757,-0.0965099194332664,0.209080112703123,-0.461593014206486,0.64437320516412,0.999890038901219,"elongation factor G, putative"
"PBANKA_0101300.1",263.907973260436,0.280191570892085,0.208622550119446,1.34305505675998,0.179254146887376,0.999890038901219,"geranylgeranyltransferase, putative"
"PBANKA_0101400.1",2430.4362253153,-0.133956794200877,0.208526892214242,-0.6423957734106,0.520616243298379,0.999890038901219,"conserved Plasmodium protein, unknown function"
"PBANKA_0101500.1",793.702877072851,0.0737400069593453,0.209042553139443,0.352751178417519,0.724274987710561,0.999890038901219,"conserved Plasmodium protein, unknown function"
"PBANKA_0101600.1",1199.92864080166,-0.0393015995277762,0.204955608188074,-0.191756643671403,0.847932833969634,0.999890038901219,"conserved Plasmodium protein, unknown function"
"PBANKA_0101700.1",1274.59420808787,-0.0270150416685959,0.207709768514601,-0.130061488498057,0.89651777897858,0.999890038901219,"conserved Plasmodium protein, unknown function"
"PBANKA_0101800.1",1350.65903301369,-0.0170039831684824,0.204305286123466,-0.0832283074565509,0.933670004723075,0.999890038901219,"conserved Plasmodium protein, unknown function"
"PBANKA_0101900.1",537.079008767375,-0.028533363560978,0.207513680901518,-0.137501120104556,0.890634707439388,0.999890038901219,"RNA-binding protein, putative"
