Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
32	2.1742447663397613e-06	8	3	PBANKA_1418100, PBANKA_1454800, PBANKA_0902300	0.00013915166504574472
35	0.0008864743095793326	14	2	PBANKA_0503200, PBANKA_1231600	0.028367177906538643
34	0.01473016032760921	13	1	PBANKA_0308900	0.1509624909774083
38	0.01473016032760921	13	1	PBANKA_1144800	0.1509624909774083
51	0.014910536780717631	1	0		0.1509624909774083
31	0.019489643054210304	15	1	PBANKA_0828000	0.1509624909774083
44	0.022082536183171908	16	1	PBANKA_0410500	0.1509624909774083
24	0.02481197089275855	17	1	PBANKA_1435200	0.1509624909774083
19	0.027673875634840694	18	1	PBANKA_1347200	0.1509624909774083
9	0.029613364589623714	2	0		0.1509624909774083
49	0.029613364589623714	2	0		0.1509624909774083
60	0.029613364589623714	2	0		0.1509624909774083
30	0.03066425597978606	19	1	PBANKA_1214700	0.1509624909774083
46	0.04411117288837729	3	0		0.20165107606115334
50	0.04740873790874045	24	1	PBANKA_0709900	0.20227728174395926
36	0.05487436201536644	26	1	PBANKA_0712300	0.21949744806146576
28	0.06680827839668879	29	1	PBANKA_0311900	0.2515135186698872
25	0.07250232825249692	5	0		0.25778605600887794
4	0.0864008947617112	6	0		0.29103459288155353
61	0.10010488134098705	7	0		0.30508154313443675
58	0.10010488134098705	7	0		0.30508154313443675
29	0.11361682005847973	8	0		0.3101172848904923
62	0.14007453030801664	10	0		0.3101172848904923
57	0.14007453030801664	10	0		0.3101172848904923
41	0.14007453030801664	10	0		0.3101172848904923
1	0.14007453030801664	10	0		0.3101172848904923
12	0.15302521509384304	11	0		0.3101172848904923
21	0.16579367918678045	12	0		0.3101172848904923
5	0.16579367918678045	12	0		0.3101172848904923
59	0.16579367918678045	12	0		0.3101172848904923
55	0.17838230575879332	13	0		0.3101172848904923
56	0.17838230575879332	13	0		0.3101172848904923
11	0.17838230575879332	13	0		0.3101172848904923
64	0.19079344917655916	14	0		0.3101172848904923
54	0.19079344917655916	14	0		0.3101172848904923
63	0.19079344917655916	14	0		0.3101172848904923
33	0.19079344917655916	14	0		0.3101172848904923
10	0.2030294353275789	15	0		0.3101172848904923
17	0.2030294353275789	15	0		0.3101172848904923
2	0.21509256193652593	16	0		0.3101172848904923
48	0.21509256193652593	16	0		0.3101172848904923
20	0.22698509887860552	17	0		0.3101172848904923
14	0.22698509887860552	17	0		0.3101172848904923
42	0.22698509887860552	17	0		0.3101172848904923
53	0.23870928847909345	18	0		0.3101172848904923
3	0.25026734584149646	19	0		0.3101172848904923
22	0.25026734584149646	19	0		0.3101172848904923
13	0.25026734584149646	19	0		0.3101172848904923
26	0.25026734584149646	19	0		0.3101172848904923
6	0.25026734584149646	19	0		0.3101172848904923
45	0.26166145912635286	20	0		0.3101172848904923
43	0.26166145912635286	20	0		0.3101172848904923
16	0.26166145912635286	20	0		0.3101172848904923
23	0.26166145912635286	20	0		0.3101172848904923
39	0.283966473272925	22	0		0.3188395489380211
7	0.283966473272925	22	0		0.3188395489380211
27	0.283966473272925	22	0		0.3188395489380211
40	0.29488161849765515	23	0		0.325386613514654
52	0.31624760260941687	25	0		0.3430482468983505
15	0.33700810571946527	27	0		0.3594753127674296
37	0.35717909305870055	29	0		0.3747452779632268
47	0.36704840074040646	30	0		0.37888867173203244
8	0.37677614048288943	31	0		0.382756714141348
18	0.3863641998592289	32	0		0.3863641998592289
