"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"__alignment_not_unique",2936848.77567028,-0.356841594889065,0.357265321959976,-0.998813970892596,0.317884816879432,0.364884486976948
"__ambiguous",38153.9809153504,-2.68292917715002,0.322332151446251,-8.32349228928036,8.54088348940897e-17,3.65379704463927e-16
"__no_feature",8183293.57491414,0.51032989413673,0.234977931328958,2.17182052480619,0.0298692029208643,0.0403606136453619
"__not_aligned",1588832.98146635,19.2526130088305,0.900515872059911,21.3795376696587,2.07171617690878e-101,3.68265410067749e-99
"__too_low_aQual",355681.923281263,-0.797156728324918,0.317341604603567,-2.51198303897389,0.0120054858617732,0.017055762028195
"berg11:tRNA:rfamscan:377879-377958:tRNA",10.5442649193107,-4.73369110957679,1.13895170748901,-4.1561824601088,3.23609416044755e-05,6.103939040288e-05
"PBANKA_0000201.1",0,NA,NA,NA,NA,NA
"PBANKA_0000301.1",36.9089313350242,-0.621989120597492,0.848441238523487,-0.733096285701434,0.463499705384015,0.513836770162279
"PBANKA_0000401.1",3.1701772206591,-3.46979097447132,1.89528067492188,-1.83075310184036,0.0671374031950742,0.0868490121632641
"PBANKA_0000600.1",6.25338724484881,-0.462984864549181,1.09770596899152,-0.421774935754912,0.673189302005129,0.718784352078799
"PBANKA_0000701.1",3.00730562831077,1.92451820218482,1.60937346616736,1.19581827502597,0.231767482705033,0.273839416306314
"PBANKA_0000801.1",27.9888359154789,4.50352336581397,1.42428532770736,3.16195307092237,0.00156714817936706,0.00249814672786309
"PBANKA_0000901.1",5.41977911739986,2.86737982761418,1.44617533659449,1.98273318252433,0.0473972410178493,0.0625852401247472
"PBANKA_0001001.1",330.190249841007,1.58940756851415,0.401881691369363,3.95491410195483,7.65621544189723e-05,0.000138726856249491
"PBANKA_0001101.1",10.0304297694134,-1.30586910773381,0.891177070370829,-1.46533068584274,0.142830718359342,0.174808250983478
"PBANKA_0001200.1",0,NA,NA,NA,NA,NA
"PBANKA_0001201.1",62.7552475321431,2.75361132815639,0.681848282448082,4.03845166005248,5.38051782614004e-05,9.88121460411539e-05
"PBANKA_0001301.1",2.65338509280844,0.615849266324692,1.70626794324686,0.360933503300068,0.718149157385227,0.76033249256949
"PBANKA_0001401.1",7.60748410455059,3.56211891042005,1.18800370190121,2.99840724799043,0.00271394751090732,0.00420637384808395
