Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
32	8.308417287494763e-09	8	4	PBANKA_0413400, PBANKA_1302700, PBANKA_1447900, PBANKA_0102400	5.317387063996648e-07
46	0.0004595132437272831	3	1	PBANKA_0713500	0.014704423799273059
29	0.004134514403571488	8	1	PBANKA_1425900	0.0882029739428584
33	0.01285985009325974	14	1	PBANKA_0102200	0.1346757515662032
51	0.012922465209201484	1	0		0.1346757515662032
17	0.014730160327553476	15	1	PBANKA_1126900	0.1346757515662032
10	0.014730160327553476	15	1	PBANKA_0806000	0.1346757515662032
9	0.02569063232604174	2	0		0.14951611700586265
49	0.02569063232604174	2	0		0.14951611700586265
60	0.02569063232604174	2	0		0.14951611700586265
45	0.025698082610382644	20	1	PBANKA_0401100	0.14951611700586265
27	0.030790437533972925	22	1	PBANKA_1464600	0.1642156668478556
37	0.051422551932950755	29	1	PBANKA_0418300	0.25315717874683447
18	0.06146357089157917	32	1	PBANKA_1235900	0.2691676423317375
25	0.06308616617150098	5	0		0.2691676423317375
4	0.07525387829868901	6	0		0.2737546623084335
58	0.08727557788165197	7	0		0.2737546623084335
61	0.08727557788165197	7	0		0.2737546623084335
41	0.12248059840840875	10	0		0.2737546623084335
62	0.12248059840840875	10	0		0.2737546623084335
57	0.12248059840840875	10	0		0.2737546623084335
1	0.12248059840840875	10	0		0.2737546623084335
12	0.13393416489522292	11	0		0.2737546623084335
59	0.14524959791589842	12	0		0.2737546623084335
21	0.14524959791589842	12	0		0.2737546623084335
5	0.14524959791589842	12	0		0.2737546623084335
11	0.15642842611331942	13	0		0.2737546623084335
55	0.15642842611331942	13	0		0.2737546623084335
56	0.15642842611331942	13	0		0.2737546623084335
38	0.15642842611331942	13	0		0.2737546623084335
34	0.15642842611331942	13	0		0.2737546623084335
54	0.16747216272915977	14	0		0.2737546623084335
35	0.16747216272915977	14	0		0.2737546623084335
64	0.16747216272915977	14	0		0.2737546623084335
63	0.16747216272915977	14	0		0.2737546623084335
31	0.17838230575880498	15	0		0.2737546623084335
48	0.18916033807422394	16	0		0.2737546623084335
2	0.18916033807422394	16	0		0.2737546623084335
44	0.18916033807422394	16	0		0.2737546623084335
24	0.19980772757409704	17	0		0.2737546623084335
20	0.19980772757409704	17	0		0.2737546623084335
14	0.19980772757409704	17	0		0.2737546623084335
42	0.19980772757409704	17	0		0.2737546623084335
53	0.21032592731222322	18	0		0.2737546623084335
19	0.21032592731222322	18	0		0.2737546623084335
13	0.22071637563834312	19	0		0.2737546623084335
6	0.22071637563834312	19	0		0.2737546623084335
26	0.22071637563834312	19	0		0.2737546623084335
30	0.22071637563834312	19	0		0.2737546623084335
3	0.22071637563834312	19	0		0.2737546623084335
22	0.22071637563834312	19	0		0.2737546623084335
23	0.23098049632274076	20	0		0.2737546623084335
16	0.23098049632274076	20	0		0.2737546623084335
43	0.23098049632274076	20	0		0.2737546623084335
7	0.25113537780844764	22	0		0.2870118603525116
39	0.25113537780844764	22	0		0.2870118603525116
40	0.2610289144841327	23	0		0.2930850969646402
50	0.27080167553266365	24	0		0.29881564196707716
52	0.28045501384114047	25	0		0.3042223878954744
36	0.2899902684981811	26	0		0.3093229530647265
15	0.2994087649373901	27	0		0.31413378616381915
28	0.3179007172991831	29	0		0.32815557914754384
47	0.3269767568853984	30	0		0.3321668641375476
8	0.3359412058203054	31	0		0.3359412058203054
