"","GeneId","X0h","X1h","X2h","X4h","X6h","X8h","X12h","X18h","X24h","X30h","X44h","MFfc","Cluster","TranscriptLength"
"1","PBANKA_0000301.1","0.053900904","0.026223322","-0.087807197","0.049364629","-0.096627171","-0.107222291","0.008033929","-1.011354452","-0.00472824","0.160939818","3.25772483","2.0135191351205","29",777
"2","PBANKA_0000600.1","0.052796221","0.066343174","-0.024398078","0.150241189","-0.51000312","0.074026603","-0.490560835","1.105639225","-3.095063189","-2.152495786","-1.525358695","1.64226147275448","50",843
"3","PBANKA_0001001.1","0.103739067","0.045710818","-0.050512114","0.026578491","-0.400918798","-0.222775425","-0.457078786","0.390714345","0.253487436","-0.944144355","-0.50181279","1.46171661999506","44",990
"4","PBANKA_0001101.1","-0.029624659","0.0181389","-0.137250267","0.033092078","-0.774589476","0.008339654","-1.122444357","0.83999218","-0.704803614","-0.546772844","-1.644568244","1.41654613436444","34",948
"5","PBANKA_0001201.1","0.166456739","0.062929301","-0.094863342","0.083843286","-0.339264182","-0.590149926","-1.369113948","0.079126281","-3.568578242","-2.391153196","-1.114024565","-0.0503707126540271","50",921
"6","PBANKA_0001301.1","-0.045177677","-0.009150407","-0.060364598","-0.022319494","-0.23058193","-0.112792436","0.077064684","1.157847671","-1.780520741","-1.001490563","0.111564859","2.06905560043192","34",957
"7","PBANKA_0001401.1","0.042763965","0.026851931","-0.151462322","-0.035488364","0.048504681","0.19894123","-0.102740495","-0.128522655","-0.159191491","-3.078907437","-1.97180036","-2.51071808337727","33",981
"8","PBANKA_0006300.1","-0.022882741","0.004190719","-0.209651726","-0.020026407","-0.061785735","0.273014261","-0.360527042","0.17511287","-4.949781112","-4.205483436","-4.592458112","4.41898887421758","58",957
"9","PBANKA_0007401.1","-0.048165096","0.013318225","0.018618755","0.0281234","0.16437831","0.000194103","-0.14075376","0.83349529","-1.563944515","1.505004605","-1.34095468","0.771323804129785","52",999
"10","PBANKA_0007701.1","0.125936543","0.017661471","-0.054701335","-0.01015558","0.012170803","-0.101806864","-0.200553135","0.52395161","-4.619483652","-2.446244315","-1.636229406","2.08578696181786","42",1458
"11","PBANKA_0007901.1","-0.035086193","-0.017370284","0.012071397","-0.028031621","-0.108222081","0.078044459","-0.038032772","-0.091289617","-4.167333002","-0.650433394","0.495846757","-0.28470848880009","11",978
"12","PBANKA_0008101.1","-0.110545657","0.004097808","0.021277035","0.220559574","-1.104008438","0.311417577","-0.319312614","-0.696659617","-2.538386895","-5.573093547","-0.444703625","3.65895559568722","60",969
"13","PBANKA_0008201.1","-0.012319856","-0.008531014","-0.064936422","-0.018819096","-0.245846425","0.106889534","-0.025228579","-0.145631124","-1.521917909","-2.340022214","-3.695161376","0.430708351221344","17",996
"14","PBANKA_0100021.1","-0.174091139","0.052996771","-0.118297638","-0.074890076","-0.89758944","0.039922176","-0.898602071","-1.651740817","-4.019605513","-2.524133302","-2.660077022","-0.08815315335446","49",777
"15","PBANKA_0100041.1","0.016950479","-0.052106241","0.138356811","-0.12695503","0.145111412","-0.129634097","0.497467504","0.50625992","0.729628301","0.918841033","1.956225586","0.232723451499315","30",5223
