new gene ID	Cluster	cons phenotype
PBANKA_1126700	1	None
PBANKA_0112641	1	None
PBANKA_1359200	1	None
PBANKA_0800300	1	None
PBANKA_0311300	1	None
PBANKA_1461000	1	None
PBANKA_1112000	1	None
PBANKA_1037600	1	None
PBANKA_1333900	1	None
PBANKA_1309600	1	None
PBANKA_1018400	2	None
PBANKA_1438900	2	None
PBANKA_1231500	2	None
PBANKA_1427000	2	None
PBANKA_0213300	2	None
PBANKA_0821000	2	None
PBANKA_1427500	2	None
PBANKA_1220900	2	None
PBANKA_1005000	2	None
PBANKA_1144300	2	None
PBANKA_1108200	2	None
PBANKA_1401700	2	None
PBANKA_1311500	2	None
PBANKA_0711200	2	None
PBANKA_1119700	2	None
PBANKA_1001600	2	None
PBANKA_1213700	3	None
PBANKA_0506300	3	None
PBANKA_0409500	3	None
PBANKA_1207800	3	None
PBANKA_0601500	3	None
PBANKA_0505700	3	None
PBANKA_0921100	3	Both
PBANKA_1409000	3	None
PBANKA_0832000	3	None
PBANKA_1120200	3	None
PBANKA_0707000	3	None
PBANKA_1033600	3	None
PBANKA_0712700	3	None
PBANKA_1207100	3	None
PBANKA_0819700	3	None
PBANKA_0806500	3	None
PBANKA_1338200	3	None
PBANKA_0413800	3	None
PBANKA_0512200	3	None
PBANKA_1343800	4	None
PBANKA_0515300	4	None
PBANKA_1122300	4	None
PBANKA_1225600	4	None
PBANKA_1346400	4	None
PBANKA_0820100	4	None
PBANKA_0931500	5	None
PBANKA_1323300	5	None
PBANKA_1223200	5	None
PBANKA_1107800	5	None
PBANKA_0828500	5	None
PBANKA_1017000	5	None
PBANKA_0835500	5	None
PBANKA_0315800	5	None
PBANKA_1218000	5	None
PBANKA_0820200	5	None
PBANKA_1242400	5	None
PBANKA_1202600	5	None
PBANKA_0937500	6	None
PBANKA_1205200	6	None
PBANKA_1355900	6	None
PBANKA_0302600	6	None
PBANKA_0522400	6	None
PBANKA_1451200	6	None
PBANKA_0101500	6	None
PBANKA_1201800	6	None
PBANKA_0518100	6	None
PBANKA_1407900	6	None
PBANKA_0508300	6	None
PBANKA_1445700	6	None
PBANKA_1460600	6	None
PBANKA_1117600	6	None
PBANKA_0712200	6	None
PBANKA_1018100	6	None
PBANKA_1354600	6	None
PBANKA_0515350	6	None
PBANKA_0209700	6	None
PBANKA_1138600	7	None
PBANKA_1109300	7	None
PBANKA_1020300	7	None
PBANKA_0312000	7	None
PBANKA_0932600	7	None
PBANKA_0608600	7	None
PBANKA_1037800	7	None
PBANKA_1129000	7	None
PBANKA_0105100	7	None
PBANKA_1357900	7	None
PBANKA_0314800	7	None
PBANKA_0807200	7	None
PBANKA_1229900	7	None
PBANKA_0606200	7	None
PBANKA_1461300	7	None
PBANKA_0823200	7	None
PBANKA_1104100	7	None
PBANKA_1329400	7	None
PBANKA_0522300	7	None
PBANKA_1430300	7	None
PBANKA_0907100	7	None
PBANKA_1460700	7	None
PBANKA_0916700	8	None
PBANKA_1444800	8	None
PBANKA_0517600	8	None
PBANKA_0502650	8	None
PBANKA_1436300	8	None
PBANKA_1323800	8	None
PBANKA_0714000	8	None
PBANKA_0502000	8	None
PBANKA_1009600	8	None
PBANKA_0830400	8	None
PBANKA_0515000	8	None
PBANKA_0514900	8	None
PBANKA_1315300	8	None
PBANKA_1225500	8	None
PBANKA_0704900	8	None
PBANKA_1311400	8	None
PBANKA_1233600	8	None
PBANKA_1335000	8	None
PBANKA_1352500	8	None
PBANKA_1218300	8	None
PBANKA_1419300	8	None
PBANKA_0943400	8	None
PBANKA_0810700	8	None
PBANKA_1134900	8	None
PBANKA_1429200	8	None
PBANKA_1436600	8	None
PBANKA_1115000	8	None
PBANKA_0707100	8	None
PBANKA_1120400	8	None
PBANKA_1317200	8	None
PBANKA_1138900	8	None
PBANKA_0820900	9	None
PBANKA_1128100	9	None
PBANKA_0806000	10	Male
PBANKA_1121900	10	None
PBANKA_1024600	10	None
PBANKA_0912300	10	None
PBANKA_1007100	10	None
PBANKA_0523200	10	None
