sample	file	rapamycin	time	Strain	name
Sample_7	13674_1.htseq_count	YES	0h	AP2Goe	YES_0h_1_AP2Goe
Sample_11	13674_2.htseq_count	YES	1h	AP2Goe	YES_1h_1_AP2Goe
Sample_19	13674_3.htseq_count	YES	4h	AP2Goe	YES_4h_1_AP2Goe
Sample_28	13674_4.htseq_count	YES	12h	AP2Goe	YES_12h_1_AP2Goe
Sample_32	13674_5.htseq_count	YES	24h	AP2Goe	YES_24h_1_AP2Goe
Sample_35	13674_6.htseq_count	YES	30h	AP2Goe	YES_30h_1_AP2Goe
Sample_40	13674_7.htseq_count	NO	0h	AP2Goe	NO_0h_1_AP2Goe
Sample_43	13674_8.htseq_count	NO	1h	AP2Goe	NO_1h_1_AP2Goe
Sample_51	13674_9.htseq_count	NO	4h	AP2Goe	NO_4h_1_AP2Goe
Sample_60	13674_10.htseq_count	NO	12h	AP2Goe	NO_12h_1_AP2Goe
Sample_64	13674_11.htseq_count	NO	24h	AP2Goe	NO_24h_1_AP2Goe
Sample_68	13674_12.htseq_count	NO	30h	AP2Goe	NO_30h_1_AP2Goe
Sample_65	15786_1.htseq_count	NO	24h	AP2Goe	NO_24h_2_AP2Goe
Sample_8	15786_8.htseq_count	YES	0h	AP2Goe	YES_0h_2_AP2Goe
Sample_12	15786_9.htseq_count	YES	1h	AP2Goe	YES_1h_2_AP2Goe
Sample_44	15786_10.htseq_count	NO	1h	AP2Goe	NO_1h_2_AP2Goe
Sample_46	15786_11.htseq_count	NO	2h	AP2Goe	NO_2h_2_AP2Goe
Sample_14	15786_12.htseq_count	YES	2h	AP2Goe	YES_2h_2_AP2Goe
Sample_50	15786_13.htseq_count	NO	3h	AP2Goe	NO_3h_2_AP2Goe
Sample_18	15786_14.htseq_count	YES	3h	AP2Goe	YES_3h_2_AP2Goe
Sample_52	15786_15.htseq_count	NO	4h	AP2Goe	NO_4h_2_AP2Goe
Sample_20	15786_16.htseq_count	YES	4h	AP2Goe	YES_4h_2_AP2Goe
Sample_25	17446_1.htseq_count	YES	8h	AP2Goe	YES_8h_3_AP2Goe
Sample_29	17446_2.htseq_count	YES	12h	AP2Goe	YES_12h_3_AP2Goe
Sample_33	17446_3.htseq_count	YES	24h	AP2Goe	YES_24h_3_AP2Goe
Sample_36	17446_4.htseq_count	YES	30h	AP2Goe	YES_30h_3_AP2Goe
Sample_41	17446_5.htseq_count	NO	0h	AP2Goe	NO_0h_3_AP2Goe
Sample_47	17446_6.htseq_count	NO	2h	AP2Goe	NO_2h_3_AP2Goe
Sample_53	17446_7.htseq_count	NO	4h	AP2Goe	NO_4h_3_AP2Goe
Sample_54	17446_8.htseq_count	NO	6h	AP2Goe	NO_6h_3_AP2Goe
Sample_57	17446_9.htseq_count	NO	8h	AP2Goe	NO_8h_3_AP2Goe
Sample_61	17446_10.htseq_count	NO	12h	AP2Goe	NO_12h_3_AP2Goe
Sample_66	17446_11.htseq_count	NO	24h	AP2Goe	NO_24h_3_AP2Goe
Sample_69	17446_12.htseq_count	NO	30h	AP2Goe	NO_30h_3_AP2Goe
Sample_9	17446_13.htseq_count	YES	0h	AP2Goe	YES_0h_3_AP2Goe
Sample_15	17446_14.htseq_count	YES	2h	AP2Goe	YES_2h_3_AP2Goe
Sample_21	17446_15.htseq_count	YES	4h	AP2Goe	YES_4h_3_AP2Goe
Sample_22	17446_16.htseq_count	YES	6h	AP2Goe	YES_6h_3_AP2Goe
Sample_63	19453_1.htseq_count	NO	18h	AP2Goe	NO_18h_4_AP2Goe
Sample_31	19453_15.htseq_count	YES	18h	AP2Goe	YES_18h_4_AP2Goe
Sample_42	21384_2.htseq_count	NO	0h	AP2Goe	NO_0h_5_AP2Goe
Sample_48	21384_3.htseq_count	NO	2h	AP2Goe	NO_2h_5_AP2Goe
