Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
,,,Log2-FC,SD,Power,Log2-FC,SD,Power,Log2-FC,SD,Power,Log2-FC,SD,Power,Log2-FC,SD,Power,Log2-FC,SD,Power,Log2-FC,SD,Power,Relative growth rate,Phenotype,,, , 
PBANKA_1343000,,"ribose-phosphate pyrophosphokinase, putative",-0.279,0.280,not reduced,-1.008,0.298,no power,0.475,0.329,not reduced,0.100,0.349,not reduced,0.205,0.722,no power,-0.586,0.746,no power,-0.026,0.764,no power,0.879,Slow,y,Pentose phosphate pathway (PPP), ,5-phosphoribose 1-diphosphate biosynthetic process
PBANKA_0929300,ARC40,"actin-related protein 2/3 complex subunit 1, putative",-0.565,0.233,no power,-1.004,0.268,no power,-0.022,0.114,not reduced,-0.509,0.135,not reduced,0.002,0.472,not reduced,-0.645,0.525,no power,-0.921,0.571,no power,1.067,Dispensable,,, ,actin nucleation
PBANKA_1436200,SET10,"histone-lysine N-methyltransferase, H3 lysine-4 specific, putative",0.608,0.173,not reduced,-0.193,0.196,not reduced,-0.179,0.136,not reduced,-0.603,0.161,not reduced,-8.760,0.303,reduced,-9.447,0.332,reduced,-8.302,0.423,reduced,0.849,Slow,,, ,antigenic variation
PBANKA_0208300,NPT1,novel putative transporter 1,-0.242,0.623,no power,-0.974,0.644,no power,-0.228,0.723,no power,-0.635,0.745,no power,1.297,0.831,not reduced,0.614,0.855,no power,0.813,0.879,not reduced,0.955,Dispensable,,, ,"arginine transport, lysine transport"
PBANKA_1116000,TLP,TRAP-like protein,0.290,0.067,not reduced,-0.233,0.087,not reduced,0.084,0.064,not reduced,-0.268,0.084,not reduced,-0.360,0.066,not reduced,-1.063,0.086,no power,-0.788,0.273,no power,0.950,Dispensable,,, ,biological adhesion
PBANKA_1449600,PIH1,"PIH1 domain-containing protein, putative",-1.096,0.522,no power,-1.771,0.578,no power,-1.261,0.627,no power,-1.708,0.693,no power,2.525,0.687,not reduced,0.396,0.793,no power,1.593,1.034,not reduced,0.761,Dispensable,,, ,box C/D snoRNP assembly
PBANKA_1404000,MKP1,"mitogen-activated protein kinase phosphatase 1, putative",0.786,0.104,not reduced,0.190,0.137,not reduced,0.062,0.099,not reduced,-0.493,0.134,not reduced,-0.269,0.034,not reduced,-0.998,0.050,no power,-0.954,0.137,no power,0.996,Dispensable,,, ,cell cycle
PBANKA_1425200,SSP3,"sporozoite surface protein 3, putative",0.291,0.066,not reduced,-0.383,0.092,not reduced,-0.009,0.056,not reduced,-0.412,0.080,not reduced,0.443,0.085,not reduced,-0.170,0.121,not reduced,0.066,0.293,not reduced,0.922,Dispensable,,, ,cell gliding
PBANKA_1329100,,"plasmepsin VIII, putative",0.810,0.045,not reduced,0.199,0.059,not reduced,-1.613,0.081,reduced,-1.966,0.100,reduced,-0.383,0.122,not reduced,-1.183,0.146,no power,-1.217,0.173,no power,1.005,Dispensable,,, ,"cell gliding, exit from host cell"
PBANKA_0712200,PBLP,"BEM46-like protein, putative",0.579,0.317,not reduced,0.133,0.351,not reduced,1.000,0.149,not reduced,0.502,0.171,not reduced,2.088,0.245,not reduced,1.426,0.299,not reduced,1.466,0.467,not reduced,0.986,Dispensable,,, ,"cell maturation, entry into host cell"
PBANKA_0830400,,G2 protein,-1.126,0.159,no power,-1.640,0.178,reduced,0.208,0.174,not reduced,-0.254,0.196,not reduced,0.125,0.163,not reduced,-0.790,0.188,no power,-0.810,0.268,no power,1.010,Dispensable,,, ,cell motility
PBANKA_1436600,IMC1h,inner membrane complex protein 1h,-0.714,0.091,not reduced,-1.070,0.109,no power,-0.160,0.095,not reduced,-0.621,0.118,not reduced,-0.656,0.158,not reduced,-1.494,0.192,reduced,-1.591,0.421,no power,1.000,Dispensable,,, ,cell motility
PBANKA_0813000,ICP,inhibitor of cysteine proteases,-0.044,0.223,not reduced,-0.497,0.257,no power,0.192,0.118,not reduced,-0.287,0.141,not reduced,-0.857,0.439,no power,-1.498,0.491,no power,4.451,2.349,not reduced,0.316,Essential,,, ,"cell motility, entry into host cell"
PBANKA_1436100,HP1,"heterochromatin protein 1, putative",-6.703,0.703,reduced,-6.720,0.752,reduced,-1.564,0.831,no power,-1.802,0.873,no power,0.210,1.077,no power,-0.158,1.166,no power,4.785,1.384,not reduced,0.324,Slow,,, ,"cell proliferation, regulation of chromatin silencing"
PBANKA_1438600,,"iron transporter, putative",-0.099,0.044,not reduced,-0.628,0.060,not reduced,0.102,0.044,not reduced,-0.257,0.061,not reduced,0.231,0.048,not reduced,-0.443,0.066,not reduced,-0.417,0.097,not reduced,0.995,Dispensable,,, ,"cellular iron ion homeostasis, ferrous iron transport"
PBANKA_0613600,,"phosphopantothenoylcysteine synthetase, putative",-0.647,0.798,no power,-1.038,0.813,no power,0.012,0.327,not reduced,-0.323,0.349,no power,0.522,0.978,no power,-0.069,1.002,no power,0.094,1.014,no power,0.963,Dispensable,y,Pantothenate (vit B5) metabolism / CoA biosynthesis, ,coenzyme A biosynthetic process
PBANKA_0510600,CDC20,cell division cycle protein 20 homolog,-0.934,0.300,no power,-1.976,0.362,reduced,0.635,0.342,not reduced,0.339,0.399,not reduced,0.466,0.466,not reduced,-0.585,0.557,no power,-0.830,0.582,no power,1.051,Dispensable,,, ,cytokinesis
PBANKA_0106600,DPH7,"diphthine methyltransferase, putative",-0.828,0.101,no power,-1.034,0.130,no power,-0.123,0.098,not reduced,-0.361,0.128,not reduced,-1.572,0.350,no power,-1.590,0.406,no power,-0.618,0.509,no power,0.823,Slow,,, ,demethylation
PBANKA_0517200,HAD1,"haloacid dehalogenase-like hydrolase, putative",0.555,0.135,not reduced,-0.179,0.178,not reduced,0.184,0.111,not reduced,-0.569,0.154,not reduced,0.315,0.070,not reduced,-0.424,0.100,not reduced,-0.512,0.174,not reduced,1.020,Dispensable,,,metabolic process,"dephosphorylation, negative regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"
PBANKA_0819500,RECQ1,"ATP-dependent DNA helicase Q1, putative",-0.790,0.189,no power,-1.537,0.215,reduced,0.533,0.163,not reduced,0.030,0.190,not reduced,-0.659,0.152,not reduced,-0.755,0.180,no power,0.097,0.382,not reduced,0.871,Dispensable,,,DNA recombination,DNA duplex unwinding
PBANKA_0940200,,"dna2/nam7 helicase family member, putative",0.340,0.177,not reduced,-0.376,0.221,not reduced,0.458,0.151,not reduced,-0.287,0.195,not reduced,-0.890,0.150,no power,-1.853,0.186,reduced,-1.818,0.253,reduced,0.992,Dispensable,,, ,DNA-dependent DNA replication
