Gene_ID_PB,DOZI_regulated?
PBANKA_0805700,NO
PBANKA_0711900,NO
PBANKA_0941800,NO
PBANKA_0704500,NO
PBANKA_0515000,YES
PBANKA_0316200,NO
PBANKA_1111000,NO
PBANKA_1326400,NO
PBANKA_1423300,NO
PBANKA_0201600,NO
PBANKA_1365500,NO
PBANKA_0514900,YES
PBANKA_1214300,NO
PBANKA_1123500,NO
PBANKA_1034400,NO
PBANKA_1210200,NO
PBANKA_1437500,NO
PBANKA_0831000,NO
PBANKA_0830200,NO
PBANKA_0107600,NO
PBANKA_1439200,NO
PBANKA_1145800,NO
PBANKA_0939600,NO
PBANKA_0505900,NO
PBANKA_1340100,NO
PBANKA_1206300,NO
PBANKA_0623100,NO
PBANKA_1122700,NO
PBANKA_1011500,NO
PBANKA_1025500,NO
PBANKA_1106700,NO
PBANKA_1010300,NO
PBANKA_1008500,NO
PBANKA_1437300,NO
PBANKA_1331400,NO
PBANKA_0826700,NO
PBANKA_1314800,NO
PBANKA_0612400,YES
PBANKA_0300600,NO
PBANKA_0508100,NO
PBANKA_0604500,NO
PBANKA_1308600,NO
PBANKA_1102200,NO
PBANKA_1420500,NO
PBANKA_0719500,NO
PBANKA_1454200,NO
PBANKA_0519900,NO
PBANKA_1128500,NO
PBANKA_0712600,NO
PBANKA_0826900,NO
PBANKA_1400600,NO
PBANKA_1226100,NO
PBANKA_0818900,NO
PBANKA_1428700,NO
PBANKA_1019400,NO
PBANKA_1237100,NO
PBANKA_0103300,NO
PBANKA_1318100,NO
PBANKA_0802300,NO
PBANKA_0702800,NO
PBANKA_0918000,NO
PBANKA_1448200,NO
PBANKA_0404000,NO
PBANKA_1463000,NO
PBANKA_1400700,NO
PBANKA_1238800,NO
PBANKA_0208800,NO
PBANKA_1459300,NO
PBANKA_0807900,NO
PBANKA_0416000,NO
PBANKA_1213000,NO
PBANKA_1231700,NO
PBANKA_1219300,NO
PBANKA_0106300,NO
PBANKA_0511900,NO
PBANKA_0524300,NO
PBANKA_1231600,NO
PBANKA_1126800,NO
PBANKA_1438400,NO
PBANKA_0509000,NO
PBANKA_1033900,NO
PBANKA_1036000,NO
PBANKA_1125600,NO
PBANKA_1145900,NO
PBANKA_0522700,NO
PBANKA_0931200,NO
PBANKA_1115300,YES
PBANKA_0906900,NO
PBANKA_0937200,NO
PBANKA_0823400,NO
PBANKA_1344500,NO
PBANKA_1355100,NO
PBANKA_1016700,NO
PBANKA_0210600,NO
PBANKA_0305100,NO
PBANKA_1448700,NO
PBANKA_0521300,NO
PBANKA_0309400,NO
PBANKA_1025100,NO
PBANKA_1310800,NO
PBANKA_1206900,NO
PBANKA_0100700,NO
PBANKA_1439100,NO
PBANKA_1319500,YES
PBANKA_1361200,NO
PBANKA_0943100,NO
PBANKA_0405500,NO
PBANKA_0901900,NO
PBANKA_0927600,NO
PBANKA_1108500,NO
PBANKA_0941900,NO
PBANKA_1442200,NO
PBANKA_1127000,NO
PBANKA_1134900,YES
PBANKA_1410300,NO
PBANKA_1113000,NO
PBANKA_0804100,NO
PBANKA_1237800,YES
PBANKA_1463300,YES
PBANKA_0408300,NO
PBANKA_1438300,NO
PBANKA_0717800,NO
PBANKA_0418000,NO
PBANKA_0510900,NO
PBANKA_1109000,NO
PBANKA_1411300,NO
PBANKA_0707100,YES
PBANKA_1446500,NO
PBANKA_0402700,YES
PBANKA_1033800,NO
PBANKA_1121700,NO
PBANKA_0214700,NO
PBANKA_1360300,NO
PBANKA_1202400,NO
PBANKA_1433800,NO
PBANKA_0622200,NO
PBANKA_0611600,YES
PBANKA_0914400,NO
PBANKA_0909600,NO
PBANKA_1354400,NO
PBANKA_1401300,NO
PBANKA_1334300,NO
PBANKA_1019500,NO
PBANKA_1210800,NO
PBANKA_0704800,NO
PBANKA_0618200,NO
PBANKA_1216500,NO
PBANKA_1406700,NO
PBANKA_0522900,NO
PBANKA_0205200,NO
PBANKA_1234800,NO
PBANKA_0907900,NO
PBANKA_0720400,NO
PBANKA_0919100,NO
PBANKA_0811400,NO
PBANKA_0928100,NO
PBANKA_0932400,NO
PBANKA_1215600,NO
PBANKA_0816400,NO
PBANKA_1104400,NO
PBANKA_1341800,NO
PBANKA_1228100,NO
PBANKA_1032200,NO
PBANKA_1462700,NO
PBANKA_1229200,NO
PBANKA_0607700,NO
PBANKA_1423500,NO
PBANKA_0522600,NO
PBANKA_0914200,NO
PBANKA_0941500,NO
PBANKA_0311800,NO
PBANKA_0524800,NO
PBANKA_1218800,NO
PBANKA_0604800,NO
PBANKA_1019700,NO
PBANKA_1101300,NO
PBANKA_1116800,NO
PBANKA_1359300,NO
PBANKA_0920400,NO
PBANKA_1135700,NO
PBANKA_0807000,NO
PBANKA_1305000,NO
PBANKA_1310200,NO
PBANKA_1338600,NO
PBANKA_1225900,NO
PBANKA_1003100,YES
PBANKA_1125900,YES
PBANKA_1305200,NO
PBANKA_1234200,NO
PBANKA_1329700,NO
PBANKA_1406900,NO
PBANKA_0606600,NO
PBANKA_0707700,NO
PBANKA_1349200,NO
PBANKA_0604300,NO
PBANKA_1018600,NO
PBANKA_0203000,NO
PBANKA_0803200,NO
PBANKA_1436600,YES
PBANKA_0610400,NO
PBANKA_1126900,NO
PBANKA_0925200,NO
PBANKA_1232200,NO
PBANKA_1010500,NO
PBANKA_0613100,NO
PBANKA_0939100,NO
PBANKA_0801600,NO
PBANKA_0212200,NO
PBANKA_1407600,NO
PBANKA_0617100,NO
PBANKA_1452500,NO
PBANKA_1327900,NO
PBANKA_1120400,YES
PBANKA_1028400,NO
PBANKA_1453700,NO
PBANKA_0503200,NO
PBANKA_1141700,NO
PBANKA_0938400,NO
PBANKA_0712900,YES
PBANKA_1306800,NO
PBANKA_1443800,NO
PBANKA_0905900,YES
PBANKA_1428900,NO
PBANKA_0513600,NO
PBANKA_1303800,NO
PBANKA_1320800,YES
PBANKA_0523900,YES
PBANKA_0416100,NO
PBANKA_0517000,NO
PBANKA_1122900,NO
PBANKA_1352000,NO
PBANKA_1204400,NO
PBANKA_1334800,NO
PBANKA_1353800,YES
PBANKA_1235600,NO
PBANKA_0931300,NO
PBANKA_1206200,NO
PBANKA_1402300,NO
PBANKA_1133400,NO
PBANKA_0309200,NO
PBANKA_0926700,NO
PBANKA_1456100,NO
PBANKA_1137000,NO
PBANKA_1101200,NO
PBANKA_0703900,NO
PBANKA_1202600,NO
PBANKA_1023800,NO
PBANKA_1242300,NO
PBANKA_1130900,NO
PBANKA_1001000,NO
PBANKA_1317400,NO
PBANKA_0922100,NO
PBANKA_0311600,NO
PBANKA_1142100,NO
PBANKA_1135300,NO
PBANKA_0819900,NO
PBANKA_1424300,NO
PBANKA_1355700,YES
PBANKA_1229000,NO
PBANKA_0516900,NO
PBANKA_0504400,NO
PBANKA_0312700,NO
PBANKA_0405200,NO
PBANKA_1305100,NO
PBANKA_1356800,NO
PBANKA_1320500,NO
PBANKA_0522800,NO
PBANKA_1303200,NO
PBANKA_0801200,NO
PBANKA_1364200,NO
PBANKA_0710800,NO
PBANKA_0913400,NO
PBANKA_0938000,NO
PBANKA_0301600,YES
PBANKA_1354500,NO
PBANKA_1357200,NO
PBANKA_1013100,NO
PBANKA_0524700,NO
PBANKA_0112100,NO
PBANKA_0507300,NO
PBANKA_MIT03500:rRNA,NO
PBANKA_0610900,NO
PBANKA_1239000,YES
PBANKA_0316800,NO
PBANKA_1359000,YES
PBANKA_1315300,NO
PBANKA_1423600,NO
PBANKA_0417500,NO
PBANKA_1039400,NO
PBANKA_1133300,NO
PBANKA_0407700,NO
PBANKA_1339500,NO
PBANKA_0409400,NO
PBANKA_0943600,NO
PBANKA_1321400,NO
PBANKA_0619100,NO
PBANKA_0943400,YES
PBANKA_1342500,NO
PBANKA_1140300,NO
PBANKA_1362300,NO
PBANKA_0603200,NO
PBANKA_1338300,NO
PBANKA_0717300,NO
PBANKA_0306800,NO
PBANKA_1426200,NO
PBANKA_1232500,NO
PBANKA_0801800,NO
PBANKA_1224200,NO
PBANKA_1133100,NO
PBANKA_0600600,NO
PBANKA_1419300,YES
PBANKA_1456900,NO
PBANKA_0304900,NO
PBANKA_0800400,NO
PBANKA_0308600,NO
PBANKA_1434700,NO
PBANKA_0823100,YES
PBANKA_0622400,NO
PBANKA_0932500,NO
PBANKA_1215400,NO
PBANKA_0602700,NO
PBANKA_1101100,NO
PBANKA_1416300,NO
PBANKA_1407900,NO
PBANKA_0621400,NO
PBANKA_1231800,NO
PBANKA_0903800,NO
PBANKA_0722000,NO
PBANKA_0305000,YES
PBANKA_1329300,NO
PBANKA_0416500,NO
PBANKA_1030600,NO
PBANKA_1230100,YES
PBANKA_0210500,NO
PBANKA_0503500,NO
PBANKA_0807500,NO
PBANKA_1453300,YES
PBANKA_0938300,NO
PBANKA_0917500,NO
PBANKA_1443300,NO
PBANKA_0513900,NO
PBANKA_1318600,YES
PBANKA_1403800,NO
