"Gene ID","source_id","Product Description","Gene Type","Is Pseudo","Gene Name or Symbol","Transcript Product Description"
"PBANKA_0000101","PBANKA_0000101.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0000201","PBANKA_0000201.1","fam-c protein, pseudogene","protein coding","Yes","N/A","fam-c protein, pseudogene"
"PBANKA_0000301","PBANKA_0000301.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0000401","PBANKA_0000401.1","tryptophan-rich antigen, putative, pseudogene","protein coding","Yes","N/A","tryptophan-rich antigen, putative, pseudogene"
"PBANKA_0000600","PBANKA_0000600.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0000701","PBANKA_0000701.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0000801","PBANKA_0000801.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0000901","PBANKA_0000901.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0001001","PBANKA_0001001.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0001101","PBANKA_0001101.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0001200","PBANKA_0001200.1","fam-a protein, pseudogene","protein coding","Yes","N/A","fam-a protein, pseudogene"
"PBANKA_0001201","PBANKA_0001201.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0001301","PBANKA_0001301.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0001401","PBANKA_0001401.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0001501","PBANKA_0001501.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0001601","PBANKA_0001601.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_0006300","PBANKA_0006300.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0006401","PBANKA_0006401.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0006501","PBANKA_0006501.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0006600","PBANKA_0006600.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
