P. berghei current ID,P. berghei previous ID,P. falciparum ID,Name,Product,Phenotype,Relative growth rate,Confidence,Expected variance,RGR CI low,RGR CI high,Times analysed,Construct
PBANKA_1466100,PBANKA_000330,,,BIR protein;PIR protein,Slow,0.87,5.8,0.003,0.76,0.98,2,PbGEM-327467
PBANKA_0100100,PBANKA_010010,,,fam-a protein,Dispensable,1.03,5.6,0.004,0.91,1.15,1,PbGEM-327491
PBANKA_0216761.1,PBANKA_010040,,Pb235,";reticulocyte binding protein, putative",Slow,0.78,5,0.007,0.61,0.94,1,PbGEM-533099
PBANKA_0100400,PBANKA_010040,,Pb235,";reticulocyte binding protein, putative",Slow,0.78,5,0.007,0.61,0.94,1,PbGEM-533099
PBANKA_0100800,PBANKA_010080,PF3D7_0602000,,"conserved Plasmodium protein, unknown function",Dispensable,1,5.7,0.003,0.89,1.11,1,PbGEM-266060
PBANKA_0100900,PBANKA_010090,PF3D7_0602100,,"ATP-dependent RNA helicase, putative",Essential,0.23,2.9,0.057,-0.25,0.7,3,PbGEM-226645
PBANKA_0101100,PBANKA_010110,PF3D7_0602300,PALM,liver merozoite formation protein,Dispensable,1,5.5,0.004,0.88,1.13,1,PbGEM-266100
PBANKA_0101200,PBANKA_010120,PF3D7_0602400,EF-G,"elongation factor G, putative",Essential,0.1,4.8,0.008,-0.08,0.28,3,PbGEM-226669
PBANKA_0101300,PBANKA_010130,PF3D7_0602500,,"geranylgeranyltransferase, putative",Essential,0.1,1,0.089,-0.13,1.07,3,PbGEM-081231
PBANKA_0101500,PBANKA_010150,PF3D7_0602700,,"conserved Plasmodium protein, unknown function",Dispensable,1,5.8,0.003,0.89,1.11,1,PbGEM-226693
PBANKA_0101600,PBANKA_010160,PF3D7_0602800,,"conserved Plasmodium protein, unknown function",Dispensable,0.86,4.9,0.008,0.68,1.03,1,PbGEM-226701
PBANKA_0101900,PBANKA_010190,PF3D7_0603100,,"conserved Plasmodium protein, unknown function",Insufficient data,0.42,2.5,0.082,-0.15,0.99,1,PbGEM-533115
PBANKA_0102000,PBANKA_010200,PF3D7_0603200,,"mitochondrial chaperone BCS1, putative",Essential,0.15,6.8,0.001,0.08,0.21,2,PbGEM-341612
PBANKA_0102100,PBANKA_010210,PF3D7_0603300,DHODH,"dihydroorotate dehydrogenase, putative",Slow,0.2,6.4,0.002,0.11,0.28,2,PbGEM-341620
PBANKA_0102200,PBANKA_010220,PF3D7_0603400,TEX1,"trophozoite exported protein 1, putative",Dispensable,1.02,4.7,0.009,0.83,1.2,2,PbGEM-266212
PBANKA_0102400,PBANKA_010240,PF3D7_0603600,,"conserved Plasmodium protein, unknown function",Dispensable,0.98,5.6,0.004,0.86,1.1,2,PbGEM-327555
PBANKA_0102600,PBANKA_010260,PF3D7_0603800,CEP76,"centrosomal protein CEP76, putative",Essential,0.04,6.9,0.001,-0.03,0.1,3,PbGEM-327571
PBANKA_0102900,PBANKA_010290,PF3D7_0604100,SIP2,"transcription factor with AP2 domain(s), putative;SPE2-interacting protein, putative",Essential,0.12,5.4,0.004,-0.01,0.26,2,PbGEM-005512
PBANKA_0103300,PBANKA_010330,PF3D7_0604500,,"conserved Plasmodium protein, unknown function",Dispensable,0.84,4.6,0.01,0.65,1.04,2,PbGEM-533123
PBANKA_0104000,PBANKA_010400,PF3D7_0605200,,"conserved Plasmodium protein, unknown function",Essential,0.13,6.8,0.001,0.07,0.2,2,PbGEM-266435
