feature_symbol,product_description,gene_name,Unique_Core
PBANKA_0101100,liver merozoite formation protein,PALM,EEF
PBANKA_0109300,"SNARE associated Golgi protein, putative",null,EEF
PBANKA_0112500,"major facilitator superfamily-related transporter, putative",MFR1,EEF
PBANKA_0207900,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0300100,PIR protein,null,EEF
PBANKA_0308200,"apicoplast beta-ketoacyl-acyl carrier protein synthase III precursor, putative",null,EEF
PBANKA_0312600,"palmitoyltransferase DHHC11, putative",DHHC11,EEF
PBANKA_0400500,PIR protein,null,EEF
PBANKA_0507200,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0511100,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0515600,"conserved protein, unknown function",null,EEF
PBANKA_0517700,"ubiquitin-conjugating enzyme E2, putative",null,EEF
PBANKA_0519500,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0606900,"amino acid transporter, putative",null,EEF
PBANKA_0608800,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0700900,"reticulocyte binding protein, putative",Pb235,EEF
PBANKA_0703000,"magnesium transporter, putative",null,EEF
PBANKA_0707000,lipoate-protein ligase B,LipB,EEF
PBANKA_0711500,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0715700,"lysine decarboxylase-like protein, putative",null,EEF
PBANKA_0807800,"DNA replication complex GINS protein, putative",null,EEF
PBANKA_0809500,"apicoplast integral membrane protein, putative",null,EEF
PBANKA_0811600,"selenide water dikinase, putative",null,EEF
PBANKA_0818100,"N-glycosylase/DNA lyase, putative",OGG1,EEF
PBANKA_0818200,"conserved protein, unknown function",null,EEF
PBANKA_0822400,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0823800,"3-oxoacyl-[acyl-carrier-protein] reductase, putative",FabG,EEF
PBANKA_0905100,"ATP-dependent (S)-NAD(P)H-hydrate dehydratase, putative",null,EEF
PBANKA_0909000,"carbonic anhydrase, putative",CA,EEF
PBANKA_0915900,"amino acid transporter, putative",null,EEF
PBANKA_0922600,"kelch domain-containing protein, putative",null,EEF
PBANKA_0923100,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0932900,"glycerol-3-phosphate dehydrogenase, putative",G3PDH,EEF
PBANKA_0934100,"GTP-binding protein, putative",null,EEF
PBANKA_1001100,"ubiquitin specific protease, putative",null,EEF
PBANKA_1001700,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1002300,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1003000,liver specific protein 2,LISP2,EEF
PBANKA_1003900,gametocyte-specific protein,null,EEF
PBANKA_1024600,liver specific protein 1,LISP1,EEF
PBANKA_1035500,"vacuolar protein sorting-associated protein 29, putative",VPS29,EEF
PBANKA_1039900,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1102500,"DnaJ protein, putative",null,EEF
PBANKA_1106200,"histone deacetylase, putative",null,EEF
PBANKA_1122300,"MEI2-like RNA-binding protein, putative",PlasMei2,EEF
PBANKA_1125400,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1126700,"6-pyruvoyltetrahydropterin synthase, putative",null,EEF
PBANKA_1127200,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1127600,"glucosamine 6-phosphate N-acetyltransferase, putative",GNA1,EEF
PBANKA_1128000,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1128700,"phosphatidylinositol/phosphatidylcholine transfer protein, putative",null,EEF
PBANKA_1132000,NLI interacting factor-like phosphatase,NIF3,EEF
PBANKA_1132700,"phosphatase 2A regulatory subunit-related protein, putative",null,EEF
PBANKA_1139600,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1140400,"exosome complex component RRP45, putative",RRP45,EEF
PBANKA_1140700,ferrochelatase,FC,EEF
PBANKA_1211400,"zinc finger protein, putative",null,EEF
PBANKA_1211800,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1216200,"diacylglycerol O-acyltransferase, putative",DGAT,EEF
PBANKA_1217200,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1230000,"GPI-anchored wall transfer protein 1, putative",GWT1,EEF
PBANKA_1245700,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1301100,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1301200,"mediator of RNA polymerase II transcription subunit 31, putative",MED31,EEF
PBANKA_1302300,"metacaspase-2, putative",MCA2,EEF
PBANKA_1303100,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1304700,"major facilitator superfamily domain-containing protein, putative",MFS6,EEF
PBANKA_1306400,"geranylgeranyl transferase type-2 subunit alpha, putative",null,EEF
PBANKA_1307100,"heptatricopeptide repeat-containing protein, putative",null,EEF
PBANKA_1310100,"pyruvate dehydrogenase E1 component subunit beta, putative",null,EEF
PBANKA_1319600,"polyprenol reductase, putative",null,EEF
PBANKA_1322900,"OPA3-like protein, putative",null,EEF
PBANKA_1332900,"mediator of RNA polymerase II transcription subunit 6, putative",MED6,EEF
PBANKA_1334500,"RAP protein, putative",null,EEF
PBANKA_1337200,"protein transport protein SFT2, putative",null,EEF
PBANKA_1342900,"regulator of nonsense transcripts 3B, putative",UPF3B,EEF
PBANKA_1352621:tRNA,tRNA Methionine,null,EEF
PBANKA_1359900,"WD repeat-containing protein 92, putative",WDR92,EEF
PBANKA_1403600,"protein AMR3, putative",null,EEF
PBANKA_1404000,"mitogen-activated protein kinase phosphatase 1, putative",MKP1,EEF
PBANKA_1404500,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1407200,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_1410500,"malonyl CoA-acyl carrier protein transacylase, putative",MCAT,EEF
PBANKA_1416700,glycerol-3-phosphate 1-O-acyltransferase,G3PAT,EEF
PBANKA_1424400,"CS domain protein, putative",null,EEF
PBANKA_1426000,"histone-arginine methyltransferase CARM1, putative",CARM1,EEF
PBANKA_1431000,"peptidyl-prolyl cis-trans isomerase, putative",CYP32,EEF
PBANKA_1434000,"phosphate translocator, putative",null,EEF
PBANKA_1448300,"homocysteine S-methyltransferase, putative",null,EEF
PBANKA_1454400,"3-hydroxyisobutyryl-coenzyme A hydrolase, putative",null,EEF
PBANKA_1460300,"GPI mannosyltransferase 2, putative",null,EEF
PBANKA_1460900,"tRNA-splicing endonuclease, putative",null,EEF
PBANKA_1462600,"conserved Plasmodium protein, unknown function",null,EEF
PBANKA_0105100,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1104100,"MOLO1 domain-containing protein, putative",null,Female
PBANKA_1318500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1421700,"secreted ookinete protein, putative",PSOP20,Female
PBANKA_0704900,"crystalloid-specific PH domain-containing protein, putative",CryPH,Female
PBANKA_0517600,plasmepsin VII,null,Female
PBANKA_1233600,"secreted ookinete protein, putative",PSOP13,Female
PBANKA_1436600,inner membrane complex protein 1h,IMC1h,Female
PBANKA_0109800,"conserved protein, unknown function",null,Female
PBANKA_1225500,"conserved protein, unknown function",null,Female
PBANKA_1035200,LCCL domain-containing protein,CCp3,Female
PBANKA_1325400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1323800,"kelch domain-containing protein, putative",null,Female
PBANKA_1444800,"thioredoxin-like associated protein 1, putative",TLAP1,Female
PBANKA_1335000,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0704800,"conserved protein, unknown function",null,Female
PBANKA_1204500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1145200,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1430300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0417200,PH domain-containing protein,PH,Female
PBANKA_1225300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1363600,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1319500,LCCL domain-containing protein,CCP2,Female
PBANKA_1436300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1453900,"conserved protein, unknown function",null,Female
PBANKA_1336200,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1359700,6-cysteine protein,P47,Female
PBANKA_1329400,"conserved protein, unknown function",null,Female
PBANKA_0417600,LCCL domain-containing protein,CCp4,Female
PBANKA_0502650,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0606200,"blood stage antigen 41-3 precursor, putative",null,Female
PBANKA_1414500,"protein kinase, putative",null,Female
PBANKA_0704700,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1334700,"transmembrane protein 43, putative",TMEM43,Female
PBANKA_0620300,"conserved protein, unknown function",null,Female
PBANKA_0827400,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0926500,"peptidase M16, putative",null,Female
PBANKA_0502000,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1219100,inner membrane complex protein 1d,IMC1d,Female
PBANKA_1138900,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0902300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1132300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1354900,"inner membrane complex protein 1k, putative",IMC1k,Female
PBANKA_1320800,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0912500,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1325200,"meiotic nuclear division protein 1, putative",MND1,Female
PBANKA_1463300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1112700,"conserved protein, unknown function",null,Female
PBANKA_1009600,"conserved protein, unknown function",null,Female
PBANKA_0516000,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0407300,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1434400,"secreted ookinete protein, putative",PSOP17,Female
PBANKA_0522200,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_1040100,choline kinase,CK,Female
PBANKA_0518500,"ADP-ribosylation factor, putative",null,Female
PBANKA_0831600,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0830700,"procollagen lysine 5-dioxygenase, putative",null,Female
PBANKA_1113400,secreted ookinete protein,PSOP12,Female
PBANKA_1362800,"conserved Plasmodium protein, unknown function",null,Female
PBANKA_0605100,"Tat binding protein 1(TBP-1)-interacting protein, putative",null,Female
PBANKA_0909500,"AAA family ATPase, putative",null,Female
PBANKA_1032400,"alpha/beta hydrolase, putative",null,Female
PBANKA_1020300,"ankyrin-repeat protein, putative",null,Female
