Stanway_2019_B1-MG_data_normalized,,,,,
Gene ID,gene_name,gene_product,Log2-FC,SD,Power
PBANKA_1343000,,"ribose-phosphate pyrophosphokinase, putative",-1.008,0.298,no power
PBANKA_0929300,ARC40,"actin-related protein 2/3 complex subunit 1, putative",-1.004,0.268,no power
PBANKA_1436200,SET10,"histone-lysine N-methyltransferase, H3 lysine-4 specific, putative",-0.193,0.196,not reduced
PBANKA_0208300,NPT1,novel putative transporter 1,-0.974,0.644,no power
PBANKA_1116000,TLP,TRAP-like protein,-0.233,0.087,not reduced
PBANKA_1449600,PIH1,"PIH1 domain-containing protein, putative",-1.771,0.578,no power
PBANKA_1404000,MKP1,"mitogen-activated protein kinase phosphatase 1, putative",0.190,0.137,not reduced
PBANKA_1425200,SSP3,"sporozoite surface protein 3, putative",-0.383,0.092,not reduced
PBANKA_1329100,,"plasmepsin VIII, putative",0.199,0.059,not reduced
PBANKA_0712200,PBLP,"BEM46-like protein, putative",0.133,0.351,not reduced
PBANKA_0830400,,G2 protein,-1.640,0.178,reduced
PBANKA_1436600,IMC1h,inner membrane complex protein 1h,-1.070,0.109,no power
PBANKA_0813000,ICP,inhibitor of cysteine proteases,-0.497,0.257,no power
PBANKA_1436100,HP1,"heterochromatin protein 1, putative",-6.720,0.752,reduced
PBANKA_1438600,,"iron transporter, putative",-0.628,0.060,not reduced
PBANKA_0613600,,"phosphopantothenoylcysteine synthetase, putative",-1.038,0.813,no power
PBANKA_0510600,CDC20,cell division cycle protein 20 homolog,-1.976,0.362,reduced
PBANKA_0106600,DPH7,"diphthine methyltransferase, putative",-1.034,0.130,no power
PBANKA_0517200,HAD1,"haloacid dehalogenase-like hydrolase, putative",-0.179,0.178,not reduced
PBANKA_0819500,RECQ1,"ATP-dependent DNA helicase Q1, putative",-1.537,0.215,reduced
PBANKA_0940200,,"dna2/nam7 helicase family member, putative",-0.376,0.221,not reduced
PBANKA_0308400,ALG14,"UDP-N-acetylglucosamine transferase subunit ALG14, putative",-1.481,1.869,no power
PBANKA_0402800,EHD,"EH domain-containing protein, putative",-0.192,0.092,not reduced
PBANKA_1233200,CYC3,cyclin,-1.042,0.125,no power
PBANKA_0414500,,"HVA22/TB2/DP1 family protein, putative",-1.246,0.229,no power
PBANKA_1329500,PPKL,protein phosphatase containing kelch-like domains,-0.626,0.396,no power
PBANKA_1349800,TRAP,sporozoite surface protein 2,-0.706,0.055,not reduced
PBANKA_1232400,CPbeta,F-actin-capping protein subunit beta,-1.514,0.220,reduced
PBANKA_1119200,,"conserved Plasmodium protein, unknown function",-1.569,0.159,reduced
PBANKA_1002100,P36,6-cysteine protein,-0.472,0.073,not reduced
PBANKA_0413800,MA,"microneme associated antigen, putative",-0.870,0.210,no power
PBANKA_1037800,SOAP,secreted ookinete adhesive protein,-0.372,0.049,not reduced
PBANKA_1210600,,"conserved Plasmodium protein, unknown function",0.190,0.071,not reduced
PBANKA_0824200,PLP3,perforin-like protein 3,-0.819,0.103,no power
PBANKA_1315400,CNB,"calcineurin subunit B, putative",-0.144,3.251,no power
PBANKA_0833000,PFN,"profilin, putative",-0.956,0.148,no power
PBANKA_1222300,SEC28,"coatomer subunit epsilon, putative",-0.790,0.166,no power
PBANKA_0903900,SEC21,"coatomer subunit gamma, putative",0.735,3.140,no power
PBANKA_0913700,,"coatomer subunit delta, putative",-1.997,1.151,no power
PBANKA_1128100,PL,phospholipase,-0.549,0.068,not reduced
PBANKA_1463000,G377,osmiophilic body protein,0.114,0.222,not reduced
PBANKA_1312700,GEST,gamete egress and sporozoite traversal protein,-6.818,0.201,reduced
PBANKA_1410500,,"malonyl CoA-acyl carrier protein transacylase precursor, putative",-0.607,0.081,not reduced
PBANKA_1022300,,"mannose-1-phosphate guanyltransferase, putative",-0.813,0.153,no power
PBANKA_1317500,GluPho,"glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase, putative",-3.595,0.237,reduced
PBANKA_1014000,GDH2,"NADP-specific glutamate dehydrogenase, putative",-3.210,0.886,reduced
PBANKA_0718100,GATA,glutamyl-tRNA(Gln) amidotransferase subunit A,-4.239,0.134,reduced
PBANKA_1319100,HlyIII,"hemolysin III, putative",-1.227,0.081,reduced
PBANKA_0932500,,"SET domain protein, putative",-0.718,1.896,no power
PBANKA_1139800,GEX1,nuclear fusion protein,-1.607,0.449,no power
PBANKA_1455100,RFC4,"replication factor C subunit 4, putative",1.009,1.122,no power
PBANKA_1018100,ABCG2,"ABC transporter G family member 2, putative",-0.125,1.031,no power
PBANKA_0505700,ROK1,"ATP-dependent RNA helicase ROK1, putative",-0.342,0.312,not reduced
PBANKA_0804300,MSH2-2,DNA mismatch repair protein MSH2,0.569,0.486,not reduced
PBANKA_1438700,,"mitochondrial carrier protein, putative",-1.723,0.112,reduced
PBANKA_1305600,,"metalloprotease, putative",-1.249,0.129,no power
PBANKA_0106200,SAS6,"spindle assembly abnormal protein 6, putative",-0.846,0.183,no power
PBANKA_0717500,CBP20,"nuclear cap-binding protein subunit 2, putative",-1.908,0.461,no power
PBANKA_1023200,SF3B4,"splicing factor 3B subunit 4, putative",-1.825,0.849,no power
PBANKA_1325300,SF3B2,"splicing factor 3B subunit 2, putative",-0.842,0.919,no power
PBANKA_0921500,SNRPF,"small nuclear ribonucleoprotein F, putative",0.668,3.251,no power
PBANKA_0507400,OMPDC,"orotidine 5'-phosphate decarboxylase, putative",0.477,0.929,no power
PBANKA_0102100,DHODH,"dihydroorotate dehydrogenase, putative",-0.031,1.466,no power
PBANKA_0601500,TGS1,"trimethylguanosine synthase, putative",-1.118,0.210,no power
PBANKA_1304400,,"allantoicase, putative",-2.237,0.162,reduced
PBANKA_1121900,CS,"chorismate synthase, putative",-0.477,0.164,not reduced
PBANKA_0407600,AS,asparagine synthetase [glutamine-hydrolyzing],0.885,0.491,not reduced
PBANKA_0308600,,"asparagine--tRNA ligase, putative",-2.526,0.197,reduced
PBANKA_0313800,,"ATP synthase F1, alpha subunit, putative",-1.912,0.332,reduced
PBANKA_1450300,ATPbeta,"ATP synthase subunit beta, mitochondrial",-1.715,0.263,reduced
PBANKA_1409800,,"ATP synthase subunit gamma, mitochondrial, putative",-3.509,1.436,no power
PBANKA_0901400,,"mitochondrial ATP synthase delta subunit, putative",-2.582,0.235,reduced
PBANKA_1330400,,"DNA-3-methyladenine glycosylase, putative",-0.287,0.098,not reduced
PBANKA_0918700,,"A/G-specific adenine glycosylase, putative",-0.049,0.091,not reduced
PBANKA_1360500,ECT,ethanolamine-phosphate cytidylyltransferase,-2.366,0.084,reduced
PBANKA_1342800,NMNAT,"nicotinate-nucleotide adenylyltransferase, putative",-2.390,0.176,reduced
PBANKA_0302300,AspAT,"aspartate aminotransferase, putative",-1.339,0.167,reduced
PBANKA_0509300,,"glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative",-0.663,0.776,no power
PBANKA_0918200,,"phosphoacetylglucosamine mutase, putative",-0.328,0.196,not reduced
PBANKA_1228400,,"mannose-6-phosphate isomerase, putative",-0.144,0.201,not reduced
PBANKA_1210900,,"phosphoglucomutase, putative",-0.224,0.088,not reduced
PBANKA_0800500,CHT1,chitinase,-0.505,0.091,not reduced
PBANKA_1117700,MDH,"malate dehydrogenase, putative",-0.896,0.166,no power
PBANKA_1340400,,"oxidoreductase, putative",-0.726,0.207,no power
PBANKA_0932900,G3PDH,"glycerol-3-phosphate dehydrogenase, putative",-0.200,0.063,not reduced
PBANKA_1431900,,"glycerol-3-phosphate dehydrogenase, putative",-0.199,0.064,not reduced
PBANKA_1104900,,"UDP-N-acetyl glucosamine:UMP antiporter, putative",-0.016,0.187,not reduced
PBANKA_0806300,,"P-type ATPase, putative",-1.319,0.099,reduced
PBANKA_0610400,ATP4,"non-SERCA-type Ca2+ -transporting P-ATPase, putative",-0.130,1.123,no power
PBANKA_1438300,,"phospholipid-transporting ATPase, putative",-0.031,1.466,no power
PBANKA_1422200,,"zinc transporter, putative",-1.398,0.119,reduced
PBANKA_1319500,CCP2,LCCL domain-containing protein,-0.538,0.627,no power
PBANKA_1300700,CCp1,LCCL domain-containing protein,1.209,0.117,not reduced
PBANKA_0824400,,"cyclin-dependent kinases regulatory subunit, putative",-0.461,0.458,no power
PBANKA_1225500,,"conserved Plasmodium protein, unknown function",-0.213,0.691,no power
PBANKA_0920900,,"conserved Plasmodium protein, unknown function",-0.842,0.286,no power
PBANKA_0105500,GLP2,glutaredoxin-like protein,-2.565,1.860,no power
PBANKA_0404700,GRX1,"glutaredoxin 1, putative",0.101,0.165,not reduced
PBANKA_1219700,GLP3,glutaredoxin-like protein,-0.284,0.085,not reduced
PBANKA_1335800,,"protein disulfide-isomerase, putative",-0.364,0.145,not reduced
PBANKA_0820300,,"protein disulfide isomerase, putative",-0.764,0.267,no power
PBANKA_1358000,TRX2,thioredoxin 2,-0.370,0.112,not reduced
PBANKA_1320900,TRX1,"thioredoxin 1, putative",-0.764,0.267,no power
PBANKA_1446900,LPD1,"dihydrolipoyl dehydrogenase, mitochondrial, putative",-2.428,0.132,reduced
PBANKA_0714900,aLipDH,"dihydrolipoyl dehydrogenase, apicoplast, putative",-0.036,0.051,not reduced
PBANKA_1023400,GR,"glutathione reductase, putative",-0.306,0.176,not reduced
PBANKA_1430800,Trx-Px2,"thioredoxin peroxidase 2, putative",-0.500,0.071,not reduced
PBANKA_1302800,TPx1,thioredoxin peroxidase 1,-0.378,0.041,not reduced
PBANKA_1455400,,"conserved Plasmodium protein, unknown function",-0.735,0.080,not reduced
PBANKA_1026200,GDH1,"NADP-specific glutamate dehydrogenase, putative",-3.085,0.805,reduced
PBANKA_0511000,,"biotin--acetyl-CoA-carboxylase, putative",-0.230,0.059,not reduced
PBANKA_0824500,LplA2,"lipoate-protein ligase 2, putative",-3.393,0.177,reduced
PBANKA_1440700,UBA1,"ubiquitin-activating enzyme E1, putative",-1.024,1.040,no power
PBANKA_1113700,,"tubulin--tyrosine ligase, putative",-0.314,0.099,not reduced
PBANKA_1208000,,"tubulin--tyrosine ligase, putative",-0.316,0.361,no power
PBANKA_1323600,,"biotin protein ligase, putative",0.037,0.124,not reduced
PBANKA_0901900,,"tubulin--tyrosine ligase, putative",-1.121,0.100,no power
PBANKA_0707000,LipB,lipoate-protein ligase B,-0.287,0.069,not reduced
PBANKA_0718400,HAT1,"histone acetyltransferase, putative",-1.485,0.784,no power
PBANKA_0716000,SMC3,"structural maintenance of chromosomes protein 3, putative",-0.545,0.908,no power
PBANKA_0203900,,"conserved protein, unknown function",-0.031,1.466,no power
PBANKA_0611400,,"pantothenate kinase, putative",-2.044,0.785,no power
PBANKA_1022600,PANK,"pantothenate kinase, putative",-0.169,0.179,not reduced
PBANKA_0503800,,"conserved Plasmodium protein, unknown function",-0.798,0.161,no power
PBANKA_1142400,,"nucleoside diphosphate kinase b, putative",-2.506,0.669,reduced
PBANKA_0910300,GCalpha,"guanylyl cyclase, putative",0.777,1.142,no power
PBANKA_0921400,,"protein phosphatase, putative",-0.493,0.103,not reduced
PBANKA_0809400,,"P1 nuclease, putative",-3.559,0.659,reduced
PBANKA_1014800,WRN,"ADP-dependent DNA helicase RecQ, putative",-1.114,0.514,no power
PBANKA_0515300,,"conserved Plasmodium protein, unknown function",-1.564,0.156,reduced
PBANKA_1006100,FEN1,"flap endonuclease 1, putative",-0.519,0.870,no power
PBANKA_0404100,,"AP endonuclease (DNA-[apurinic or apyrimidinic site] lyase), putative",0.161,0.076,not reduced
PBANKA_1113300,,"deoxyribodipyrimidine photo-lyase, putative",0.176,0.165,not reduced
PBANKA_0622500,,"exonuclease I, putative",-0.807,0.166,no power
PBANKA_1324700,,"conserved Plasmodium protein, unknown function",-0.493,0.141,not reduced
PBANKA_1206400,,"endonuclease, putative",-5.862,0.367,reduced
PBANKA_0316000,RFC1,"replication factor C subunit 1, putative",0.069,0.936,no power
PBANKA_0714000,DMC1,meiotic recombination protein DMC1,-0.843,0.071,not reduced
PBANKA_1336900,,"conserved Plasmodium protein, unknown function",-1.260,0.135,no power
PBANKA_0513900,,"conserved Plasmodium protein, unknown function",-1.135,0.159,no power
PBANKA_0314700,RFC2,"replication factor C subunit 2, putative",-0.222,3.251,no power
PBANKA_0803000,ORC2,"origin recognition complex subunit 2, putative",0.646,3.251,no power
PBANKA_0718300,MCM9,"DNA helicase MCM9, putative",-0.160,0.061,not reduced
PBANKA_1108400,SSB,"single-stranded DNA-binding protein, putative",-0.388,0.364,no power
PBANKA_1360000,TOP3,"DNA topoisomerase 3, putative",0.713,2.651,no power
PBANKA_0202900,,"transcription initiation factor TFIIB, putative",-0.031,1.466,no power
PBANKA_0518200,SDHA,"flavoprotein subunit of succinate dehydrogenase, putative",-1.375,0.102,reduced
PBANKA_1137200,SEC24A,"protein transport protein Sec24A, putative",0.406,3.251,no power
PBANKA_1125100,FabB/FabF,"3-oxoacyl-acyl-carrier protein synthase, putative",-0.263,0.044,not reduced
PBANKA_1338200,FabZ,"beta-hydroxyacyl-ACP dehydratase, putative",-0.317,0.050,not reduced
PBANKA_0308200,,"apicoplast beta-ketoacyl-acyl carrier protein synthase III precursor, putative",-0.168,0.188,not reduced
PBANKA_0823800,FabG,"3-oxoacyl-[acyl-carrier-protein] reductase, putative",0.024,0.179,not reduced
PBANKA_0716700,,"GTP-binding protein, putative",-1.344,0.290,no power
PBANKA_0523200,SR12,"serpentine receptor, putative",-0.453,0.193,not reduced
PBANKA_1429300,,"integral membrane protein GPR180, putative",-0.899,0.107,no power
PBANKA_0501700,,"phosphomannomutase, putative",-1.442,0.087,reduced
PBANKA_1423700,GMD,"GDP-mannose 4,6-dehydratase, putative",-0.380,0.080,not reduced
PBANKA_1355900,PEPCK,"phosphoenolpyruvate carboxykinase, putative",-0.566,0.199,not reduced
PBANKA_1009500,,"NAD(P)H-dependent glutamate synthase, putative",-1.082,0.195,no power
PBANKA_0823500,,"glutamine synthetase, putative",0.043,0.075,not reduced
PBANKA_1111800,GS,glutathione synthetase,-1.370,0.263,no power
PBANKA_0404800,,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative",-1.017,0.224,no power
PBANKA_1141300,GCVT,glycine cleavage system T protein,-0.194,0.076,not reduced
PBANKA_0816800,GLTP,"glycolipid transfer protein, putative",-0.378,0.080,not reduced
PBANKA_0919900,,"6-phosphofructokinase, putative",-0.062,0.597,no power
PBANKA_1211000,GMPS,"GMP synthase [glutamine-hydrolyzing], putative",-0.075,0.159,not reduced
PBANKA_0720600,BET3,"trafficking protein particle complex subunit 3, putative",-1.337,3.114,no power
PBANKA_1230000,GWT1,"GPI-anchored wall transfer protein 1, putative",-2.720,0.172,reduced
PBANKA_0206500,RAB5c,"ras-related protein Rab-5C, putative",-0.654,1.040,no power
PBANKA_1300500,,"tubulin epsilon chain, putative",-1.665,0.361,no power
PBANKA_0417700,,alpha tubulin 1,-0.587,0.134,not reduced
PBANKA_0834600,,"delta tubulin, putative",-0.838,0.169,no power
PBANKA_1427900,,"histone acetyltransferase subunit NuA4, putative",-0.031,1.466,no power
PBANKA_0803600,,"importin-7, putative",-2.334,0.170,reduced
PBANKA_1237400,SufA,iron-sulfur assembly protein,-0.310,0.126,not reduced
PBANKA_0822300,NFU,NifU-like scaffold protein,-0.631,0.067,not reduced
PBANKA_0831700,NFU1,"NifU-like protein, putative",-1.195,0.049,reduced
PBANKA_1330600,DXR,"1-deoxy-D-xylulose 5-phosphate reductoisomerase, putative",1.507,1.818,no power
PBANKA_1319800,SHMT,"serine hydroxymethyltransferase, putative",-1.119,1.007,no power
PBANKA_1017500,UIS28,"lipase, putative",0.062,0.143,not reduced
PBANKA_0824900,,"patatin-like phospholipase, putative",-0.140,0.192,not reduced
