	identity_updated	genetic_background	Genotypes	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	umap1	umap2
SC22530_1_100	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1393	7.2399325913204695	7556.6997	8.930322	-2.534664	12.907211
SC22530_1_101	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1166	7.062191632286556	6258.198	8.741807	1.4393723	-9.474169
SC22530_1_103	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1927	7.564238475170491	10203.146	9.23055	1.0556871	0.8010651
SC22530_1_104	GCSKO-17	PBANKA	fd3   PBANKA_1418100	896	6.799055862058796	5054.6416	8.52826	5.5012136	2.3612275
SC22530_1_106	GCSKO-2	PBANKA	md3 PBANKA_0102400	1512	7.321849713788356	8262.08	9.019552	-0.74617654	3.0387414
SC22530_1_108	GCSKO-2	PBANKA	md3 PBANKA_0102400	1709	7.444248649496705	8931.754	9.09748	-0.30684116	2.1497653
SC22530_1_109	GCSKO-2	PBANKA	md3 PBANKA_0102400	624	6.437751649736401	3388.53	8.128447	8.023497	-7.3219414
SC22530_1_10	GCSKO-2	PBANKA	md3 PBANKA_0102400	2597	7.862497197230545	12244.844	9.412942	10.786157	14.185114
SC22530_1_110	GCSKO-2	PBANKA	md3 PBANKA_0102400	252	5.53338948872752	1534.6646	7.3367186	3.388211	-3.5798604
SC22530_1_114	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1875	7.53689712956617	10185.457	9.228814	-0.2956097	1.1386402
SC22530_1_115	GCSKO-17	PBANKA	fd3   PBANKA_1418100	763	6.638567789166521	4192.0225	8.341177	11.302969	-2.7386007
SC22530_1_116	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1848	7.522400231387125	9690.539	9.1790085	1.930507	0.5036376
SC22530_1_117	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1358	7.214504414151143	7775.037	8.958802	-2.306644	13.172555
SC22530_1_118	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2089	7.644919344958857	10889.309	9.295629	1.8982633	0.33394977
SC22530_1_119	GCSKO-17	PBANKA	fd3   PBANKA_1418100	866	6.7650389767805414	5246.756	8.565556	0.57254	3.4384334
SC22530_1_11	GCSKO-2	PBANKA	md3 PBANKA_0102400	1556	7.350516171833998	8745.293	9.0763855	-3.0226896	7.235803
SC22530_1_120	GCSKO-17	PBANKA	fd3   PBANKA_1418100	317	5.762051382780177	2220.4392	7.7059107	7.8043184	0.4114847
SC22530_1_122	GCSKO-2	PBANKA	md3 PBANKA_0102400	834	6.727431724850855	4375.58	8.384023	10.959464	-1.8924296
SC22530_1_126	GCSKO-2	PBANKA	md3 PBANKA_0102400	603	6.403574197934815	3408.2905	8.134259	7.801993	0.16479096
SC22530_1_127	GCSKO-2	PBANKA	md3 PBANKA_0102400	899	6.802394763324311	4921.0615	8.501483	7.2582593	8.938742
SC22530_1_129	GCSKO-17	PBANKA	fd3   PBANKA_1418100	977	6.885509670034818	5494.601	8.611703	8.455684	2.7693465
SC22530_1_12	GCSKO-2	PBANKA	md3 PBANKA_0102400	1045	6.952728644624869	6318.332	8.7513685	-2.883332	7.4727626
SC22530_1_130	GCSKO-17	PBANKA	fd3   PBANKA_1418100	881	6.782192056006791	5016.459	8.5206785	8.647688	2.6467884
SC22530_1_131	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1345	7.204892510204673	7063.1763	8.862792	4.3310027	1.7065737
SC22530_1_132	GCSKO-17	PBANKA	fd3   PBANKA_1418100	2268	7.727094484779841	10743.541	9.282153	8.694242	19.20709
SC22530_1_133	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1532	7.334981878871814	7912.928	8.976379	3.8493192	1.2659771
SC22530_1_134	GCSKO-17	PBANKA	fd3   PBANKA_1418100	592	6.385194398997726	3602.0276	8.189529	3.020378	-7.6858273
SC22530_1_135	GCSKO-17	PBANKA	fd3   PBANKA_1418100	730	6.594413459749778	4084.883	8.315293	11.039782	-2.1231244
SC22530_1_136	GCSKO-17	PBANKA	fd3   PBANKA_1418100	1960	7.581209826196346	9898.999	9.20029	8.708568	19.112278
SC22530_1_139	GCSKO-2	PBANKA	md3 PBANKA_0102400	758	6.63200177739563	4006.9111	8.296025	9.459454	0.886149
SC22530_1_13	GCSKO-2	PBANKA	md3 PBANKA_0102400	2062	7.631916513071252	10942.229	9.300476	-1.3895804	2.5813632
SC22530_1_140	GCSKO-2	PBANKA	md3 PBANKA_0102400	1744	7.4645098346365275	8085.7393	8.997981	7.8448486	10.392326
