Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
5	0.0	109	76	PBANKA_1009900, PBANKA_0315800, PBANKA_1436600, PBANKA_0904200, PBANKA_1138900, PBANKA_1423700, PBANKA_1202600, PBANKA_1317200, PBANKA_0704900, PBANKA_0816800, PBANKA_0916700, PBANKA_1305200, PBANKA_0518500, PBANKA_0827400, PBANKA_1129800, PBANKA_1419300, PBANKA_1334700, PBANKA_0502000, PBANKA_1342500, PBANKA_0807200, PBANKA_1335000, PBANKA_1218300, PBANKA_1407900, PBANKA_1007900, PBANKA_0912500, PBANKA_1205200, PBANKA_0703500, PBANKA_1218000, PBANKA_1429200, PBANKA_0302600, PBANKA_0312700, PBANKA_0314800, PBANKA_1461300, PBANKA_0707100, PBANKA_0101500, PBANKA_1020300, PBANKA_1110600, PBANKA_1444800, PBANKA_1121000, PBANKA_0830400, PBANKA_0622400, PBANKA_1353800, PBANKA_0720900, PBANKA_0503300, PBANKA_1132300, PBANKA_1323800, PBANKA_0714000, PBANKA_1138600, PBANKA_1315300, PBANKA_1109300, PBANKA_1319500, PBANKA_0810700, PBANKA_1334900, PBANKA_0105100, PBANKA_1225500, PBANKA_0306600, PBANKA_1421500, PBANKA_1002100, PBANKA_0606200, PBANKA_0937500, PBANKA_0608600, PBANKA_1019800, PBANKA_1115000, PBANKA_0515000, PBANKA_1414500, PBANKA_1009600, PBANKA_0503800, PBANKA_1229900, PBANKA_0312000, PBANKA_0907100, PBANKA_1346300, PBANKA_1439100, PBANKA_1143400, PBANKA_1430300, PBANKA_1329100, PBANKA_1120400	0.0
1	2.103095475547434e-12	179	110	PBANKA_0302100, PBANKA_0507900, PBANKA_0933700, PBANKA_0828900, PBANKA_0831100, PBANKA_1038200, PBANKA_1344200, PBANKA_1431200, PBANKA_1104900, PBANKA_1352100, PBANKA_0933600, PBANKA_1030400, PBANKA_1409600, PBANKA_1455100, PBANKA_0712100, PBANKA_0107200, PBANKA_1143100, PBANKA_0705500, PBANKA_0702000, PBANKA_0507300, PBANKA_1318700, PBANKA_1125300, PBANKA_0904600, PBANKA_0828200, PBANKA_0510600, PBANKA_1329000, PBANKA_1413600, PBANKA_0522100, PBANKA_1405000, PBANKA_1205300, PBANKA_1215900, PBANKA_1237300, PBANKA_1430900, PBANKA_0206700, PBANKA_1114300, PBANKA_0313600, PBANKA_1109600, PBANKA_1102300, PBANKA_1040000, PBANKA_1356400, PBANKA_0708500, PBANKA_1304400, PBANKA_1013900, PBANKA_1320100, PBANKA_0411600, PBANKA_0909400, PBANKA_1361500, PBANKA_1038500, PBANKA_0301000, PBANKA_1326100, PBANKA_0811800, PBANKA_1406600, PBANKA_0834600, PBANKA_1135500, PBANKA_1402400, PBANKA_1030100, PBANKA_1205400, PBANKA_1319700, PBANKA_1038700, PBANKA_0913000, PBANKA_0202700, PBANKA_1108000, PBANKA_1336500, PBANKA_0413000, PBANKA_1413300, PBANKA_0805500, PBANKA_0404100, PBANKA_0310500, PBANKA_1404400, PBANKA_1340400, PBANKA_1204200, PBANKA_0622000, PBANKA_0912600, PBANKA_0832500, PBANKA_0908800, PBANKA_1330900, PBANKA_1018300, PBANKA_0711000, PBANKA_0913600, PBANKA_0911000, PBANKA_1431400, PBANKA_0804300, PBANKA_0306100, PBANKA_1304500, PBANKA_0106200, PBANKA_0927700, PBANKA_1213200, PBANKA_0908500, PBANKA_1144800, PBANKA_0934700, PBANKA_0902400, PBANKA_1202300, PBANKA_0601500, PBANKA_0603000, PBANKA_0918600, PBANKA_1449000, PBANKA_0604400, PBANKA_0406200, PBANKA_0507800, PBANKA_1034800, PBANKA_0301800, PBANKA_0902600, PBANKA_0708100, PBANKA_0213900, PBANKA_0942300, PBANKA_1431500, PBANKA_1300500, PBANKA_1019000, PBANKA_1336900, PBANKA_1006400	2.418559796879549e-11
15	1.1410954403601181e-09	74	52	PBANKA_1445700, PBANKA_1436300, PBANKA_1113400, PBANKA_1026300, PBANKA_0712200, PBANKA_1405200, PBANKA_1228200, PBANKA_0816000, PBANKA_1311400, PBANKA_1407000, PBANKA_1300700, PBANKA_0823200, PBANKA_1309800, PBANKA_0620700, PBANKA_1141400, PBANKA_1358900, PBANKA_1032400, PBANKA_1342300, PBANKA_1103900, PBANKA_0408400, PBANKA_1352500, PBANKA_0943400, PBANKA_1233600, PBANKA_1328900, PBANKA_1338100, PBANKA_1035200, PBANKA_0411700, PBANKA_0208400, PBANKA_1116100, PBANKA_1329400, PBANKA_0616700, PBANKA_1233200, PBANKA_0620300, PBANKA_0932600, PBANKA_1115200, PBANKA_1129000, PBANKA_1430600, PBANKA_0605100, PBANKA_1360400, PBANKA_0909500, PBANKA_1463000, PBANKA_1359700, PBANKA_1427100, PBANKA_1460700, PBANKA_1137400, PBANKA_0520100, PBANKA_0517600, PBANKA_0703300, PBANKA_1214400, PBANKA_1312700, PBANKA_1104100, PBANKA_1026000	8.748398376094238e-09
18	0.0028557290855310002	55	30	PBANKA_0611900, PBANKA_0511000, PBANKA_1349800, PBANKA_1117600, PBANKA_1306900, PBANKA_0712700, PBANKA_1119200, PBANKA_0718700, PBANKA_0832800, PBANKA_0506900, PBANKA_0522300, PBANKA_0209700, PBANKA_0820200, PBANKA_0714300, PBANKA_0608000, PBANKA_1409200, PBANKA_1210900, PBANKA_0513000, PBANKA_0616400, PBANKA_0824200, PBANKA_0518100, PBANKA_1211400, PBANKA_0833300, PBANKA_1410500, PBANKA_1428100, PBANKA_1208000, PBANKA_1343800, PBANKA_0806100, PBANKA_0932100, PBANKA_1106900	0.01642044224180325
22	0.008924550823722122	32	18	PBANKA_0825300, PBANKA_0105200, PBANKA_0905300, PBANKA_1323600, PBANKA_0314200, PBANKA_0515300, PBANKA_1113700, PBANKA_0702700, PBANKA_1013300, PBANKA_1107800, PBANKA_0518300, PBANKA_1121400, PBANKA_1135900, PBANKA_0717500, PBANKA_0826400, PBANKA_0315900, PBANKA_0817000, PBANKA_1434000	0.04105293378912176
13	0.06089568626389408	80	36	PBANKA_1131400, PBANKA_0828000, PBANKA_1120100, PBANKA_1428800, PBANKA_1358200, PBANKA_0101100, PBANKA_0413500, PBANKA_0416800, PBANKA_1217700, PBANKA_0919900, PBANKA_0515200, PBANKA_1113800, PBANKA_0835500, PBANKA_0515600, PBANKA_1404300, PBANKA_0916900, PBANKA_0806300, PBANKA_0918700, PBANKA_1435200, PBANKA_0100800, PBANKA_1109900, PBANKA_0704700, PBANKA_1422800, PBANKA_0405900, PBANKA_1357900, PBANKA_1139800, PBANKA_0906000, PBANKA_0606100, PBANKA_0207300, PBANKA_1232400, PBANKA_0417700, PBANKA_0204200, PBANKA_0824400, PBANKA_1207400, PBANKA_0902300, PBANKA_1007100	0.20757365577498638
8	0.06317459088803934	112	49	PBANKA_1027300, PBANKA_1335600, PBANKA_1449600, PBANKA_1027200, PBANKA_1216800, PBANKA_0105700, PBANKA_0921600, PBANKA_0702100, PBANKA_1034600, PBANKA_0512200, PBANKA_0820300, PBANKA_0608800, PBANKA_0316000, PBANKA_0824600, PBANKA_1024600, PBANKA_0713900, PBANKA_0306500, PBANKA_1322000, PBANKA_1001200, PBANKA_1303100, PBANKA_1451900, PBANKA_1435900, PBANKA_0606900, PBANKA_0933500, PBANKA_1032700, PBANKA_0713500, PBANKA_0501700, PBANKA_0517000, PBANKA_1442800, PBANKA_1425400, PBANKA_0618400, PBANKA_1433200, PBANKA_1108800, PBANKA_0516600, PBANKA_1442400, PBANKA_1441400, PBANKA_0928400, PBANKA_1145900, PBANKA_1203700, PBANKA_1417700, PBANKA_1417000, PBANKA_0829600, PBANKA_1302300, PBANKA_0404300, PBANKA_0102400, PBANKA_0304700, PBANKA_1446000, PBANKA_1441100, PBANKA_0301400	0.20757365577498638
3	0.14125338136527033	133	55	PBANKA_1203600, PBANKA_1451800, PBANKA_1440700, PBANKA_0508300, PBANKA_1212600, PBANKA_0619200, PBANKA_1225100, PBANKA_1319400, PBANKA_0501000, PBANKA_1014100, PBANKA_1418600, PBANKA_1112100, PBANKA_0943900, PBANKA_1343500, PBANKA_0716500, PBANKA_1322200, PBANKA_0615900, PBANKA_0925000, PBANKA_1322100, PBANKA_1425800, PBANKA_0805900, PBANKA_0413400, PBANKA_1037800, PBANKA_0104600, PBANKA_1114400, PBANKA_0209600, PBANKA_1457000, PBANKA_0821300, PBANKA_0411900, PBANKA_0720700, PBANKA_1008600, PBANKA_1349400, PBANKA_1243800, PBANKA_1238300, PBANKA_0104700, PBANKA_1447200, PBANKA_1429300, PBANKA_1307900, PBANKA_1115100, PBANKA_0513500, PBANKA_1210600, PBANKA_1301900, PBANKA_0503700, PBANKA_1359600, PBANKA_0305100, PBANKA_1418100, PBANKA_0414900, PBANKA_1143200, PBANKA_0809400, PBANKA_1133800, PBANKA_1459100, PBANKA_0710200, PBANKA_1306700, PBANKA_1233400, PBANKA_1002500	0.3822336786804237
11	0.14956970035320927	83	35	PBANKA_1312000, PBANKA_1138100, PBANKA_1434400, PBANKA_0417800, PBANKA_0211400, PBANKA_0206500, PBANKA_0313300, PBANKA_0210100, PBANKA_1312800, PBANKA_0714500, PBANKA_0827100, PBANKA_0405600, PBANKA_1236400, PBANKA_0106000, PBANKA_0515350, PBANKA_0523200, PBANKA_1355900, PBANKA_1019100, PBANKA_0901500, PBANKA_1336600, PBANKA_1242400, PBANKA_1358700, PBANKA_0904000, PBANKA_0721000, PBANKA_1234900, PBANKA_0932900, PBANKA_1232000, PBANKA_1361800, PBANKA_1227500, PBANKA_0918900, PBANKA_1122400, PBANKA_1421600, PBANKA_0621400, PBANKA_0205100, PBANKA_1339500	0.3822336786804237
19	0.2718753359592784	52	21	PBANKA_0819500, PBANKA_0931000, PBANKA_1323300, PBANKA_0212300, PBANKA_0312600, PBANKA_1335800, PBANKA_1314900, PBANKA_0704400, PBANKA_1012100, PBANKA_1016100, PBANKA_1432700, PBANKA_0410500, PBANKA_1232300, PBANKA_1223000, PBANKA_0105800, PBANKA_1123100, PBANKA_0502650, PBANKA_0712500, PBANKA_0930800, PBANKA_1031500, PBANKA_1310700	0.5749298768302605
