Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
9	4.759890057881577e-06	102	67	PBANKA_1221600, PBANKA_1362600, PBANKA_1109000, PBANKA_0618600, PBANKA_1310800, PBANKA_0619300, PBANKA_0213500, PBANKA_1341500, PBANKA_0818600, PBANKA_1403700, PBANKA_0924900, PBANKA_1303800, PBANKA_0111200, PBANKA_0311100, PBANKA_0609700, PBANKA_0313100, PBANKA_0927800, PBANKA_1022800, PBANKA_1239700, PBANKA_1314600, PBANKA_1401200, PBANKA_1456000, PBANKA_0709500, PBANKA_0614100, PBANKA_0912100, PBANKA_0928500, PBANKA_1333800, PBANKA_0905000, PBANKA_0311200, PBANKA_1234000, PBANKA_0407700, PBANKA_0930300, PBANKA_1231000, PBANKA_0511300, PBANKA_1405700, PBANKA_0820000, PBANKA_0203800, PBANKA_0212400, PBANKA_1227800, PBANKA_1443200, PBANKA_0213000, PBANKA_1442500, PBANKA_1137000, PBANKA_0937700, PBANKA_1113900, PBANKA_0919700, PBANKA_0931200, PBANKA_1013100, PBANKA_1348200, PBANKA_0808200, PBANKA_1327000, PBANKA_1030000, PBANKA_1135600, PBANKA_1103000, PBANKA_0943600, PBANKA_0605200, PBANKA_1357200, PBANKA_1334300, PBANKA_1354400, PBANKA_0521400, PBANKA_0516800, PBANKA_1240800, PBANKA_1401400, PBANKA_0720800, PBANKA_0937000, PBANKA_1122600, PBANKA_1340000	0.00010947747133127628
12	4.3444088505650846e-05	79	52	PBANKA_1431100, PBANKA_1009800, PBANKA_1403900, PBANKA_1225800, PBANKA_1405300, PBANKA_0807000, PBANKA_1039700, PBANKA_0622800, PBANKA_1444700, PBANKA_1348400, PBANKA_1445800, PBANKA_1124100, PBANKA_1103100, PBANKA_1408100, PBANKA_1304200, PBANKA_0826500, PBANKA_1436800, PBANKA_1413400, PBANKA_0712000, PBANKA_1137800, PBANKA_1437300, PBANKA_1459300, PBANKA_0712600, PBANKA_1241900, PBANKA_1013500, PBANKA_1306800, PBANKA_1003100, PBANKA_1208400, PBANKA_0901700, PBANKA_0502600, PBANKA_0941800, PBANKA_0702500, PBANKA_1322700, PBANKA_0942800, PBANKA_1038100, PBANKA_0606800, PBANKA_1035500, PBANKA_1404700, PBANKA_0418200, PBANKA_0912200, PBANKA_1329700, PBANKA_1219400, PBANKA_1313500, PBANKA_0403500, PBANKA_1400600, PBANKA_0206400, PBANKA_1224800, PBANKA_0520500, PBANKA_1210700, PBANKA_1432900, PBANKA_1144200, PBANKA_1326300	0.0004996070178149847
17	0.00017767461801454498	60	40	PBANKA_1345600, PBANKA_1006000, PBANKA_0613800, PBANKA_1032000, PBANKA_1342400, PBANKA_1121800, PBANKA_1415800, PBANKA_1144100, PBANKA_1429600, PBANKA_0413600, PBANKA_1341600, PBANKA_0401600, PBANKA_1123600, PBANKA_0620500, PBANKA_1327400, PBANKA_1447700, PBANKA_1004800, PBANKA_1009400, PBANKA_0805000, PBANKA_1035300, PBANKA_1405400, PBANKA_1411800, PBANKA_0502700, PBANKA_1202800, PBANKA_1021900, PBANKA_1406700, PBANKA_1006500, PBANKA_0106900, PBANKA_1243400, PBANKA_0933000, PBANKA_0911900, PBANKA_1038000, PBANKA_1406800, PBANKA_1448000, PBANKA_0207800, PBANKA_0600800, PBANKA_1008400, PBANKA_1142800, PBANKA_0205300, PBANKA_0814900	0.0013621720714448449
2	0.001386782006733589	149	84	PBANKA_1109200, PBANKA_1035600, PBANKA_1334100, PBANKA_1358100, PBANKA_1303700, PBANKA_0914000, PBANKA_1443100, PBANKA_0521000, PBANKA_1003800, PBANKA_0505200, PBANKA_0416000, PBANKA_1336300, PBANKA_0608900, PBANKA_0404900, PBANKA_0414200, PBANKA_1032600, PBANKA_1233300, PBANKA_0938300, PBANKA_1020600, PBANKA_1141200, PBANKA_1220100, PBANKA_1221500, PBANKA_0514100, PBANKA_0714800, PBANKA_0809300, PBANKA_0617300, PBANKA_0404200, PBANKA_0411400, PBANKA_1350800, PBANKA_1126400, PBANKA_1330600, PBANKA_1454400, PBANKA_1307800, PBANKA_0706500, PBANKA_1457300, PBANKA_1014300, PBANKA_0617500, PBANKA_0302700, PBANKA_1033200, PBANKA_1001900, PBANKA_1446500, PBANKA_1129300, PBANKA_1008100, PBANKA_0821100, PBANKA_1244600, PBANKA_0811400, PBANKA_0835200, PBANKA_0943500, PBANKA_1237500, PBANKA_1332600, PBANKA_0904500, PBANKA_1408300, PBANKA_1210500, PBANKA_1359100, PBANKA_1355800, PBANKA_1459900, PBANKA_0924700, PBANKA_1446800, PBANKA_0821800, PBANKA_1127900, PBANKA_1001000, PBANKA_1235500, PBANKA_1223100, PBANKA_1027800, PBANKA_0613400, PBANKA_1139700, PBANKA_0106700, PBANKA_0917500, PBANKA_1437000, PBANKA_1145600, PBANKA_1353500, PBANKA_0502200, PBANKA_1243700, PBANKA_1433300, PBANKA_1025200, PBANKA_1103500, PBANKA_1015900, PBANKA_1202500, PBANKA_0314100, PBANKA_1417300, PBANKA_0410000, PBANKA_0811300, PBANKA_1328600, PBANKA_1239500	0.007973996538718137
10	0.0018152476960610064	95	56	PBANKA_1326400, PBANKA_1214000, PBANKA_0929600, PBANKA_1127000, PBANKA_1231800, PBANKA_1126500, PBANKA_1202400, PBANKA_1410300, PBANKA_0704600, PBANKA_1318100, PBANKA_1122900, PBANKA_1135100, PBANKA_1423600, PBANKA_1439200, PBANKA_1401300, PBANKA_1033900, PBANKA_1364200, PBANKA_1355100, PBANKA_0604800, PBANKA_1305100, PBANKA_1351900, PBANKA_0405400, PBANKA_0711900, PBANKA_0405300, PBANKA_1035100, PBANKA_1143000, PBANKA_0823400, PBANKA_0918800, PBANKA_1018500, PBANKA_0619100, PBANKA_0942500, PBANKA_0931300, PBANKA_0617200, PBANKA_1125600, PBANKA_1103400, PBANKA_1352000, PBANKA_0928100, PBANKA_1232500, PBANKA_1039400, PBANKA_1022200, PBANKA_1308600, PBANKA_1346700, PBANKA_0306800, PBANKA_1441900, PBANKA_1338300, PBANKA_0315600, PBANKA_1234200, PBANKA_1008500, PBANKA_1354000, PBANKA_0906400, PBANKA_1113000, PBANKA_0417500, PBANKA_0709100, PBANKA_1340100, PBANKA_1214300, PBANKA_0717800	0.00835013940188063
6	0.005134312600383439	110	62	PBANKA_0904100, PBANKA_1305300, PBANKA_1012800, PBANKA_0703100, PBANKA_0602800, PBANKA_1351600, PBANKA_1325600, PBANKA_0305300, PBANKA_0101200, PBANKA_1206100, PBANKA_1134100, PBANKA_1318400, PBANKA_0923600, PBANKA_1358400, PBANKA_1301100, PBANKA_0702800, PBANKA_1237800, PBANKA_1338800, PBANKA_0106400, PBANKA_0919300, PBANKA_0208500, PBANKA_1410000, PBANKA_1410400, PBANKA_1322800, PBANKA_1007000, PBANKA_1405800, PBANKA_1459700, PBANKA_1226200, PBANKA_1107200, PBANKA_1424200, PBANKA_0710700, PBANKA_1333900, PBANKA_0211300, PBANKA_0821700, PBANKA_1354700, PBANKA_1442900, PBANKA_1311100, PBANKA_1327500, PBANKA_1314800, PBANKA_1434200, PBANKA_0605400, PBANKA_0919800, PBANKA_1010200, PBANKA_1014900, PBANKA_1209800, PBANKA_1455200, PBANKA_0614000, PBANKA_1143600, PBANKA_1116800, PBANKA_1307400, PBANKA_1410900, PBANKA_0613500, PBANKA_0919000, PBANKA_1425100, PBANKA_1031000, PBANKA_1212100, PBANKA_1328000, PBANKA_1400100, PBANKA_1301400, PBANKA_1425700, PBANKA_0813000, PBANKA_1015000	0.019681531634803184
4	0.018724054246190502	115	62	PBANKA_1136600, PBANKA_1443400, PBANKA_0304300, PBANKA_0512900, PBANKA_1420200, PBANKA_1111900, PBANKA_0301500, PBANKA_0901100, PBANKA_0711800, PBANKA_1314500, PBANKA_0407100, PBANKA_1416600, PBANKA_1217600, PBANKA_0942900, PBANKA_1303600, PBANKA_1145300, PBANKA_1435300, PBANKA_0802300, PBANKA_1326500, PBANKA_0514500, PBANKA_1430400, PBANKA_0913800, PBANKA_1233900, PBANKA_1029900, PBANKA_0305700, PBANKA_0813900, PBANKA_1207500, PBANKA_1004900, PBANKA_0413300, PBANKA_0707300, PBANKA_1307600, PBANKA_0601700, PBANKA_1358300, PBANKA_1233100, PBANKA_0201600, PBANKA_0911800, PBANKA_0912700, PBANKA_0721500, PBANKA_1135400, PBANKA_0702300, PBANKA_1232900, PBANKA_1212800, PBANKA_0930000, PBANKA_0614400, PBANKA_1107300, PBANKA_0710800, PBANKA_1020100, PBANKA_1328400, PBANKA_0503600, PBANKA_0621100, PBANKA_1307200, PBANKA_0102000, PBANKA_0602700, PBANKA_1103600, PBANKA_0211500, PBANKA_0836100, PBANKA_1010400, PBANKA_1119000, PBANKA_0808800, PBANKA_1332900, PBANKA_0210200, PBANKA_0720400	0.06152189252319736
16	0.11385993272316408	64	33	PBANKA_0610000, PBANKA_0417300, PBANKA_1109700, PBANKA_1217900, PBANKA_1319200, PBANKA_0510900, PBANKA_1454000, PBANKA_1426300, PBANKA_1365400, PBANKA_1462800, PBANKA_1144900, PBANKA_1013400, PBANKA_0310300, PBANKA_0516700, PBANKA_1008300, PBANKA_1403500, PBANKA_1344000, PBANKA_1450600, PBANKA_1311000, PBANKA_0211200, PBANKA_0511200, PBANKA_0819200, PBANKA_1310500, PBANKA_1321300, PBANKA_0111300, PBANKA_0408100, PBANKA_0942700, PBANKA_1404900, PBANKA_0613100, PBANKA_1241800, PBANKA_1121500, PBANKA_1434700, PBANKA_0601000	0.308104828418563
7	0.12056275894639423	106	53	PBANKA_0418000, PBANKA_1011500, PBANKA_0615000, PBANKA_0836300, PBANKA_0801600, PBANKA_0704500, PBANKA_0812100, PBANKA_1113500, PBANKA_1215400, PBANKA_1228500, PBANKA_1332000, PBANKA_1242500, PBANKA_1104000, PBANKA_0607700, PBANKA_1451700, PBANKA_0713100, PBANKA_0911600, PBANKA_1204100, PBANKA_0300800, PBANKA_1017800, PBANKA_0702600, PBANKA_1030200, PBANKA_0940800, PBANKA_1463600, PBANKA_1033400, PBANKA_0815300, PBANKA_0941900, PBANKA_1105000, PBANKA_0911200, PBANKA_1123500, PBANKA_1440100, PBANKA_0909200, PBANKA_1331400, PBANKA_0410800, PBANKA_1412500, PBANKA_1114600, PBANKA_0922300, PBANKA_1341800, PBANKA_0619700, PBANKA_0826300, PBANKA_0502800, PBANKA_0211900, PBANKA_1121700, PBANKA_1338700, PBANKA_1105400, PBANKA_1141500, PBANKA_1033800, PBANKA_0919400, PBANKA_0807500, PBANKA_0204600, PBANKA_1117300, PBANKA_0300700, PBANKA_1031200	0.308104828418563
14	0.28692427277661936	63	30	PBANKA_1130100, PBANKA_0620200, PBANKA_1347900, PBANKA_1420600, PBANKA_0814700, PBANKA_1138000, PBANKA_0208100, PBANKA_0714200, PBANKA_1237200, PBANKA_1122100, PBANKA_1012900, PBANKA_1314400, PBANKA_0506100, PBANKA_1452800, PBANKA_1419800, PBANKA_1127500, PBANKA_0207500, PBANKA_0937100, PBANKA_0211600, PBANKA_0507000, PBANKA_0805800, PBANKA_1304300, PBANKA_1426700, PBANKA_1116400, PBANKA_1004400, PBANKA_0401800, PBANKA_1350400, PBANKA_1138500, PBANKA_0933300, PBANKA_1232700	0.6525153938251098
