Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
6	0.014718717202277909	110	27	PBANKA_0614300, PBANKA_0720600, PBANKA_0803600, PBANKA_1306200, PBANKA_1216500, PBANKA_1039300, PBANKA_1417800, PBANKA_1101300, PBANKA_0308600, PBANKA_1210100, PBANKA_0417400, PBANKA_0804900, PBANKA_1453300, PBANKA_0302400, PBANKA_1426000, PBANKA_0834400, PBANKA_1226500, PBANKA_0616100, PBANKA_0916400, PBANKA_0702200, PBANKA_0832600, PBANKA_1316700, PBANKA_0408600, PBANKA_0706200, PBANKA_0407600, PBANKA_1018400, PBANKA_0520400	0.21592054413371198
21	0.018775699489887998	42	12	PBANKA_0612300, PBANKA_1356200, PBANKA_1311700, PBANKA_0920100, PBANKA_0107300, PBANKA_1403100, PBANKA_0307800, PBANKA_0802200, PBANKA_0827900, PBANKA_0715100, PBANKA_0407500, PBANKA_1117100	0.21592054413371198
10	0.04472036694330106	95	22	PBANKA_0805700, PBANKA_0623100, PBANKA_1231100, PBANKA_1010800, PBANKA_1345800, PBANKA_0809100, PBANKA_0800400, PBANKA_1360300, PBANKA_0110000, PBANKA_1235600, PBANKA_1205000, PBANKA_1321700, PBANKA_0524300, PBANKA_1334600, PBANKA_1324000, PBANKA_1034400, PBANKA_0827500, PBANKA_1422700, PBANKA_1309700, PBANKA_0520200, PBANKA_1309900, PBANKA_1204400	0.285566512572602
7	0.049663741316974264	106	24	PBANKA_1448200, PBANKA_1011600, PBANKA_0722000, PBANKA_0910200, PBANKA_1034300, PBANKA_1447100, PBANKA_1230000, PBANKA_1002300, PBANKA_0941600, PBANKA_1208700, PBANKA_0506500, PBANKA_1426900, PBANKA_1213800, PBANKA_0704100, PBANKA_1325300, PBANKA_0109200, PBANKA_0505900, PBANKA_1438300, PBANKA_1228400, PBANKA_0401100, PBANKA_1411200, PBANKA_0803000, PBANKA_0416900, PBANKA_1040300	0.285566512572602
4	0.07191148807462866	115	25	PBANKA_1341200, PBANKA_0305800, PBANKA_0913700, PBANKA_1015200, PBANKA_1440400, PBANKA_0705700, PBANKA_1224100, PBANKA_0207100, PBANKA_1012300, PBANKA_0812800, PBANKA_0705900, PBANKA_0311900, PBANKA_1037600, PBANKA_1119700, PBANKA_1316100, PBANKA_1016800, PBANKA_1208500, PBANKA_0517800, PBANKA_1005000, PBANKA_0303600, PBANKA_0109500, PBANKA_1120500, PBANKA_1437800, PBANKA_0921500, PBANKA_0829100	0.2920342450945957
13	0.07618284654641627	80	18	PBANKA_0509300, PBANKA_0410300, PBANKA_0712300, PBANKA_0827800, PBANKA_1211000, PBANKA_0716600, PBANKA_1358600, PBANKA_0304800, PBANKA_1022300, PBANKA_1117700, PBANKA_1106300, PBANKA_1353300, PBANKA_0511400, PBANKA_0921700, PBANKA_0806700, PBANKA_1410600, PBANKA_0621800, PBANKA_0402300	0.2920342450945957
11	0.24166183226358362	83	16	PBANKA_1316900, PBANKA_1208200, PBANKA_1458700, PBANKA_1109800, PBANKA_0404800, PBANKA_1226800, PBANKA_0510800, PBANKA_0920900, PBANKA_0929400, PBANKA_1124900, PBANKA_0302300, PBANKA_1403300, PBANKA_0925500, PBANKA_1340200, PBANKA_1136700, PBANKA_1122800	0.6710923492762725
2	0.24441011606193763	149	28	PBANKA_0409800, PBANKA_1212200, PBANKA_1450700, PBANKA_0930900, PBANKA_0416400, PBANKA_1206400, PBANKA_0807300, PBANKA_1314200, PBANKA_0407200, PBANKA_1144700, PBANKA_0308100, PBANKA_1017100, PBANKA_0309800, PBANKA_1010100, PBANKA_0409100, PBANKA_1444600, PBANKA_1233800, PBANKA_0911300, PBANKA_0106600, PBANKA_1108400, PBANKA_1343000, PBANKA_1005300, PBANKA_1446900, PBANKA_1301500, PBANKA_0718100, PBANKA_0610400, PBANKA_1408900, PBANKA_0824500	0.6710923492762725
14	0.27150848686060325	63	12	PBANKA_0908700, PBANKA_0505700, PBANKA_0806600, PBANKA_1144300, PBANKA_0943300, PBANKA_0505300, PBANKA_1450300, PBANKA_1327900, PBANKA_1411100, PBANKA_1222000, PBANKA_0821600, PBANKA_1300800	0.6710923492762725
16	0.2917792822940315	64	12	PBANKA_0938900, PBANKA_1016500, PBANKA_0108200, PBANKA_1142300, PBANKA_1009500, PBANKA_1018000, PBANKA_0926900, PBANKA_1423100, PBANKA_1001500, PBANKA_1127300, PBANKA_1458000, PBANKA_0109700	0.6710923492762725
23	0.35629695945321593	23	4	PBANKA_1001600, PBANKA_0829700, PBANKA_1124600, PBANKA_0614900	0.6785682683779757
12	0.3714335440887834	79	14	PBANKA_1409800, PBANKA_0718400, PBANKA_0901400, PBANKA_1305600, PBANKA_1131800, PBANKA_1409400, PBANKA_1212300, PBANKA_0312400, PBANKA_1104200, PBANKA_1201600, PBANKA_0313800, PBANKA_1117000, PBANKA_1223200, PBANKA_1238200	0.6785682683779757
19	0.39663026551916125	52	9	PBANKA_1202000, PBANKA_1116300, PBANKA_1343400, PBANKA_0833000, PBANKA_1113300, PBANKA_0104900, PBANKA_1014000, PBANKA_0929100, PBANKA_0622500	0.6785682683779757
20	0.4130415546648548	47	8	PBANKA_1226700, PBANKA_1363200, PBANKA_1362100, PBANKA_0902500, PBANKA_1315400, PBANKA_0904400, PBANKA_0519800, PBANKA_0409300	0.6785682683779757
17	0.5916450226751965	60	9	PBANKA_0938100, PBANKA_0203300, PBANKA_0105500, PBANKA_0715600, PBANKA_0941300, PBANKA_1320500, PBANKA_1034900, PBANKA_0832900, PBANKA_0307700	0.8856765938709724
18	0.6161228479102416	55	8	PBANKA_0309600, PBANKA_0906100, PBANKA_1101400, PBANKA_0916600, PBANKA_1347200, PBANKA_0308200, PBANKA_1225000, PBANKA_1329500	0.8856765938709724
22	0.6622118170775804	32	4	PBANKA_0301700, PBANKA_1127800, PBANKA_0304500, PBANKA_0512700	0.8959336348696676
8	0.749811305288175	112	16	PBANKA_1421200, PBANKA_1447900, PBANKA_0808900, PBANKA_1337300, PBANKA_1118500, PBANKA_1003600, PBANKA_1007200, PBANKA_1142400, PBANKA_0519900, PBANKA_0715500, PBANKA_0203000, PBANKA_1317500, PBANKA_1329600, PBANKA_0802800, PBANKA_0615200, PBANKA_0904300	0.9115144299552396
9	0.7842967872618862	102	14	PBANKA_0819700, PBANKA_0706300, PBANKA_1320900, PBANKA_0717000, PBANKA_0622700, PBANKA_1036400, PBANKA_0108700, PBANKA_0819100, PBANKA_1110500, PBANKA_0911400, PBANKA_0805100, PBANKA_1210800, PBANKA_0618800, PBANKA_1115500	0.9115144299552396
5	0.7926212434393387	109	15	PBANKA_0716200, PBANKA_1364400, PBANKA_1126800, PBANKA_0502500, PBANKA_1201800, PBANKA_0824000, PBANKA_1106500, PBANKA_0932500, PBANKA_0905900, PBANKA_0503500, PBANKA_0514900, PBANKA_0504400, PBANKA_0612400, PBANKA_0106300, PBANKA_1040100	0.9115144299552396
3	0.9797686735965021	133	14	PBANKA_1436200, PBANKA_1014800, PBANKA_0314700, PBANKA_1217100, PBANKA_0823000, PBANKA_1360000, PBANKA_0205800, PBANKA_1322400, PBANKA_1002600, PBANKA_0917100, PBANKA_0203900, PBANKA_1001300, PBANKA_1425900, PBANKA_1002400	0.9921627844018739
15	0.9801971084177776	74	6	PBANKA_0938500, PBANKA_1359400, PBANKA_1018100, PBANKA_1138800, PBANKA_1460500, PBANKA_0716700	0.9921627844018739
1	0.9921627844018739	179	19	PBANKA_0816200, PBANKA_1009700, PBANKA_0601200, PBANKA_0720200, PBANKA_1034100, PBANKA_1229600, PBANKA_0928200, PBANKA_1231400, PBANKA_0615700, PBANKA_0910300, PBANKA_0708200, PBANKA_1340500, PBANKA_0408300, PBANKA_0513900, PBANKA_1357800, PBANKA_1026500, PBANKA_0911500, PBANKA_1442200, PBANKA_1006100	0.9921627844018739
