Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
7	0.002835658221352899	32	2	PBANKA_1034300, PBANKA_1426900	0.06522013909111668
21	0.011021494766249695	17	1	PBANKA_1437500	0.1267471898118715
10	0.021590966923054733	24	1	PBANKA_0827500	0.13426365581898547
14	0.023350201011997473	25	1	PBANKA_0105300	0.13426365581898547
13	0.06416147365017233	43	1	PBANKA_1217700	0.2669251470290322
2	0.06963264705105188	45	1	PBANKA_0409100	0.2669251470290322
23	0.086796182621111	9	0		0.2698990776145171
17	0.10516311378210619	11	0		0.2698990776145171
3	0.10561268254481104	57	1	PBANKA_1002400	0.2698990776145171
12	0.14967346483200894	16	0		0.32005188926778644
22	0.17543918386088087	19	0		0.32005188926778644
16	0.18387458862916806	20	0		0.32005188926778644
19	0.18387458862916806	20	0		0.32005188926778644
20	0.2005191634856246	22	0		0.32005188926778644
9	0.2087294930007303	23	0		0.32005188926778644
4	0.27180019833323266	31	0		0.3760388413199713
18	0.27936591055924065	32	0		0.3760388413199713
6	0.29429126711997755	34	0		0.3760388413199713
11	0.3444220640983051	41	0		0.4169319723295272
8	0.3848823531701878	47	0		0.4357673935373883
15	0.39787457670805015	49	0		0.4357673935373883
5	0.5360634920140799	73	0		0.5604300143783563
1	0.6985093927035799	111	0		0.6985093927035799
