Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
13	6.382174201124968e-06	43	5	PBANKA_0828000, PBANKA_0902300, PBANKA_1454800, PBANKA_0712300, PBANKA_1435200	0.00014679000662587427
19	0.028478319310190403	20	1	PBANKA_0410500	0.28423366044686865
9	0.037073955710461126	23	1	PBANKA_1231600	0.28423366044686865
4	0.06415774393171514	31	1	PBANKA_0311900	0.31244119309255153
18	0.06792199849838076	32	1	PBANKA_1347200	0.31244119309255153
23	0.11757573137286181	9	0		0.45070697026263695
17	0.14193257485970945	11	0		0.45391819158825475
3	0.18115612913173917	57	1	PBANKA_1418100	0.45391819158825475
12	0.2001743603928997	16	0		0.45391819158825475
21	0.21138210820889503	17	0		0.45391819158825475
22	0.23337037911302472	19	0		0.45391819158825475
16	0.24415417173349907	20	0		0.45391819158825475
20	0.265309119978695	22	0		0.45391819158825475
10	0.2859244251875356	24	0		0.45391819158825475
14	0.2960336032097314	25	0		0.45391819158825475
7	0.3632338405582405	32	0		0.515920059238413
6	0.38133221769795744	34	0		0.515920059238413
11	0.4410557187008779	41	0		0.525718399060281
1	0.46418787439286247	111	1	PBANKA_1144800	0.525718399060281
2	0.4727811752511438	45	0		0.525718399060281
8	0.4880219170576783	47	0		0.525718399060281
15	0.5028610773620079	49	0		0.525718399060281
5	0.6528880799230214	73	0		0.6528880799230214
