Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
8	0.0006148964185226369	47	3	PBANKA_0713500, PBANKA_1447900, PBANKA_0102400	0.014142617626020648
21	0.011021494766249695	17	1	PBANKA_1302700	0.11362177447036086
3	0.014820231452655763	57	2	PBANKA_1425900, PBANKA_0413400	0.11362177447036086
9	0.019891914157883606	23	1	PBANKA_0102200	0.11437850640783073
7	0.03726311935579574	32	1	PBANKA_0401100	0.1714103490366604
23	0.086796182621111	9	0		0.33271870004759213
17	0.10516311378210619	11	0		0.3455359452840632
12	0.14967346483200894	16	0		0.36952638989434666
22	0.17543918386088087	19	0		0.36952638989434666
16	0.18387458862916806	20	0		0.36952638989434666
19	0.18387458862916806	20	0		0.36952638989434666
20	0.2005191634856246	22	0		0.36952638989434666
10	0.2168659506556343	24	0		0.36952638989434666
14	0.22492910689221102	25	0		0.36952638989434666
4	0.27180019833323266	31	0		0.3981587731623226
18	0.27936591055924065	32	0		0.3981587731623226
6	0.29429126711997755	34	0		0.3981587731623226
11	0.3444220640983051	41	0		0.4273923178878922
13	0.35816006092353514	43	0		0.4273923178878922
2	0.37164549381555845	45	0		0.4273923178878922
15	0.39787457670805015	49	0		0.4357673935373883
5	0.5360634920140799	73	0		0.5604300143783563
1	0.6985093927035799	111	0		0.6985093927035799
