Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
5	6.171922350972636e-08	129	83	PBANKA_1437700, PBANKA_1423700, PBANKA_0704900, PBANKA_1231300, PBANKA_0402700, PBANKA_1110200, PBANKA_0402500, PBANKA_0203600, PBANKA_0707100, PBANKA_0301600, PBANKA_1354900, PBANKA_0714000, PBANKA_1138600, PBANKA_1204500, PBANKA_1109300, PBANKA_1319500, PBANKA_0515000, PBANKA_1346300, PBANKA_1143400, PBANKA_0311400, PBANKA_0816800, PBANKA_1228900, PBANKA_1334700, PBANKA_1415200, PBANKA_1356100, PBANKA_0712900, PBANKA_0314800, PBANKA_1336200, PBANKA_1444800, PBANKA_1453900, PBANKA_1463300, PBANKA_1325400, PBANKA_0310700, PBANKA_0821200, PBANKA_1002100, PBANKA_0608600, PBANKA_0417600, PBANKA_0815400, PBANKA_1240100, PBANKA_1415400, PBANKA_1459500, PBANKA_1329100, PBANKA_1436600, PBANKA_0514900, PBANKA_0916700, PBANKA_0518500, PBANKA_1453100, PBANKA_0412900, PBANKA_1422900, PBANKA_0821400, PBANKA_1132300, PBANKA_1323800, PBANKA_1320800, PBANKA_1333700, PBANKA_1225500, PBANKA_1318500, PBANKA_0606200, PBANKA_1449300, PBANKA_0907100, PBANKA_1143800, PBANKA_1120400, PBANKA_1437600, PBANKA_0315800, PBANKA_0512000, PBANKA_1134900, PBANKA_0827400, PBANKA_1419300, PBANKA_0706700, PBANKA_0905900, PBANKA_0612400, PBANKA_1461300, PBANKA_1353800, PBANKA_1219100, PBANKA_0720900, PBANKA_0810700, PBANKA_0306600, PBANKA_1245200, PBANKA_1115000, PBANKA_1414500, PBANKA_1229900, PBANKA_0523900, PBANKA_1106000, PBANKA_1430300	1.4195421407237063e-06
15	1.5866739644376793e-06	48	36	PBANKA_1436300, PBANKA_0712200, PBANKA_0830700, PBANKA_1115300, PBANKA_1015400, PBANKA_1311400, PBANKA_1414800, PBANKA_1123200, PBANKA_0823200, PBANKA_1309800, PBANKA_0620400, PBANKA_1342300, PBANKA_1352500, PBANKA_0943400, PBANKA_1233600, PBANKA_1338100, PBANKA_1329400, PBANKA_0603300, PBANKA_0902900, PBANKA_0620300, PBANKA_0932600, PBANKA_1239000, PBANKA_1129000, PBANKA_1018100, PBANKA_1360400, PBANKA_1329900, PBANKA_1421700, PBANKA_0409700, PBANKA_0417200, PBANKA_1038800, PBANKA_1360900, PBANKA_1137400, PBANKA_0703300, PBANKA_0517600, PBANKA_1214400, PBANKA_1104100	1.824675059103331e-05
12	0.11505277230325062	20	11	PBANKA_0712000, PBANKA_1308200, PBANKA_0826000, PBANKA_1364300, PBANKA_0418200, PBANKA_1418900, PBANKA_1003100, PBANKA_1445800, PBANKA_1323900, PBANKA_0523500, PBANKA_0901700	0.8820712543249214
18	0.2090476892327956	28	14	PBANKA_0513800, PBANKA_0506900, PBANKA_0832800, PBANKA_1124000, PBANKA_0513000, PBANKA_1434900, PBANKA_1355700, PBANKA_0813300, PBANKA_1417400, PBANKA_1038400, PBANKA_0823100, PBANKA_0825900, PBANKA_1311300, PBANKA_1205100	0.9460760295030328
16	0.24095535098273857	14	7	PBANKA_1135800, PBANKA_0521900, PBANKA_1008300, PBANKA_0802900, PBANKA_1112700, PBANKA_1458000, PBANKA_0825700	0.9460760295030328
22	0.24680244247905203	10	5	PBANKA_1364600, PBANKA_0927300, PBANKA_1433400, PBANKA_1121400, PBANKA_1313200	0.9460760295030328
11	0.2974174317597309	21	10	PBANKA_0415700, PBANKA_1359000, PBANKA_1338900, PBANKA_1452100, PBANKA_1200800, PBANKA_1227500, PBANKA_1400900, PBANKA_1355900, PBANKA_1242400, PBANKA_1240600	0.9772287043534015
13	0.38524121420042123	20	9	PBANKA_0515200, PBANKA_1028700, PBANKA_1109900, PBANKA_1318800, PBANKA_1117700, PBANKA_1026800, PBANKA_0828800, PBANKA_1343700, PBANKA_0511700	0.9999965320573336
21	0.508904775607018	8	3	PBANKA_0816100, PBANKA_1428600, PBANKA_0521100	0.9999965320573336
17	0.508904775607018	8	3	PBANKA_1223300, PBANKA_0502700, PBANKA_1242600	0.9999965320573336
