Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
1	0.003278261120434056	26	15	PBANKA_0941400, PBANKA_0939000, PBANKA_1032300, PBANKA_1413600, PBANKA_1344300, PBANKA_0933600, PBANKA_1421400, PBANKA_1353100, PBANKA_1319700, PBANKA_0901300, PBANKA_0827600, PBANKA_0301000, PBANKA_0302900, PBANKA_0708100, PBANKA_0815500	0.043807747171981715
23	0.003809369319302758	10	7	PBANKA_1358500, PBANKA_1313700, PBANKA_1450800, PBANKA_1124600, PBANKA_0614900, PBANKA_1019200, PBANKA_0510400	0.043807747171981715
17	0.021725225095014178	8	5	PBANKA_1327400, PBANKA_1004800, PBANKA_0600800, PBANKA_1341600, PBANKA_0515800	0.13755517311724583
3	0.023922638802999274	21	11	PBANKA_1017300, PBANKA_1301900, PBANKA_1238300, PBANKA_0925000, PBANKA_1012700, PBANKA_0508300, PBANKA_0305100, PBANKA_0101900, PBANKA_1203500, PBANKA_0604600, PBANKA_1210600	0.13755517311724583
7	0.04242256170029435	20	10	PBANKA_0822600, PBANKA_0523700, PBANKA_1447100, PBANKA_1114600, PBANKA_0300700, PBANKA_1332000, PBANKA_1234300, PBANKA_1214900, PBANKA_0607700, PBANKA_1033300	0.195143783821354
4	0.0542884569630524	23	11	PBANKA_0512900, PBANKA_0607500, PBANKA_0204400, PBANKA_0404700, PBANKA_0208200, PBANKA_0413300, PBANKA_0110200, PBANKA_0213700, PBANKA_1024800, PBANKA_1005900, PBANKA_1005000	0.20625242405963073
10	0.0627724768877137	21	10	PBANKA_1351900, PBANKA_1232500, PBANKA_1235600, PBANKA_1135700, PBANKA_1456100, PBANKA_1365500, PBANKA_1018500, PBANKA_0800400, PBANKA_0906400, PBANKA_1338300	0.20625242405963073
6	0.07267243562738468	19	9	PBANKA_0811000, PBANKA_1012800, PBANKA_0602800, PBANKA_0401000, PBANKA_1028900, PBANKA_0923600, PBANKA_0316100, PBANKA_0100500, PBANKA_1010200	0.20893325242873095
13	0.10292230955422377	20	9	PBANKA_0507100, PBANKA_1428800, PBANKA_1359500, PBANKA_1358600, PBANKA_1017700, PBANKA_0302200, PBANKA_0511400, PBANKA_1116500, PBANKA_0910600	0.2630236799719052
9	0.210851967260411	20	8	PBANKA_0205000, PBANKA_1220200, PBANKA_1103000, PBANKA_1452600, PBANKA_1244400, PBANKA_0317141, PBANKA_1110500, PBANKA_0610900	0.4793356012607658
19	0.22924746147254016	23	9	PBANKA_1210300, PBANKA_1354100, PBANKA_0833000, PBANKA_1312300, PBANKA_1347000, PBANKA_0835000, PBANKA_0936000, PBANKA_1017600, PBANKA_0105800	0.4793356012607658
11	0.2644243246310938	21	8	PBANKA_1208200, PBANKA_0914600, PBANKA_0417800, PBANKA_0313300, PBANKA_1414100, PBANKA_1403300, PBANKA_0907200, PBANKA_1122400	0.5068132888762631
20	0.3099137455200167	11	4	PBANKA_1139500, PBANKA_1038900, PBANKA_0410400, PBANKA_0519800	0.548308934381568
16	0.33442160975842106	14	5	PBANKA_1117800, PBANKA_0519400, PBANKA_0415200, PBANKA_0819200, PBANKA_1240700	0.549406930317406
22	0.46487128682218937	10	3	PBANKA_1239900, PBANKA_0504300, PBANKA_0607600	0.6834180527733228
8	0.47542125410318103	13	4	PBANKA_0935800, PBANKA_0104000, PBANKA_0908000, PBANKA_0824600	0.6834180527733228
21	0.5540383634336776	8	2	PBANKA_1018700, PBANKA_1424400	0.7167923568082954
2	0.5609679314151877	32	10	PBANKA_0924700, PBANKA_1130700, PBANKA_1233300, PBANKA_1207800, PBANKA_0809300, PBANKA_1242000, PBANKA_0610400, PBANKA_1322500, PBANKA_0703400, PBANKA_0932700	0.7167923568082954
12	0.7349372960841385	20	5	PBANKA_1305800, PBANKA_1039700, PBANKA_0613700, PBANKA_1027900, PBANKA_1326300	0.8896609373650097
14	0.8104723294473761	25	6	PBANKA_1307000, PBANKA_1420600, PBANKA_0110600, PBANKA_1138000, PBANKA_1235000, PBANKA_1304300	0.9320431788644826
18	0.8984278106204227	28	6	PBANKA_1002800, PBANKA_0616400, PBANKA_0932000, PBANKA_1210200, PBANKA_1131300, PBANKA_1329500	0.983992364012844
5	0.9936599624436574	129	32	PBANKA_0932500, PBANKA_0615300, PBANKA_1202600, PBANKA_1317200, PBANKA_0510000, PBANKA_1451100, PBANKA_1417200, PBANKA_1342500, PBANKA_0807200, PBANKA_1106500, PBANKA_1407900, PBANKA_0110800, PBANKA_1007900, PBANKA_1305700, PBANKA_1225900, PBANKA_0101800, PBANKA_1218000, PBANKA_0819000, PBANKA_0312700, PBANKA_0101500, PBANKA_0830400, PBANKA_1213300, PBANKA_0503300, PBANKA_1130900, PBANKA_1014500, PBANKA_1102100, PBANKA_1313100, PBANKA_1315300, PBANKA_0605800, PBANKA_1421500, PBANKA_1201800, PBANKA_0937500	0.9996151521897598
15	0.9996151521897598	48	6	PBANKA_1405200, PBANKA_1032400, PBANKA_1427100, PBANKA_1105300, PBANKA_1420800, PBANKA_0909500	0.9996151521897598
