Cluster	pvals	cluster_size	# of genes found in cluster	genes	FDR
14	0.0001123307538939411	25	13	PBANKA_1418800, PBANKA_1360200, PBANKA_0109600, PBANKA_0211600, PBANKA_0620200, PBANKA_1305500, PBANKA_1324100, PBANKA_1222000, PBANKA_1339100, PBANKA_0204100, PBANKA_1016000, PBANKA_1237200, PBANKA_0821900	0.002583607339560645
9	0.0037312701401069903	20	9	PBANKA_1126200, PBANKA_1112800, PBANKA_0315000, PBANKA_1334300, PBANKA_1221700, PBANKA_0912100, PBANKA_1303800, PBANKA_0720800, PBANKA_1234000	0.04290960661123039
1	0.011403822897252391	26	10	PBANKA_0931700, PBANKA_0834300, PBANKA_0928200, PBANKA_0507800, PBANKA_0302800, PBANKA_1209400, PBANKA_1344200, PBANKA_0213900, PBANKA_1205300, PBANKA_1439400	0.087429308878935
8	0.039043699940087606	13	5	PBANKA_0519100, PBANKA_1238100, PBANKA_1427700, PBANKA_1350600, PBANKA_1011400	0.22450127465550374
21	0.06868053424269571	8	3	PBANKA_1402900, PBANKA_1318300, PBANKA_1226900	0.3159304575164003
18	0.12026504461226595	28	8	PBANKA_0824200, PBANKA_0107000, PBANKA_1445000, PBANKA_1349800, PBANKA_1233700, PBANKA_0714300, PBANKA_0922500, PBANKA_1455000	0.40006735543752137
2	0.12175962991576739	32	9	PBANKA_1144000, PBANKA_1413900, PBANKA_1015900, PBANKA_1010100, PBANKA_1008100, PBANKA_1459900, PBANKA_0407200, PBANKA_0411400, PBANKA_0621700	0.40006735543752137
3	0.13931499787662693	21	6	PBANKA_0522000, PBANKA_1360000, PBANKA_1037800, PBANKA_1322400, PBANKA_1319400, PBANKA_0212600	0.40053061889530245
20	0.19169850153825518	11	3	PBANKA_0103000, PBANKA_0407800, PBANKA_0923300	0.46535715981918085
6	0.20232919992138299	19	5	PBANKA_0211300, PBANKA_1423900, PBANKA_1209100, PBANKA_1015000, PBANKA_0107400	0.46535715981918085
7	0.24098103388908	20	5	PBANKA_1341100, PBANKA_0214500, PBANKA_0408200, PBANKA_0506500, PBANKA_0204600	0.503869434495349
22	0.364671198421328	10	2	PBANKA_1107800, PBANKA_0702700	0.6487608252713652
19	0.3666909012403369	23	5	PBANKA_1413500, PBANKA_1432700, PBANKA_0516200, PBANKA_1136300, PBANKA_1310700	0.6487608252713652
12	0.4321479392118426	20	4	PBANKA_1103100, PBANKA_1117000, PBANKA_0718400, PBANKA_1238700	0.7099573287051699
10	0.47917934262374084	21	4	PBANKA_1309700, PBANKA_0823400, PBANKA_1401300, PBANKA_1309900	0.734741658689736
4	0.5688412211871383	23	4	PBANKA_1316100, PBANKA_1128100, PBANKA_1233900, PBANKA_0309100	0.8177092554565113
16	0.605600804033122	14	2	PBANKA_0938900, PBANKA_0512400	0.8193422642801063
11	0.6918756994291216	21	3	PBANKA_0601100, PBANKA_0304400, PBANKA_1351700	0.8840633937149888
13	0.8386098007226364	20	2	PBANKA_1238400, PBANKA_1114200	0.9645179227686064
17	0.8563329853186991	8	0		0.9645179227686064
23	0.9119812721441884	10	0		0.9645179227686064
15	0.9225823609091017	48	6	PBANKA_1460700, PBANKA_1025000, PBANKA_1026000, PBANKA_1430600, PBANKA_1222500, PBANKA_1114100	0.9645179227686064
5	0.9996134138539449	129	14	PBANKA_1129800, PBANKA_0105100, PBANKA_0927600, PBANKA_1364400, PBANKA_1410100, PBANKA_1232600, PBANKA_0303500, PBANKA_0109900, PBANKA_1019800, PBANKA_0815100, PBANKA_1363600, PBANKA_1429200, PBANKA_1312900, PBANKA_0516000	0.9996134138539449
