PBANKA_0944121,PBANKA_000670,PBANKA_000720,PBANKA_000740,PBANKA_000760,PBANKA_000790,PBANKA_000900,PBANKA_000935,PBANKA_000990,PBANKA_001000,PBANKA_001020
PBANKA_0111300,PBANKA_011130,,,,,,,,,
PBANKA_0700021,PBANKA_000610,PBANKA_000620,PBANKA_011185,PBANKA_020035,PBANKA_020105,,,,,
PBANKA_0316900,PBANKA_000260,PBANKA_000640,PBANKA_021620,PBANKA_031690,,,,,,
PBANKA_0316600,PBANKA_021520,PBANKA_021530,PBANKA_031660,,,,,,,
PBANKA_0901300,PBANKA_090130,,,,,,,,,
PBANKA_0933400,PBANKA_093340,,,,,,,,,
PBANKA_0937200,PBANKA_093720,,,,,,,,,
PBANKA_1118100,PBANKA_111810,,,,,,,,,
PBANKA_0112661,PBANKA_124610,,,,,,,,,
PBANKA_1246100,PBANKA_124610,,,,,,,,,
PBANKA_1342300,PBANKA_134230,,,,,,,,,
PBANKA_1453200,PBANKA_145320,,,,,,,,,
PBANKA_1412600,PBANKA_141260,PBANKA_141270,,,,,,,,
PBANKA_1435900,PBANKA_143590,PBANKA_143600,,,,,,,,
PBANKA_0700561,PBANKA_000020,PBANKA_000350,,,,,,,,
PBANKA_0201051,PBANKA_000370,PBANKA_000490,,,,,,,,
PBANKA_0103500,PBANKA_010350,PBANKA_010360,,,,,,,,
PBANKA_0203650,PBANKA_020365,PBANKA_020370,,,,,,,,
PBANKA_0203750,PBANKA_020370,PBANKA_020375,,,,,,,,
PBANKA_0316861,PBANKA_000250,PBANKA_021610,,,,,,,,
PBANKA_0309200,PBANKA_030920,PBANKA_030930,,,,,,,,
PBANKA_0316500,PBANKA_021510,PBANKA_031650,,,,,,,,
PBANKA_0316700,PBANKA_021540,PBANKA_031670,,,,,,,,
PBANKA_0316800,PBANKA_021550,PBANKA_031680,,,,,,,,
PBANKA_0411950,PBANKA_041195,PBANKA_041200,,,,,,,,
PBANKA_0413000,PBANKA_041300,PBANKA_041310,,,,,,,,
PBANKA_0601200,PBANKA_060120,PBANKA_060130,,,,,,,,
PBANKA_0609300,PBANKA_060930,PBANKA_060940,,,,,,,,
PBANKA_0623600,PBANKA_000090,PBANKA_062360,,,,,,,,
PBANKA_0623700,PBANKA_000040,PBANKA_062370,,,,,,,,
PBANKA_0708200,PBANKA_070820,PBANKA_070830,,,,,,,,
PBANKA_0718900,PBANKA_071890,PBANKA_071900,,,,,,,,
PBANKA_0300100,PBANKA_030010,PBANKA_072300,,,,,,,,
PBANKA_0808380,PBANKA_080838,PBANKA_080840,,,,,,,,
PBANKA_0808420,PBANKA_080840,PBANKA_080842,,,,,,,,
PBANKA_0830450,PBANKA_083045,PBANKA_083050,,,,,,,,
PBANKA_1040521,PBANKA_000360,PBANKA_083710,,,,,,,,
PBANKA_0216041,PBANKA_050025,PBANKA_090005,,,,,,,,
PBANKA_0900900,PBANKA_090080,PBANKA_090090,,,,,,,,
PBANKA_0902300,PBANKA_090230,PBANKA_090240,,,,,,,,
PBANKA_0917500,PBANKA_091750,PBANKA_091760,,,,,,,,
PBANKA_0920300,PBANKA_092020,PBANKA_092030,,,,,,,,
PBANKA_0943900,PBANKA_050090,PBANKA_094390,,,,,,,,
PBANKA_0501000,PBANKA_050100,PBANKA_100010,,,,,,,,
PBANKA_1010900,PBANKA_101090,PBANKA_101100,,,,,,,,
PBANKA_1100400,PBANKA_000290,PBANKA_110040,,,,,,,,
PBANKA_1110300,PBANKA_111030,PBANKA_111040,,,,,,,,
PBANKA_1111000,PBANKA_111100,PBANKA_111110,,,,,,,,
PBANKA_1116700,PBANKA_111660,PBANKA_111670,,,,,,,,
PBANKA_1136900,PBANKA_113680,PBANKA_113690,,,,,,,,
PBANKA_1142100,PBANKA_114210,PBANKA_114220,,,,,,,,
PBANKA_0700071,PBANKA_000150,PBANKA_114640,,,,,,,,
PBANKA_1230100,PBANKA_123005,PBANKA_123010,,,,,,,,
PBANKA_1236600,PBANKA_123650,PBANKA_123660,,,,,,,,
PBANKA_1237600,PBANKA_123760,PBANKA_123770,,,,,,,,
PBANKA_1310200,PBANKA_131020,PBANKA_131030,,,,,,,,
PBANKA_1327000,PBANKA_000230,PBANKA_132700,,,,,,,,
PBANKA_1462100,PBANKA_146205,PBANKA_146210,,,,,,,,
PBANKA_1464400,PBANKA_146430,PBANKA_146440,,,,,,,,
PBANKA_1466100,PBANKA_000330,PBANKA_146610,,,,,,,,
PBANKA_0000301,PBANKA_050030,,,,,,,,,
PBANKA_0000600,PBANKA_000060,,,,,,,,,
PBANKA_0001200,PBANKA_000120,,,,,,,,,
PBANKA_0001601,PBANKA_020020,,,,,,,,,
PBANKA_0006300,PBANKA_000630,,,,,,,,,
PBANKA_0006600,PBANKA_000660,,,,,,,,,
PBANKA_0006800,PBANKA_000680,,,,,,,,,
PBANKA_0006900,PBANKA_000690,,,,,,,,,
PBANKA_0007000,PBANKA_000700,,,,,,,,,
PBANKA_0007100,PBANKA_000710,,,,,,,,,
PBANKA_0007200,PBANKA_000720,,,,,,,,,
PBANKA_0007300,PBANKA_000730,,,,,,,,,
PBANKA_0007401,PBANKA_020010,,,,,,,,,
PBANKA_0007501,PBANKA_020020,,,,,,,,,
PBANKA_0007801,PBANKA_070040,,,,,,,,,
PBANKA_0100021,PBANKA_020080,,,,,,,,,
PBANKA_0100041,PBANKA_020090,,,,,,,,,
PBANKA_0100061,PBANKA_000520,,,,,,,,,
PBANKA_0100081,PBANKA_100045,,,,,,,,,
PBANKA_0100100,PBANKA_010010,,,,,,,,,
PBANKA_0100200,PBANKA_010020,,,,,,,,,
PBANKA_0100300,PBANKA_010030,,,,,,,,,
PBANKA_0100400,PBANKA_010040,,,,,,,,,
PBANKA_0100500,PBANKA_010050,,,,,,,,,
PBANKA_0100600,PBANKA_010060,,,,,,,,,
PBANKA_0100700,PBANKA_010070,,,,,,,,,
PBANKA_0100800,PBANKA_010080,,,,,,,,,
PBANKA_0100900,PBANKA_010090,,,,,,,,,
PBANKA_0101000,PBANKA_010100,,,,,,,,,
PBANKA_0101100,PBANKA_010110,,,,,,,,,
PBANKA_0101200,PBANKA_010120,,,,,,,,,
PBANKA_0101300,PBANKA_010130,,,,,,,,,
PBANKA_0101400,PBANKA_010140,,,,,,,,,
PBANKA_0101500,PBANKA_010150,,,,,,,,,
PBANKA_0101600,PBANKA_010160,,,,,,,,,
PBANKA_0101700,PBANKA_010170,,,,,,,,,
PBANKA_0101800,PBANKA_010180,,,,,,,,,
PBANKA_0101900,PBANKA_010190,,,,,,,,,
PBANKA_0102000,PBANKA_010200,,,,,,,,,
PBANKA_0102100,PBANKA_010210,,,,,,,,,
PBANKA_0102200,PBANKA_010220,,,,,,,,,
PBANKA_0102300,PBANKA_010230,,,,,,,,,
PBANKA_0102400,PBANKA_010240,,,,,,,,,
PBANKA_0102500,PBANKA_010250,,,,,,,,,
PBANKA_0102600,PBANKA_010260,,,,,,,,,
PBANKA_0102700,PBANKA_010270,,,,,,,,,
PBANKA_0102800,PBANKA_010280,,,,,,,,,
PBANKA_0102900,PBANKA_010290,,,,,,,,,
PBANKA_0103000,PBANKA_010300,,,,,,,,,
PBANKA_0103100,PBANKA_010310,,,,,,,,,
PBANKA_0103200,PBANKA_010320,,,,,,,,,
PBANKA_0103300,PBANKA_010330,,,,,,,,,
PBANKA_0103400,PBANKA_010340,,,,,,,,,
PBANKA_0103700,PBANKA_010370,,,,,,,,,
PBANKA_0103800,PBANKA_010380,,,,,,,,,
PBANKA_0103900,PBANKA_010390,,,,,,,,,
PBANKA_0104000,PBANKA_010400,,,,,,,,,
PBANKA_0104100,PBANKA_010410,,,,,,,,,
PBANKA_0104200,PBANKA_010420,,,,,,,,,
PBANKA_0104300,PBANKA_010430,,,,,,,,,
PBANKA_0104400,PBANKA_010440,,,,,,,,,
PBANKA_0104500,PBANKA_010450,,,,,,,,,
