gene_id,Product Description ,,FC DOZI/WT,Confidence,PF ID,PF Product Description,Manual Annotation,CITH,DOZI,DOZI/CITH in mosquito and liver stages,,Molecular Function,Biological Process,Cellular Component,Molecular Function,Biological Process,Cellular Component
PBANKA_134780,"20 kDa chaperonin, putative (CPN20) -2.73",,,0.75,PF3D7_1333000,20 kDa chaperonin (CPN20),chaperone,1,1,2,2 na,"ATP binding, chaperone binding",protein folding,apicoplast,,,
PBANKA_071420,"ClpB protein, putative (ClpB1) -1.63",,,0.7,PF3D7_0816600,"ClpB protein, putative (ClpB1)",chaperone,1,1,2,2 na,"ATP binding, nucleoside-triphosphatase activity, protein binding",protein metabolic process,apicoplast,,,
PBANKA_051500,25 kDa ookinete surface antigen precursor (P25) -5.59,,,0.75,PF3D7_1031000,25 kDa ookinete surface antigen precursor (Pfs25),adhesin,1,1,2,"2 different in fertilization, ookinete and oocyst",null,null,"cell surface, membrane",,,
PBANKA_051490,28 kDa ookinete surface protein (P28) -2.62,,,0.75,PF3D7_1030900,28 kDa ookinete surface protein (Pfs28),adhesin,1,1,2,"2 different in fertilization, ookinete and oocyst",null,null,"cell surface, membrane",,,
PBANKA_051170,"topoisomerase, putative",,,,PF3D7_1027600,"topoisomerase, putative",DNA replication,1,1,2,2 na,"ATP binding, DNA binding, catalytic activity",DNA metabolic process,chromosome,,,
PBANKA_081680,"glycolipid transfer protein, putative -5.27",,,0.75,PF3D7_0915800,"glycolipid transfer protein, putative",lipid metabolism,1,1,2,2 na,"glycolipid binding, glycolipid transporter activity",glycolipid transport,cytoplasm,,,
PBANKA_102870,"conserved Plasmodium protein, unknown function",,,,PF3D7_1414000,"conserved protein, unknown function",unknown function,1,1,2,2 na,null,null,"cytoplasm, nucleus",,,
PBANKA_071290,"high mobility group protein, putative (HMGB2) -3.31",,,0.71,PF3D7_0817900,high mobility group protein (HMGB2),chromatin,1,1,2,2 na,DNA binding,null,"cytoplasm, nucleus",,,
PBANKA_092000,"multiprotein bridging factor type 1, putative",,,,PF3D7_1128200,"multiprotein bridging factor type 1, putative",transcription,1,1,2,2 na,sequence-specific DNA binding,null,"cytosol, nuclear periphery",,,
PBANKA_103840,"selenoprotein, putative (Sel1)",,,,PF3D7_1403600,selenoprotein (Sel1),redoxmeth,1,1,2,2 na,null,null,endoplasmic reticulum,,,
PBANKA_060930,"GPI mannosyltransferase I, putative",,,,PF3D7_1210900,GPI mannosyltransferase I (PIG-M),GPI,1,1,2,2 na,"transferase activity, transferring hexosyl groups",GPI anchor biosynthetic process,"endoplasmic reticulum membrane, integral to membrane",,,
PBANKA_083680,Pb-fam-1 protein,,,,PF3D7_1147800.1/2,merozoite adhesive erythrocytic binding protein (MAEBL),contaminant,1,1,2,2 na,null,null,host cell membrane,,,
PBANKA_133890,"glideosome associated protein with multiple membrane spans 1, putative (G-A4P.1M41)",,,0.75,PF3D7_1323700,glideosome associated protein with multiple membrane spans 1 (GAPM1),gliding motility,1,1,2,2 KO not successful,null,null,inner membrane complex,,,
PBANKA_090710,inner membrane complex protein 1b (IMC1b) -3.1,,,0.73,PF3D7_1141900,"inner membrane complex protein 1b, putative (IMC1b)",gliding motility,1,1,2,"2 different in fertilization, ookinete and oocyst",null,null,inner membrane complex,,,
PBANKA_124060,"inner membrane complex protein 1g, putative (IMC1G) -4.13",,,0.75,PF3D7_0525800,membrane skeletal protein IMC1-related,gliding motility,1,1,2,2 na,null,null,inner membrane complex,,,
PBANKA_143660,inner membrane complex protein 1h (IMC1h) -2.99,,,0.73,PF3D7_1221400,"membrane skeletal protein, putative (ALV3)",gliding motility,1,1,2,"2 different in fertilization, ookinete, oocyst, sporozoite and liver stage",null,null,inner membrane complex,,,
PBANKA_130290,"copper transporter, putative",,,,PF3D7_1439000,copper transporter putative,transporter,1,1,2,2 na,copper ion transmembrane transporter activity,copper ion transport,integral to membrane,,,
PBANKA_123130,"metabolite/drug transporter, putative -3.99",,,0.75,PF3D7_0516500,"metabolite/drug transporter, putative",transporter,1,1,2,2 not different from wild type,tetracycline:hydrogen antiporter activity,"response to antibiotic, tetracycline transport",integral to membrane,,,
PBANKA_123780,"multidrug resistance protein, putative (MDR1) -2.4",,,0.7,PF3D7_0523000,multidrug resistance protein (MDR1),transporter,1,1,2,2 na,"ATP binding, ATPase activity, coupled to transmembrane movement of substances",transport,integral to membrane,,,
PBANKA_082140,ADP-ribosylation factor-like protein,,-4.56,0.75,PF3D7_0920500,"ADP-ribosylation factor, putative",trafficking,1,1,2,na,GTP binding,small GTPase mediated signal transduction,intracellular,,,
PBANKA_051850,"ADP-ribosylation factor, putative",,-4.45,0.75,PF3D7_1034700,"ADP-ribosylation factor, putative",trafficking,1,1,2,na,GTP binding,"intracellular protein transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_100830,"conserved Plasmodium protein, unknown function",,,,PF3D7_1436300,translocon component PTEX150 (PTEX150),trafficking,1,1,2,na,GTP binding,null,intracellular,,,
PBANKA_142370,"GDP-mannose 4,6-dehydratase, putative",,-2.74,0.75,PF3D7_0813800,"GDP-mannose 4,6-dehydratase, putative",mannose metabolism,1,1,2,na,"GDP-mannose 4,6-dehydratase activity, coenzyme binding",GDP-mannose metabolic process,intracellular,,,
PBANKA_122330,"GTPase, Rab18, putative",,,,PF3D7_0807300,Rab GTPase 18 (RAB18),trafficking,1,1,2,na,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_141890,Rab GTPase 11a (Rab11a),,-4.21,0.75,PF3D7_1320600,Rab GTPase 11a (RAB11a),trafficking,1,1,2,KO not successful,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_030800,"Rab5a, GTPase, putative",,,,PF3D7_0211200,Rab GTPase 5a (RAB5a),trafficking,1,1,2,na,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_041820,"Rab7, putative",,,,PF3D7_0903200,Rab GTPase 7 (Rab7),trafficking,1,1,2,na,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_114350,"ribosome biogenesis protein MRT4, putative",,,,PF3D7_1367600,"ribosome biogenesis protein MRT4, putative",ribosome assembly,1,1,2,na,null,ribosome biogenesis,intracellular,,,
PBANKA_144580,"small GTPase Rab2, putative",,,,PF3D7_1231100,Rab GTPase 2 (RAB2),trafficking,1,1,2,na,"GTP binding, GTPase activity, protein binding","intracellular protein transport, nucleocytoplasmic transport, small GTPase mediated signal transduction",intracellular,,,
PBANKA_071400,"meiotic recombination protein DMC1-like protein, putative",,,,PF3D7_0816800,meiotic recombination protein dmc1-like protein,DNA repair,1,1,2,"different in fertilization, ookinete, oocyst, sporozoite and liver stage","ATP binding, DNA binding, DNA-dependent ATPase activity, protein binding",reciprocal meiotic recombination,"intracellular, nucleus",,,
PBANKA_070910,"60S ribosomal protein L22, putative",,,,PF3D7_0821700,"60S ribosomal protein L22, putative",ribosome,1,1,2,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_134670,"60S ribosomal protein L23, putative",,,,PF3D7_1331800,"60S ribosomal protein L23, putative",ribosome,1,1,2,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_090490,"conserved Plasmodium protein, unknown function",,,,PF3D7_1144100,"conserved protein, unknown function",unknown function,1,1,2,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_124560,"mitochondrial ribosomal protein S16 precursor, putative",,,,PF3D7_0531200,"mitochondrial ribosomal protein S16 precursor, putative",ribosome mito,1,1,2,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_061600,"mitochondrial ribosomal protein S8 precursor, putative",,,,PF3D7_0718400,"mitochondrial ribosomal protein S8 precursor, putative",ribosome mito,1,1,2,na,structural constituent of ribosome,translation,"intracellular, ribosome",,,
PBANKA_101810,"ABC transporter, putative",,,,PF3D7_1426500,"ABC transporter, (EPP family), putative",transporter,1,1,2,na,"ATP binding, ATPase activity",null,membrane,,,
PBANKA_070670,"dicarboxylate/tricarboxylate carrier, putative (DTC)",,-5.45,0.75,PF3D7_0823900,dicarboxylate/tricarboxylate carrier (DTC),transporter,1,1,2,na,binding,transport,membrane,,,
PBANKA_010210,"dihydroorotate dehydrogenase, putative (DHODH)",,-2.58,0.75,PF3D7_0603300,"dihydroorotate dehydrogenase, mitochondrial precursor (DHODH)",pyrimidine metabolism,1,1,2,na,"dihydroorotate dehydrogenase activity, dihydroorotate oxidase activity","'de novo' pyrimidine nucleobase biosynthetic process, UMP biosynthetic process",membrane,,,
