Gene,X,Transcript.stable.ID,Plasmodium.falciparum.3D7.gene.stable.ID,X.id..query.gene.identical.to.target.Plasmodium.falciparum.3D7.gene,Plasmodium.knowlesi.gene.stable.ID,X.id..query.gene.identical.to.target.Plasmodium.knowlesi.gene,X.id..target.Plasmodium.falciparum.3D7.gene.identical.to.query.gene,X.id..target.Plasmodium.knowlesi.gene.identical.to.query.gene,Plasmodium.falciparum.3D7.orthology.confidence..0.low..1.high.,Plasmodium.knowlesi.orthology.confidence..0.low..1.high.,orth_name,Transcript.count,Plasmodium.falciparum.3D7.homology.type,Plasmodium.knowlesi.homology.type,Pm,Po,Pv,Pg,Py,Pc,Pcyb
PBANKA_0100800,PBANKA_010080,CDS44140,PF3D7_0602000,35.2818,PKH_114790,34.7418,36.686,32.1273,1,1,ORTH_1609,1,ortholog_one2one,ortholog_one2one,PmUG01_11060800,PocGH01_11054600,PVX_113265,PGAL8A_00130500,PY17X_0102400,PCHAS_0101500,PCYB_115440
PBANKA_0100900,PBANKA_010090,CDS44142,PF3D7_0602100,62.6667,PKH_114780,64.3393,65.0769,65.9231,1,1,ORTH_1610,1,ortholog_one2one,ortholog_one2one,PmUG01_11060700,PocGH01_11054500,PVX_113270,PGAL8A_00130600,PY17X_0102500,PCHAS_0101600,PCYB_115430
PBANKA_0101000,PBANKA_010100,CDS44145,PF3D7_0602200,78.1746,PKH_114770,71.5909,75.1908,72.1374,1,1,ORTH_1611,1,ortholog_one2one,ortholog_one2one,PmUG01_11060600,PocGH01_11054400,PVX_113275,PGAL8A_00130700,PY17X_0102600,PCHAS_0101700,PCYB_115420
PBANKA_0101100,PBANKA_010110,CDS44147,PF3D7_0602300,49.0446,PKH_114760,51.2367,48.5804,45.7413,1,1,ORTH_1612,1,ortholog_one2one,ortholog_one2one,PmUG01_11060500,PocGH01_11054300,PVX_113280,PGAL8A_00130800,PY17X_0102700,PCHAS_0101800,PCYB_115410
PBANKA_0101200,PBANKA_010120,CDS44148,PF3D7_0602400,69.4771,PKH_114750,72.2098,70.6074,70.1735,1,1,ORTH_1613,1,ortholog_one2one,ortholog_one2one,PmUG01_11060400,PocGH01_11054200,PVX_113285,PGAL8A_00130900,PY17X_0102800,PCHAS_0101900,PCYB_115400
PBANKA_0101300,PBANKA_010130,CDS44150,PF3D7_0602500,70.1847,PKH_114740,66.6667,69.2708,60.4167,1,1,ORTH_1614,1,ortholog_one2one,ortholog_one2one,PmUG01_11060300,PocGH01_11054100,PVX_113290,PGAL8A_00131000,PY17X_0102900,PCHAS_0102000,PCYB_115390
PBANKA_0101400,PBANKA_010140,CDS44153,PF3D7_0602600,42.0971,PKH_114730,40.3605,45.4621,42.8809,1,1,ORTH_1615,1,ortholog_one2one,ortholog_one2one,PmUG01_11060200,PocGH01_11054000,PVX_113295,PGAL8A_00131100,PY17X_0103000,PCHAS_0102100,PCYB_115380
PBANKA_0101500,PBANKA_010150,CDS44154,PF3D7_0602700,33.9056,PKH_114720,37.7828,33.833,35.7602,1,1,ORTH_1616,1,ortholog_one2one,ortholog_one2one,PmUG01_11060100,PocGH01_11053900,PVX_113300,PGAL8A_00131200,PY17X_0103100,PCHAS_0102200,PCYB_115370
PBANKA_0101600,PBANKA_010160,CDS44155,PF3D7_0602800,45.9752,PKH_114710,44.7115,44.0653,41.3947,1,1,ORTH_1617,1,ortholog_one2one,ortholog_one2one,PmUG01_11060000,PocGH01_11053800,PVX_113305,PGAL8A_00131300,PY17X_0103200,PCHAS_0102300,PCYB_115360
PBANKA_0101700,PBANKA_010170,CDS44156,PF3D7_0602900,30.2128,PKH_114700,27.5862,32.1995,32.6531,1,1,ORTH_1618,1,ortholog_one2one,ortholog_one2one,PmUG01_11059900,PocGH01_11053700,PVX_113310,PGAL8A_00131400,PY17X_0103300,PCHAS_0102400,PCYB_115350
