,,Gametocyte-specific Transcription,,,,,,,,Gametocyte-specific Stabilization,,,,,,,,Comparisions w/ Prev. Studies,,
ClusterID,Old Gene ID||New GeneID||Product Description,3D7 0h,3D7 12h,3D7 24h,3D7 36h,F12 0h,F12 12h,F12 24h,F12 36h,3D7 0h,3D7 12h,3D7 24h,3D7 36h,F12 0h,F12 12h,F12 24h,F12 36h,RNASeq,DNA Microarray ,Mass Spec
1,PFE0175c||PF3D7_0503600||myosin B (MyoB) ,0.25018,-1.506221,-0.767632,-0.656422,0.211566,-0.134894,0.314189,-0.191673,0.849856,2.856126,2.409291,2.047445,0.399151,0.400203,-0.043675,-0.17791,YES,NO,NO
1,PF10_0039||PF3D7_1003600||membrane skeletal protein IMC1-related (ALV5) ,-0.410585,-1.932727,0.572038,-1.988791,0.438946,-0.045678,0.25725,-0.774575,1.485517,1.913384,1.246382,1.161384,0.074272,-0.282512,0.039124,0.696087,YES,NO,NO
1,"PFA0440w||PF3D7_0109000||photosensitized INA-labeled protein 1, PhIL1, putative ",-0.884119,-1.220327,0.591871,-2.179046,0.142511,-0.293459,0.446032,-0.56752,1.015891,2.375061,2.376998,1.620483,0.393302,0.322805,-0.158202,0.637007,YES,NO,YES
1,"PF10_0170||PF3D7_1017500||conserved Plasmodium protein, unknown function ",0.6744,-0.699924,-1.31,-1.197744,0.134216,0.491042,0.303255,-0.725652,1.083,2.139176,1.575601,1.873784,0.313257,0.905651,0.209998,0.355384,YES,NO,NO
1,PF13_0011||PF3D7_1302100||gamete antigen 27/25 (Pfg27) ,0.087178,-2.556341,-0.651578,-3.756361,-0.15361,0.300897,0.008276,-1.114352,3.628687,4.33687,3.672421,3.732426,-0.666956,-0.653145,-0.594612,0.185104,YES,NO,YES
1,PFD0310w||PF3D7_0406200||sexual stage-specific protein precursor (Pfs16) ,0.182574,-2.318077,-1.09323,-0.060708,0.190716,0.673247,0.128905,-0.714555,2.970173,3.368845,2.450228,2.767092,-0.606965,-0.558562,-0.222817,-0.078477,YES,YES,YES
1,PFD1120c||PF3D7_0423700||early transcribed membrane protein 4 (ETRAMP4) ,0.177534,-2.919585,-2.466163,-3.73812,0.081178,0.059775,-0.344038,-0.888138,2.68153,2.986921,3.417673,0.775187,-0.35804,-0.377122,-0.344585,0.255178,YES,NO,YES
1,PF10_0303||PF3D7_1031000||25 kDa ookinete surface antigen precursor (Pfs25) ,-2.386184,-1.084409,-0.237283,0.206567,-0.368153,0.311794,-0.009322,-0.252321,3.40034,2.091196,1.823631,3.082089,-0.910853,1.131376,-1.047816,-0.15603,YES,NO,YES
1,PF14_0749||PF3D7_1477800||acyl-CoA binding protein (ACBP) ,-0.233505,-0.627505,0.098671,-1.091939,-0.356008,0.386579,0.193407,-0.586716,2.143582,2.854404,0.599899,3.13354,0.384562,0.708861,0.196029,0.09395,YES,NO,NO
1,"PF14_0748||PF3D7_1477700||Plasmodium exported protein (PHISTa), unknown function (Pfg14-748) ",-0.990483,-1.340501,-0.963788,-1.018096,-0.29891,-0.199897,-0.571305,-1.032828,0.84162,1.544687,2.50242,2.361044,-0.559859,-0.41434,-0.788539,-0.440518,YES,YES,YES
