Gene,Description,comb,Overall,Male formation,Male activation,Female formation,Female fertility,Other
PBANKA_0101100,liver merozoite formation protein,U,No difference,,,,,
PBANKA_0102300,cation/H+ antiporter,U,No difference,,,,,
PBANKA_0106200,spindle assembly abnormal protein 6,D,Difference,Normal,No,Normal,,
PBANKA_0107400,"ornithine aminotransferase, putative",U,No difference,,,,,
PBANKA_0107700,zinc transporter ZIP1,D,Difference,Reduced,No,Reduced,,
PBANKA_0112500,"major facilitator superfamily-related transporter, putative",U,No difference,,,,,
PBANKA_0204500,LCCL domain-containing protein,U,No difference,,,,,
PBANKA_0204600,"photosensitized INA-labeled protein PHIL1, putative",A,Difference,Reduced,No,Reduced,,
PBANKA_0205800,"serine/threonine protein kinase, putative",U,No difference,,,,,
PBANKA_0208000,cyclase-associated protein,U,No difference,,,,,
PBANKA_0208300,novel putative transporter 1,D,Difference,Reduced,No,Reduced,,
PBANKA_0208400,"major facilitator superfamily-related transporter, putative",D,Difference,,No,,,
PBANKA_0209100,thrombospondin related sporozoite protein,U,No difference,,,,,
PBANKA_0209200,parasite-infected erythrocyte surface protein,U,No difference,,,,,
PBANKA_0209900,"nucleoside transporter 4, putative",U,No difference,,,,,
PBANKA_0214400,transcription factor with AP2 domain(s),U,No difference,,,,,
PBANKA_0300600,"Plasmodium exported protein, unknown function",U,No difference,,,,,
PBANKA_0303900,pantothenate transporter,DU,Difference,Yes,Reduced,Yes,,Fail to egress
PBANKA_0304700,serine repeat antigen 5,U,No difference,,,,,
PBANKA_0305000,serine repeat antigen 2,U,No difference,,,,,
PBANKA_0305100,serine repeat antigen 1,U,No difference,,,,,
PBANKA_0306000,6-cysteine protein,UU,No difference,,,,,
PBANKA_0306100,6-cysteine protein,D,Difference,,,,,
PBANKA_0309700,"multidrug efflux pump, putative",U,No difference,,,,,
PBANKA_0310300,protein kinase 7,U,No difference,,,,,
PBANKA_0401100,"serine/threonine protein kinase, putative",D,Difference,Yes,No,Yes,Yes,
PBANKA_0402200,plasmoredoxin,U,No difference,,,,,
PBANKA_0402600,inner membrane complex protein 1a,U,No difference,,,,,
PBANKA_0403000,"60S ribosomal protein L44, putative",A,Difference,Yes,No,Yes,Yes,
PBANKA_0403200,circumsporozoite (CS) protein,U,No difference,,,,,
PBANKA_0407600,asparagine synthetase [glutamine-hydrolyzing],U,No difference,,,,,
PBANKA_0408200,calcium-dependent protein kinase 3,UU,No difference,,,,,
PBANKA_0409400,"protein kinase, putative",U,No difference,,,,,
PBANKA_0409700,plasmepsin VI,U,No difference,,,,,
PBANKA_0410500,"major facilitator superfamily-related transporter, putative",U,No difference,,,,,
PBANKA_0412900,circumsporozoite- and TRAP-related protein,UU,No difference,,,,,
PBANKA_0416500,copper-transporting ATPase,D,Difference,Yes,No,Yes,,
PBANKA_0417100,"conserved protein, unknown function",U,No difference,,,,,
PBANKA_0417200,PH domain-containing protein,D,Difference,Reduced,Reduced,Reduced,,
PBANKA_0417600,LCCL domain-containing protein,U,No difference,,,,,
PBANKA_0501100,early transcribed membrane protein,U,No difference,,,,,
PBANKA_0501200,early transcribed membrane protein,UU,No difference,,,,,
PBANKA_0507400,"orotidine 5'-phosphate decarboxylase, putative",D,Difference,Reduced,,Reduced,,
PBANKA_0508000,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0510600,cell division cycle protein 20 homolog,D,Difference,Yes,No,Yes,Yes,
PBANKA_0512000,"palmitoyltransferase DHHC10, putative",D U,Difference,Yes,Yes,Yes,,
PBANKA_0512800,"merozoite TRAP-like protein, putative",A DA,Difference,Yes,,Yes,,Egress failure
PBANKA_0514900,28 kDa ookinete surface protein,U,No difference,,,,,
PBANKA_0515000,25 kDa ookinete surface antigen precursor,U,No difference,,,,,
PBANKA_0516900,"S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative",D,Difference,Reduced,Reduced,,,
PBANKA_0517600,plasmepsin VII,U,No difference,,,,,
PBANKA_0518200,"flavoprotein subunit of succinate dehydrogenase, putative",D,Difference,Yes,Yes,Yes,Reduced,
PBANKA_0521221,18S ribosomal RNA,U,No difference,,,,,
PBANKA_0521261,28S ribosomal RNA,U,No difference,,,,,
PBANKA_0521700,"transcription factor with AP2 domain(s), putative",U,No difference,,,,,
PBANKA_0524200,early transcribed membrane protein,U,No difference,,,,,
PBANKA_0524800,early transcribed membrane protein,UU,No difference,,,,,
PBANKA_0602400,"major facilitator superfamily domain-containing protein, putative",U,No difference,,,,,
PBANKA_0603900,HAD domain ookinete protein,U,No difference,Yes,Yes,Yes,Yes,Misannotation
PBANKA_0604700,"shewanella-like protein phosphatase 2, putative",U,No difference,,,,,
PBANKA_0605800,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0606700,cysteine repeat modular protein 3,U,No difference,,,,,
PBANKA_0607700,"zinc finger transcription factor, putative",U,No difference,,,,,
PBANKA_0611400,"pantothenate kinase, putative",UU,No difference,,,,,
PBANKA_0613600,"phosphopantothenate--cysteine ligase, putative",U,No difference,,,,,
PBANKA_0615200,calcium-dependent protein kinase 4,D,Difference,Yes,No,Yes,Yes,
PBANKA_0615900,cysteine repeat modular protein 2,U,No difference,,,,,
PBANKA_0616700,NIMA related kinase 4,UU,No difference,,,,,
PBANKA_0619200,"secreted ookinete protein, putative",U,No difference,,,,,
PBANKA_0622921,18S ribosomal RNA,U,No difference,,,,,
PBANKA_0622961,28S ribosomal RNA,U,No difference,,,,,
PBANKA_0701000,"sporozoite and liver stage tryptophan-rich protein, pseudogene",U,No difference,,,,,
PBANKA_0701900,"GPI-anchored micronemal antigen, putative",U,No difference,,,,,
PBANKA_0702700,rhomboid protease ROM3,U,No difference,,,,,
PBANKA_0704700,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0706200,"nucleoside transporter 2, putative",U,No difference,,,,,
PBANKA_0706400,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0707100,inner membrane complex protein 1i,U,No difference,,,,,
PBANKA_0707700,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0707900,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0709700,protein kinase 1,U,No difference,,,,,
PBANKA_0711600,perforin-like protein 5,U,No difference,,,,,
PBANKA_0712200,"BEM46-like protein, putative",UU,No difference,,,,,
PBANKA_0712900,high mobility group protein B2,U,No difference,Yes,Yes,Yes,Yes,
PBANKA_0714000,meiotic recombination protein DMC1,U,No difference,,,,,
PBANKA_0714300,small heat shock protein HSP20,U,No difference,,,,,
PBANKA_0714700,"phosphopantothenoylcysteine decarboxylase, putative",U,No difference,,,,,
PBANKA_0714900,"dihydrolipoyl dehydrogenase, apicoplast, putative",U,No difference,,,,,
PBANKA_0716400,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0718500,"repressor of RNA polymerase III transcription MAF1, putative",A,Difference,,,,,Hypothesised that it is a late defect
PBANKA_0719200,mRNA-binding protein PUF2,U,No difference,Yes,,Yes,,Increased number of males claimed!
PBANKA_0720200,"conserved Plasmodium protein, unknown function",D,Difference,Yes,Strongly reduced,Yes,Yes,Defects in male DNA rep
PBANKA_0720900,"conserved Plasmodium protein, unknown function",U,No difference,,,,,
PBANKA_0800500,chitinase,U,No difference,,,,,
PBANKA_0804300,DNA mismatch repair protein MSH2,U,No difference,,,,,
PBANKA_0808100,6-cysteine protein,UU,No difference,,,,,
PBANKA_0809400,"P1 nuclease, putative",U,No difference,,,,,
PBANKA_0810400,"GDP-fucose protein O-fucosyltransferase 2, putative",U,No difference,,,,,
PBANKA_0812400,cysteine repeat modular protein 1,U,No difference,,,,,
