GeneNew	Type	Domain	Domain2	Val1	Val2	Val3
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	864	915	1.60E-73
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	949	976	1.60E-73
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	1032	1054	1.60E-73
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	1313	1409	1.60E-73
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	1091	1179	1.60E-73
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	1241	1289	1.60E-73
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	55	266	1.40E-81
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	437	500	1.40E-81
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	304	410	1.40E-81
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	1454	1669	2.80E-29
PF3D7_0900100	InterproscanData_RSRC	PF03011	PFEMP	644	799	3.80E-42
PF3D7_0900100	InterproscanData_RSRC	PF03011	PFEMP	1533	1675	1.00E-23
PF3D7_0900100	InterproscanData_RSRC	PF05424	Duffy_binding	117	318	9.40E-64
PF3D7_0900100	InterproscanData_RSRC	PF05424	Duffy_binding	1019	1195	3.30E-18
PF3D7_0900100	InterproscanData_RSRC	SSF140924	52122	493	743	9.20E-32
PF3D7_0900100	InterproscanData_RSRC	PF15445	ATS	1799	2270	0.00E+00
PF3D7_0900100	InterproscanData_RSRC	PF15447	NTS	15	50	8.50E-16
PF3D7_0900200	InterproscanData_RSRC	PF02009	Rifin_STEVOR	20	376	2.40E-95
PF3D7_0900200	InterproscanData_RSRC	TIGR01477	TIGR01477	1	376	0.00E+00
PF3D7_0900200	InterproscanData_RSRC	SSF47473	53359	56	129	8.30E-05
PF3D7_0900300	InterproscanData_RSRC	TIGR01477	TIGR01477	1	359	6.20E-109
PF3D7_0900300	InterproscanData_RSRC	PF02009	Rifin_STEVOR	25	359	1.30E-92
PF3D7_0900400	InterproscanData_RSRC	TIGR01477	TIGR01477	1	343	0.00E+00
PF3D7_0900400	InterproscanData_RSRC	PF02009	Rifin_STEVOR	22	343	5.60E-93
PF3D7_0900500	InterproscanData_RSRC	TIGR01477	TIGR01477	1	338	1.00E-107
PF3D7_0900500	InterproscanData_RSRC	PF02009	Rifin_STEVOR	25	338	1.00E-95
PF3D7_0900600	InterproscanData_RSRC	PF02009	Rifin_STEVOR	20	367	2.00E-97
PF3D7_0900600	InterproscanData_RSRC	TIGR01477	TIGR01477	1	367	0.00E+00
PF3D7_0900700	InterproscanData_RSRC	PF02009	Rifin_STEVOR	25	381	7.30E-104
