GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_0915400.1	"conserved Plasmodium protein, unknown function"	90	29	3242
PBANKA_API00310.1	apicoplast ribosomal protein L36	111	36	4424
PBANKA_0904700.1	"60S ribosomal protein L41, putative"	120	39	5086
PBANKA_0817800.1	"conserved Plasmodium protein, unknown function"	147	48	5596
PBANKA_0827000.1	"conserved Plasmodium protein, unknown function"	156	51	5885
PBANKA_1141000.1	"conserved Plasmodium protein, unknown function"	156	51	6023
PBANKA_1215500.1	"translation machinery-associated protein 7, putative"	165	54	6077
PBANKA_0803800.1	"conserved Plasmodium protein, unknown function"	153	50	6160
PBANKA_0713000.1	"conserved Plasmodium protein, unknown function"	165	54	6214
PBANKA_1435000.1	"conserved Plasmodium protein, unknown function"	162	53	6261
PBANKA_0110000.1	"60S ribosomal protein L39, putative"	156	51	6407
PBANKA_0315600.1	"40S ribosomal protein S30, putative"	177	58	6433
PBANKA_0803400.1	"40S ribosomal protein S29, putative"	165	54	6458
PBANKA_API00130.1	hypothetical protein	153	50	6527
PBANKA_1011900.1	"H/ACA ribonucleoprotein complex subunit 3, putative"	168	55	6553
PBANKA_1355800.1	"DNA-directed RNA polymerases I, II, and III subunit RPABC4, putative"	177	58	6740
PBANKA_1410950.1	apical ring associated protein 1	192	63	6767
PBANKA_0110300.1	"conserved Plasmodium protein, unknown function"	171	56	6884
PBANKA_1203450.1	"conserved Plasmodium protein, unknown function"	189	62	7014
PBANKA_1321800.1	"protein PET117, putative"	177	58	7128
PBANKA_1411000.1	"conserved Plasmodium protein, unknown function"	201	66	7200
PBANKA_0943000.1	"conserved Plasmodium protein, unknown function"	180	59	7217
PBANKA_0521100.1	"conserved Plasmodium protein, unknown function"	177	58	7218
PBANKA_1016900.1	"conserved Plasmodium protein, unknown function"	192	63	7232
PBANKA_1353600.1	"conserved Plasmodium protein, unknown function"	177	58	7273
PBANKA_0706900.1	"mitochondrial import receptor subunit TOM7, putative"	201	66	7478
PBANKA_1325000.1	"40S ribosomal protein S28e, putative"	204	67	7509
